province,turn,province_index,comparison_scope,convergence_switch,g1_converged,g2_converged,g1_iterations,g2_iterations,g1_iteration_ceiling_hit,g2_iteration_ceiling_hit,g1_hjb_statistic,g2_hjb_statistic,hjb_statistic_g2_minus_g1,hjb_statistic_g2_over_g1,g1_raw_firm_ra0,g2_raw_firm_ra0,g1_converted_rah_raw,g2_converted_rah_raw,g1_consumed_r_a,g2_consumed_r_a,consumed_r_a_g2_minus_g1,g1_return_status,g2_return_status,g2_return_regime,g2_wage_status,g2_wage_raw,g2_wage_guarded,g2_wage_hit,g1_transfer_abs_max,g1_adjustment_cost_abs_max,g1_mu_a_abs_max,g1_mu_b_abs_max,g2_transfer_abs_max,g2_adjustment_cost_abs_max,g2_mu_a_abs_max,g2_mu_b_abs_max,liquid_policy_transition_cell_count,transfer_policy_transition_cell_count,g2_material_outward_boundary_count
北京,2,0,MATCHED_PROVINCE_TURN_WITH_PATH_HISTORY_DIVERGENCE,BOTH_NONCONVERGED,False,False,100,100,True,True,0.7845351402174001,1.1975377207601963,0.41300258054279615,1.5264296771057957,1.0318977822708786,1.028691214439065,0.8201047990241246,0.8201047990241246,0.2,0.35,0.14999999999999997,UPPER,UPPER,A_STILL_UPPER_SATURATED,UPPER,4.056668290870063,1.3,True,11333.982327964479,14358333.120595215,11332.258617519994,14347113.350379856,282176.2402342155,7962371272.895793,282173.0902342155,7962089303.442936,180,368,52
天津,2,1,MATCHED_PROVINCE_TURN_WITH_PATH_HISTORY_DIVERGENCE,BOTH_NONCONVERGED,False,False,100,100,True,True,6.737332480799552e-07,0.059337943944469784,0.059337270211221704,88073.34967299679,0.32249175621996606,0.32129680081194667,0.3301168592285279,0.3301168592285279,0.2,0.3301168592285279,0.1301168592285279,UPPER,UNSATURATED,B_NEWLY_UNSATURATED,UPPER,1.6263558301967647,1.3,True,40.37077750997365,1036.2435396988672,40.05498803821566,1993.2334511183678,179.9865062451555,4414.4822661703065,177.56964065586646,4256.51286434545,22,111,42
河北,2,2,MATCHED_PROVINCE_TURN_WITH_PATH_HISTORY_DIVERGENCE,BOTH_NONCONVERGED,False,False,100,100,True,True,0.08946001185532004,1.1685567694320753,1.0790967575767554,13.062336402569827,0.27227933064210885,0.2712237335912503,0.2618268115116993,0.2618268115116993,0.2,0.2618268115116993,0.061826811511699276,UPPER,UNSATURATED,B_NEWLY_UNSATURATED,UPPER,2.5441634346925373,1.3,True,7.26745842619526,6.3017629956920445,5.489192914735985,14.537502054668733,18658.45199078701,59947556.41345204,18656.124002842575,59929097.29883377,272,538,42
山西,2,3,MATCHED_PROVINCE_TURN_WITH_PATH_HISTORY_DIVERGENCE,BOTH_NONCONVERGED,False,False,100,100,True,True,1.0940568440972407,0.004123059127876694,-1.089933784969364,0.0037685968056612538,0.3840622431966998,0.38269693847426633,0.3541478483179543,0.3541478483179543,0.2,0.35,0.14999999999999997,UPPER,UPPER,A_STILL_UPPER_SATURATED,UPPER,1.5337566904841446,1.3,True,465037.9303655543,24170312720.82177,465036.2066551098,24169847869.63228,102.28389309870276,1114.5500613160382,99.17192845364903,2025.3765324320452,567,436,8
内蒙古,2,4,MATCHED_PROVINCE_TURN_WITH_PATH_HISTORY_DIVERGENCE,G1_CONVERGED_G2_NONCONVERGED,True,False,74,100,False,True,2.353518713249514e-09,0.05109719857355116,0.05109719622003245,21710980.36565047,0.24090572037412503,0.2399455410105024,0.25938351792132075,0.25938351792132075,0.2,0.25938351792132075,0.05938351792132074,UPPER,UNSATURATED,B_NEWLY_UNSATURATED,UPPER,1.683559960302246,1.3,True,104.8058549240879,1238.1339813807042,103.0821444796037,2131.8292947928485,789.741228580139,148205.63605118403,790.8333242820468,149040.40625249135,452,86,19
辽宁,2,5,MATCHED_PROVINCE_TURN_WITH_PATH_HISTORY_DIVERGENCE,BOTH_NONCONVERGED,False,False,100,100,True,True,0.6861614178365956,0.002090778540951521,-0.684070639295644,0.00304706514619192,0.2923264388207002,0.2912106591225083,0.28288915914936935,0.28288915914936935,0.2,0.28288915914936935,0.08288915914936934,UPPER,UNSATURATED,B_NEWLY_UNSATURATED,UPPER,2.154211828467867,1.3,True,1076322.3498984086,137568396488.02133,1076320.70155478,137567321159.7438,112.14659082942563,1338.7718749639964,109.63133065302044,2224.1889232213716,414,489,12
吉林,2,6,MATCHED_PROVINCE_TURN_WITH_PATH_HISTORY_DIVERGENCE,BOTH_NONCONVERGED,False,False,100,100,True,True,32.850207338038885,0.01103831436228675,-32.8391690236766,0.00033601962534662416,0.1879942955626904,0.18718082142878414,0.20767394001491743,0.20767394001491743,0.2,0.20767394001491743,0.007673940014917419,UPPER,UNSATURATED,B_NEWLY_UNSATURATED,UNSATURATED,1.17682660520381,1.17682660520381,False,2028598.1811357525,459935503034.1615,2028599.904846197,459937532354.37976,106.78339674373089,1150.947721687277,104.91433128359664,2069.4939435397782,343,65,12
黑龙江,2,7,MATCHED_PROVINCE_TURN_WITH_PATH_HISTORY_DIVERGENCE,BOTH_NONCONVERGED,False,False,100,100,True,True,0.08406803057853995,0.6547233891935016,0.5706553586149616,7.788018640234839,0.24909980405370394,0.2481219532805551,0.24079289752609306,0.24079289752609306,0.2,0.24079289752609306,0.04079289752609305,UPPER,UNSATURATED,B_NEWLY_UNSATURATED,UNSATURATED,1.2620146988999947,1.2620146988999947,False,101.2439089381401,1055.0181461121435,99.4439089381401,1982.8026470455766,55142.77160052698,444419206.0923125,55141.12948446141,444364187.9054732,514,416,44
上海,2,8,MATCHED_PROVINCE_TURN_WITH_PATH_HISTORY_DIVERGENCE,BOTH_NONCONVERGED,False,False,100,100,True,True,0.27887678368635405,0.39256307777803257,0.11368629409167852,1.4076577927674996,0.9474215510750882,0.9443911647955158,0.7686338107969248,0.7686338107969248,0.2,0.35,0.14999999999999997,UPPER,UPPER,A_STILL_UPPER_SATURATED,UPPER,4.2232544160747985,1.3,True,50760.20889781851,271979394.5745193,50758.430632307056,271928959.4480567,5581.876766483957,7400428.39377733,5580.403143569398,7394960.357432458,278,459,20
江苏,2,9,MATCHED_PROVINCE_TURN_WITH_PATH_HISTORY_DIVERGENCE,BOTH_NONCONVERGED,False,False,100,100,True,True,1.9950062918849487,5.307823215191222,3.3128169233062734,2.660554624204324,0.4957982787468196,0.4940935484287847,0.4559391086970459,0.4559391086970459,0.2,0.35,0.14999999999999997,UPPER,UPPER,A_STILL_UPPER_SATURATED,UPPER,7.476929995882227,1.3,True,349168.19277065626,13626212034.53573,349169.9164811007,13626562200.068283,125336.90356947292,1865496587.0108805,125339.7881708232,1865622501.8300092,492,479,24
