province,transition,turn1_final_to_initial_ratio,turn2_final_to_initial_ratio,turn1_last20_policy_switch_median,turn2_last20_policy_switch_median,turn1_floor_share_final,turn2_floor_share_final,turn2_first_policy_switch_iteration,turn2_first_value_nondec_iteration,turn2_first_two_step_reversion_iteration,turn2_first_derivative_floor_hit_iteration,turn2_return_guard_state,turn2_wage_guard_state
北京,TURN1_CONVERGED_TO_TURN2_FAILED,2.0186411803122026e-08,2.3892411285352484,26.5,176.5,0.0,0.1525,2,3,3,3,UPPER,UPPER
天津,TURN1_CONVERGED_TO_TURN2_FAILED,8.864451901153577e-11,0.12204226288434064,42.5,66.0,0.0,0.0025,2,3,3,5,UNSATURATED,UPPER
河北,TURN1_CONVERGED_TO_TURN2_FAILED,6.601482765845651e-08,2.4771356495592682,15.0,255.0,0.0,0.3475,2,3,3,4,UNSATURATED,UPPER
山西,TURN1_CONVERGED_TO_TURN2_FAILED,4.927213752521319e-10,0.008331856798962643,12.0,1.0,0.0025,1.3625,2,2,3,3,UPPER,UPPER
内蒙古,TURN1_CONVERGED_TO_TURN2_FAILED,1.089842266138723e-10,0.10522466397268444,119.0,27.5,0.0,0.83,2,3,3,4,UNSATURATED,UPPER
辽宁,TURN1_CONVERGED_TO_TURN2_FAILED,9.999727137968881e-08,0.004069906483252192,42.0,3.0,0.0,0.8075,2,3,4,4,UNSATURATED,UPPER
吉林,TURN1_CONVERGED_TO_TURN2_FAILED,7.414804293291124e-09,0.021154930191972808,183.5,11.0,0.0,0.7925,2,3,3,4,UNSATURATED,UNSATURATED
黑龙江,TURN1_CONVERGED_TO_TURN2_FAILED,1.4369293130917601e-08,1.1489392918197077,102.5,198.5,0.0,0.145,2,4,3,4,UNSATURATED,UNSATURATED
上海,TURN1_CONVERGED_TO_TURN2_FAILED,8.75129585115136e-09,0.7785509366082185,10.0,58.5,0.0,0.425,2,2,3,3,UPPER,UPPER
江苏,TURN1_CONVERGED_TO_TURN2_FAILED,1.1254986361105043e-07,10.823613695539343,21.5,233.0,0.0,0.855,2,2,4,3,UPPER,UPPER
浙江,TURN1_CONVERGED_TO_TURN2_FAILED,1.9985440822647585e-09,13.530085725838614,35.0,286.5,0.0,0.53,2,2,3,3,UPPER,UPPER
福建,TURN1_CONVERGED_TO_TURN2_FAILED,2.0308950910300896e-08,27.24273784539966,40.0,188.5,0.0,0.0825,2,2,3,3,UPPER,UPPER
山东,TURN1_CONVERGED_TO_TURN2_FAILED,1.70903278621953e-09,108.50962815582004,37.0,231.0,0.0,0.2825,2,3,4,4,UNSATURATED,UPPER
海南,TURN1_CONVERGED_TO_TURN2_FAILED,5.375697199549782e-10,1.6268845621877583,40.0,241.5,0.0,0.4625,2,2,3,3,UPPER,LOWER
云南,TURN1_CONVERGED_TO_TURN2_FAILED,3.2047610222419784e-10,2.9846886475610916,10.0,190.5,0.0,0.22,2,2,3,5,UNSATURATED,UPPER
西藏,TURN1_CONVERGED_TO_TURN2_FAILED,1.398411382037445e-08,1.9166403148639566,105.0,228.5,0.0,0.865,2,2,3,3,UPPER,LOWER
陕西,TURN1_CONVERGED_TO_TURN2_FAILED,1.8823488571724148e-07,0.7384995945068605,13.5,128.5,0.0,0.0325,2,2,3,3,UPPER,UPPER
青海,TURN1_CONVERGED_TO_TURN2_FAILED,4.468041314901361e-08,0.9102379858753091,129.5,253.5,0.0,0.29,2,3,4,4,UNSATURATED,LOWER
宁夏,TURN1_CONVERGED_TO_TURN2_FAILED,9.609550067102989e-08,2.630151877064244,24.5,179.0,0.0,0.3025,2,2,3,5,UNSATURATED,LOWER
新疆,TURN1_CONVERGED_TO_TURN2_FAILED,1.1056891635011549e-08,2.2293125913234215,199.5,267.5,0.0,0.22,2,2,3,5,UNSATURATED,UPPER
