turn,province_index,province,baseline_converged,treatment_converged,baseline_iterations,treatment_iterations,baseline_initial_gap,baseline_final_gap,baseline_gap_nondecrease_count,baseline_gap_nondecrease_fraction,baseline_policy_switch_total,baseline_policy_switch_mean,baseline_reversion_total,baseline_reversion_mean,baseline_first_policy_switch_iteration,baseline_first_reversion_iteration,baseline_first_floor_iteration,baseline_floor_share_first,baseline_floor_share_final,baseline_linear_solve_residual_max,treatment_initial_gap,treatment_final_gap,treatment_gap_nondecrease_count,treatment_gap_nondecrease_fraction,treatment_policy_switch_total,treatment_policy_switch_mean,treatment_reversion_total,treatment_reversion_mean,treatment_first_policy_switch_iteration,treatment_first_reversion_iteration,treatment_first_floor_iteration,treatment_floor_share_first,treatment_floor_share_final,treatment_linear_solve_residual_max,treatment_final_relaxed_update,treatment_raw_relaxed_identity_max_abs,treatment_all_iteration_values_finite
1,0,北京,True,True,17,32,0.4234185987439627,8.547302199346518e-09,4,0.25,2572,160.75,403,26.866666666666667,2,3,6,0.0,0.0,1.1096997105941586e-10,0.4234185987439627,7.378243993549916e-08,2,0.06451612903225806,2709,87.38709677419355,249,8.3,2,3,,0.0,0.0,9.39803790345195e-14,3.6891219856727275e-08,4.440892098500626e-16,True
1,1,天津,True,True,27,32,0.4252974437314072,3.770028733640629e-11,6,0.23076923076923078,3336,128.30769230769232,425,17.0,2,3,6,0.0,0.0,7.247074468308412e-12,0.4252974437314072,8.061026690597828e-08,2,0.06451612903225806,2008,64.7741935483871,236,7.866666666666666,2,3,,0.0,0.0,5.906386491005833e-14,4.030513345298914e-08,4.440892098500626e-16,True
1,2,河北,True,True,35,34,0.4282358889501432,2.8269918406209626e-08,10,0.29411764705882354,4217,124.02941176470588,676,20.484848484848484,2,3,5,0.0,0.0,0.00577483786636579,0.4282358889501432,5.289343985026562e-08,2,0.06060606060606061,2714,82.24242424242425,201,6.28125,2,3,,0.0,0.0,1.197930643570544e-13,2.644671992513281e-08,4.440892098500626e-16,True
1,3,山西,True,True,49,34,0.42643828556842145,2.10115258525434e-10,18,0.375,4352,90.66666666666667,741,15.76595744680851,2,3,5,0.0,0.0025,3.167062376257905e-06,0.42643828556842145,5.433848726532631e-08,2,0.06060606060606061,2712,82.18181818181819,196,6.125,2,3,,0.0,0.0,6.439293542825908e-14,2.716924352164085e-08,4.440892098500626e-16,True
1,4,内蒙古,True,False,26,100,0.43848747027101886,4.778821782736031e-11,6,0.24,4073,162.92,528,22.0,2,3,7,0.0,0.0,1.472144801895059e-11,0.43848747027101886,0.0007347393407250991,44,0.4444444444444444,5102,51.535353535353536,804,8.204081632653061,2,3,7,0.0,0.095,2.2494835850505636e-05,0.00036736967036254953,4.440892098500626e-16,True
1,5,辽宁,True,False,15,100,0.4616012581935327,4.6158866284784494e-08,3,0.21428571428571427,2532,180.85714285714286,434,33.38461538461539,2,3,6,0.0,0.0,9.89017461677788e-13,0.4616012581935327,0.0006463992719767386,27,0.2727272727272727,3338,33.717171717171716,291,2.9693877551020407,2,3,11,0.0,0.0525,3.242217761628696e-10,0.0003231996359882583,4.440892098500626e-16,True
1,6,吉林,True,False,15,100,0.4815578650672965,3.5706573253690976e-09,4,0.2857142857142857,2910,207.85714285714286,541,41.61538461538461,2,3,7,0.0,0.0,7.300536043752803e-13,0.4815578650672965,4.067066416268972e-05,25,0.25252525252525254,8738,88.26262626262626,1092,11.142857142857142,2,3,6,0.0,0.0025,2.595783554210432e-06,2.033533208134486e-05,1.7763568394002505e-15,True
1,7,黑龙江,True,True,13,33,0.5193070931279888,7.462075846120797e-09,2,0.16666666666666666,2582,215.16666666666666,475,43.18181818181818,2,3,,0.0,0.0,8.421041641781812e-14,0.5193070931279888,7.411970504023202e-08,2,0.0625,2623,81.96875,238,7.67741935483871,2,3,,0.0,0.0,7.538414337204813e-14,3.705985252011601e-08,4.440892098500626e-16,True
1,8,上海,True,True,18,33,0.42973903915308265,3.760773470418144e-09,4,0.23529411764705882,2554,150.23529411764707,403,25.1875,2,3,6,0.0,0.0,1.3567748313736416e-10,0.42973903915308265,9.652721599806569e-08,2,0.0625,2684,83.875,250,8.064516129032258,2,3,,0.0,0.0,1.8918200339612667e-13,4.826360799903284e-08,4.440892098500626e-16,True
1,9,江苏,True,True,17,32,0.42423948471954587,4.77480961436072e-08,4,0.25,2524,157.75,475,31.666666666666668,2,3,7,0.0,0.0,1.088118310732522e-12,0.42423948471954587,7.564884119126702e-08,2,0.06451612903225806,2772,89.41935483870968,283,9.433333333333334,2,3,,0.0,0.0,7.138734048339757e-14,3.782442048461121e-08,4.440892098500626e-16,True
1,10,浙江,True,True,15,33,0.43066137221682155,8.606957369039492e-10,2,0.14285714285714285,2452,175.14285714285714,522,40.15384615384615,2,3,,0.0,0.0,1.7708057242771247e-13,0.43066137221682155,7.723569228623717e-08,2,0.0625,2760,86.25,259,8.35483870967742,2,3,,0.0,0.0,1.1585177261963508e-13,3.8617846254140886e-08,4.440892098500626e-16,True
1,11,安徽,False,True,100,36,0.4245142635260484,0.18862667495966345,36,0.36363636363636365,12109,122.31313131313131,2038,20.79591836734694,2,3,5,0.0,0.785,1.7117048669511217e-05,0.4245142635260484,5.851237494525208e-08,2,0.05714285714285714,2749,78.54285714285714,183,5.382352941176471,2,3,,0.0,0.0,8.559819519859957e-14,2.925618747262604e-08,4.440892098500626e-16,True
1,12,福建,True,True,14,33,0.43938308808914783,8.923409566818918e-09,2,0.15384615384615385,2483,191.0,478,39.833333333333336,2,3,,0.0,0.0,8.748557434046234e-14,0.43938308808914783,6.101716087947295e-08,2,0.0625,2792,87.25,281,9.064516129032258,2,3,,0.0,0.0,9.43689570931383e-14,3.050858055075878e-08,4.440892098500626e-16,True
1,13,江西,False,True,100,36,0.4296397907346705,0.05869183330034722,43,0.43434343434343436,8591,86.77777777777777,1480,15.10204081632653,2,3,5,0.0,0.0225,4.442429880780613e-07,0.4296397907346705,5.675856740161578e-08,2,0.05714285714285714,2768,79.08571428571429,189,5.5588235294117645,2,3,,0.0,0.0,7.17065296029773e-14,2.837928381183019e-08,4.440892098500626e-16,True
