call,pair_index,pair_id,failure_province,success_province,t,consumed_r_a,household_composite_wage,formula,common_non_interpolated_inputs_exact
1,1,pair01_山西_to_河北,山西,河北,0.25,0.08642883060040293,18.182765068872058,(1-t)*failure+t*success,True
2,1,pair01_山西_to_河北,山西,河北,0.5,0.0864218972556656,18.162431075700084,(1-t)*failure+t*success,True
3,1,pair01_山西_to_河北,山西,河北,0.75,0.08641496391092825,18.142097082528107,(1-t)*failure+t*success,True
4,2,pair02_重庆_to_河北,重庆,河北,0.25,0.08604864759581432,18.08335240564401,(1-t)*failure+t*success,True
5,2,pair02_重庆_to_河北,重庆,河北,0.5,0.0861684419192732,18.096155966881383,(1-t)*failure+t*success,True
6,2,pair02_重庆_to_河北,重庆,河北,0.75,0.08628823624273205,18.108959528118756,(1-t)*failure+t*success,True
7,3,pair03_江西_to_安徽,江西,安徽,0.25,0.08907914784004319,18.124234435512243,(1-t)*failure+t*success,True
8,3,pair03_江西_to_安徽,江西,安徽,0.5,0.08903869111269799,18.18213002023989,(1-t)*failure+t*success,True
9,3,pair03_江西_to_安徽,江西,安徽,0.75,0.08899823438535281,18.240025604967535,(1-t)*failure+t*success,True
10,4,pair04_贵州_to_四川,贵州,四川,0.25,0.08960823475303514,17.533087904411527,(1-t)*failure+t*success,True
11,4,pair04_贵州_to_四川,贵州,四川,0.5,0.08942624192094842,17.59450365441625,(1-t)*failure+t*success,True
12,4,pair04_贵州_to_四川,贵州,四川,0.75,0.0892442490888617,17.65591940442097,(1-t)*failure+t*success,True
