province_index,province,r_b,consumed_r_a,household_composite_wage,tau,transfer_income,borrowing_rate_gap,return_guard_state,wage_guard_state,classification,iterations_used,final_convergence_statistic,maximum_a2max,first_illegal_iteration,arrays_finite_shape_valid,support_location
0,北京,0.02,0.07859282907432666,18.319859030118984,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,78,5.742150088750009e-09,0.0020616996177511004,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
1,天津,0.02,0.06490365475420734,18.198003011640164,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_NOT_CONVERGED,100,3.132256442930093,0.007803785525198059,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
2,河北,0.02,0.08640803056619092,18.121763089356133,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,19,6.752269632315233e-09,0.0024912494140766905,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
3,山西,0.02,0.08643576394514026,18.203099062044032,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_NOT_CONVERGED,100,0.0009281631413131652,0.0024931778388494474,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
4,内蒙古,0.02,0.07370607384987489,17.638053822269907,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,12,9.962897906667934e-08,0.0018112709666761595,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
5,辽宁,0.02,0.08254889155973023,16.72579387534917,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,41,1.8803770318598367e-08,0.0022681598338802345,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
6,吉林,0.02,0.0786566974876448,15.98491210464971,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,11,8.925841621376662e-09,0.0020563409567774804,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
7,黑龙江,0.02,0.08488059053640952,14.782111996765861,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,10,2.0738430972500055e-09,0.002388233653466909,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
8,上海,0.02,0.0786410648427616,18.0332764190634,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,51,5.020913906861324e-09,0.002063272534106264,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
9,江苏,0.02,0.08042908909180554,18.287049574345293,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,20,5.119193957625612e-11,0.0021590386000782114,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
10,浙江,0.02,0.08335304818599189,18.00489758044457,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,92,2.6824935162039765e-08,0.002317786828698709,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
11,安徽,0.02,0.08895777765800762,18.29792118969518,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,32,9.001395184782268e-10,0.0026411703892993965,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
12,福建,0.02,0.08227353131506258,17.622512150269692,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,52,5.116336243560227e-10,0.002256696043830997,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
13,江西,0.02,0.08911960456738838,18.066338850784597,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_NOT_CONVERGED,100,0.013707919677756308,0.0026497919674894344,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
14,山东,0.02,0.08264908560515918,18.321743106447045,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,55,8.959965169808015e-08,0.00227997998903845,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
15,河南,0.02,0.08521809867670735,18.484175006636022,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,46,1.2311129893305406e-10,0.0024245240015194347,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
16,湖北,0.02,0.0851220223749261,18.519697907284154,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,31,1.2030598739443121e-10,0.002419195833642085,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
17,湖南,0.02,0.0872058027276669,18.15409814981755,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,75,8.930916006733014e-10,0.002537589441384547,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
