iteration,convergence_statistic,signed_dV_at_argmax,argmax_b_index,argmax_a_index,argmax_z_index,argmax_b,argmax_a,argmax_z,A2max,operator_legal,finite_checks_pass,shape_checks_pass,liquid_selector_changes,transfer_selector_changes,consumption_change_count,consumption_change_max_abs,labor_change_count,labor_change_max_abs,transfer_change_count,transfer_change_max_abs,vb_forward_floor_hits,vb_backward_floor_hits,value_sha256,liquid_label_sha256,transfer_label_sha256,value_period_2_inf,value_period_3_inf,linear_solve_residual_inf
1,0.7728818908153778,0.7728818908153778,0,639,0,-2.0,100.0,0.8,1.1368683772161603e-13,True,True,True,,,,,,,,,0,0,E3663BCD6121AC51EE806B12CB8BEF4667BEAB00E5ED9A0FE7475506B12F66C8,061C456370B7BBFAAE98CEBD159E7991E78E227B533476AC21A00BFC64698BAC,35A4D63CBE07653AEEC25634C6EE66C0790A6972B00A815E97C6131E87A4BD04,,,6.1736032952453e-13
2,0.2613081924727638,0.2613081924727638,0,639,1,-2.0,100.0,1.3,5.684341886080802e-14,True,True,True,3296,0,25478,6.452926491910336,25478,0.12730218607608723,25560,26.73927436016882,0,0,84DEBCE8D32B044799BF59976D783C176B94F60217341603234EA1D871A6949C,58C6FD7AA48544E9E8BA71EAB376F4026B643F3C03318453EEAC019BF84E47AA,35A4D63CBE07653AEEC25634C6EE66C0790A6972B00A815E97C6131E87A4BD04,,,4.015676680069191e-13
3,0.21575024733990933,0.21575024733990933,17,468,0,17.68421052631579,73.23943661971832,0.8,0.0015128765254778798,True,True,True,4385,704,24708,3.0342086993200166,24708,0.06078300570897699,25560,16.813021236920275,0,0,20315A64E3B27F87C7717A335B6515A056B487EE91DD6B5705204A991EDF12F6,21CCF80CBC61F95E3953123AE6BB08D2E314517B81BB85BE690DCD84F161F725,4B2E6463871A0B2D28289701334190D94FA2CC7AF5FE94F235EFABD10A4A32E0,0.46697576924732087,,2.56475396476219e-13
4,0.055620777213314376,0.055620777213314376,3,22,1,1.473684210526316,3.442879499217528,1.3,0.001512876525478546,True,True,True,2007,13000,24575,5.3660357031767,24575,0.15728284308263107,25256,5.745428400491811,0,0,694B38170FE88384CB94EE48E969A87E794691CFC321E0D914176911FAF4C61B,C7EAB5BCBC9E0F6461575DCFD991161B62B1BD16AD3C30D91142D323844C19F8,02EBF2A21366EF7FF3DD4947FF005AE14A4D0C53FEB442A33DD444B30921A8D5,0.2290973199621118,0.48281579685577647,1.8196555373606316e-13
5,0.01362907378987499,0.01362907378987499,4,1,1,2.6315789473684212,0.1564945226917058,1.3,0.001512876525478546,True,True,True,571,1808,24504,6.059288777260793,24504,0.11734835645540798,18319,26.777147172027245,0,0,8C9B78AEDD1C658E8F887F530A71D6401D411B6685EAC861F3F4C2141CBD269E,695E5386634193656233C831E31C465D93FFDDB0A30A79855B8379A26E1A5891,BD400495DEE3EFE8F5388992859276D90675E92F9BF818D71F6D7B7413C39CAD,0.06369202017307041,0.23046432236836378,1.2649603586822877e-13
6,0.0034973494336931754,-0.0034973494336931754,19,154,1,20.0,24.100156494522693,1.3,0.0015128765254776577,True,True,True,171,547,24316,2.443657993656947,24316,0.05420053315029638,17382,13.03866319071968,0,0,97AF4E39A28485959563011CC22BB386723B4D078669ECD722DA931552B5E38C,49C62238FAA5880F3FC724404F2280C0ADFFB5FF7AFB5554F36A715C4E7DEAE3,03772911127AD76314640C750E24375A9F74C14F1FC8EAF0E751E48707AF9569,0.015824577568777087,0.06511985494706307,1.2539969063141143e-13
7,0.0019981345667492434,0.0019981345667492434,19,155,1,20.0,24.2566510172144,1.3,0.001512876525478546,True,True,True,48,104,24275,4.642978377083365,24275,0.0749834639001119,16974,56.0686806548881,0,0,F89C714C4D99A35B0DB8906F5D2CD21576CFFDE6F23734CB222F741965E7DC5E,E4EE61CD206DF8B4937035159F6E0AAAC4DAAE7011CB656A27323D435F389CB2,AE0E990DC9DDB1834EEEE41C73342B976812F003F2AE72E5D165421C4DDDCB6E,0.0032261821224026654,0.01598889781435897,1.3483658634072526e-13
8,0.0028049833772374466,0.0028049833772374466,19,150,1,20.0,23.47417840375587,1.3,0.001512876525478546,True,True,True,22,10,24266,2.7298435628196103,24266,0.0614756062732803,16928,38.83115060678192,0,0,223ED6301B22C531CCD2826C3F5F1805EA2D0E2F394A2614B99E57FDDD1740FE,ACCD8857F8B34DD3B9A1730D63D6AFBF9D09F7621072FF99017DC9829C403E8B,3D3AA7310349845E13E5317B546C1916E3C7327D674A5BEB6BC6C297FF0E90E7,0.0036525666501414644,0.00281492307546527,1.4163670236655435e-13
9,0.021455194875374062,-0.021455194875374062,19,151,1,20.0,23.630672926447577,1.3,0.001512876525478546,True,True,True,29,26,24272,3.0559805249340695,24272,0.07075492412842932,16927,19.96878795247054,0,0,25D67E38938AA900A6CB0998B3A1A6D08C328495240B7E1FBDEB2103E48E743E,6CD039654E9E6FD311A3B193BA75A15CE50DAAF8548D431517818205872C3F6F,265CFD00EEB46FBA96D96CA357AD42FAE2A6AAED5C1960CB9EEEFCD6F3E44C90,0.018706429321535323,0.019281092809291467,1.4827028493868966e-13
10,0.01346733756287688,0.01346733756287688,19,151,1,20.0,23.630672926447577,1.3,0.0015128765254776577,True,True,True,130,53,24267,989.7790132983198,24267,0.5983335515656767,16955,307.42378412698065,11,11,E93D5DC71C2575B1C5B4B99D5C7D1619E3FE7D41D9969AEFF38A7AD27135506C,F2DF79CB6DD39BE14A8CD01F10495BE5B2CF92DE712489BE481A84E37810498D,1C7FAAB6177176C6FECBC40ADBC838B62398CC57249B937AEADBCC131C897C08,0.014116638839455575,0.011840408216238885,3.3274615701683885e-12
11,0.0024383547119333215,0.0024383547119333215,19,147,1,20.0,23.004694835680752,1.3,0.0015128765254776577,True,True,True,45,15,23192,972.0869917091318,23192,0.3626480598014056,16856,5604.474871926765,4,4,EE78797E386D27F27870CA5AA72C2F1694BF772732A82A7DB5988E26A74F5E30,B36D5406D2FDAD196266A3EFCD0AACF5F5695BFF0DE5925B61FDDB9D584EDB49,6EDFF7EBDB972A687F6221382CBC3E57315C55BE7C90073A4C95DCADCB2AC19C,0.0138085568240629,0.011678284127522254,2.930609609153034e-10
12,0.007276518420533895,0.007276518420533895,19,145,1,20.0,22.69170579029734,1.3,0.0015128765254776577,True,True,True,44,8,22730,65.77000465425401,22730,0.18280002913579163,16778,2804.3515968091115,4,4,64D2B5A06639390EEAD7752DD19136324EBFC079C37C896043BAA72564E5791A,47EBFE2C0A550F67F3498B910FA114FE68A6FC25F8B5B764D84568C388A8AE0E,5CBCB30D9589F7DC3FF6E149824193F80416BC7D611C6F95F47FC953CEF84426,0.00859240341466827,0.014033388308050343,1.4313113194663885e-11
13,0.003577004611196921,-0.003577004611196921,19,145,1,20.0,22.69170579029734,1.3,0.001512876525478546,True,True,True,33,15,22678,896.1838709906353,22678,0.18944186523557077,16762,1402.7611409058975,3,3,18F7D199088E0C33EE4A7898E10DD0F27404AB4CEEEBBD188B2038E7CABD82C9,7E05E090B3243FED87C9436D9171D0FAB02FB3F2EF11F5F8E075A1E4B40E6E24,5EB326E14658767F2540F6FF37EDEC4C8FDC6338EDD643F69D03E3DC575E9671,0.003699513809336974,0.005015398803471349,2.752001404537907e-11
14,0.003347340961301626,0.003347340961301626,19,147,1,20.0,23.004694835680752,1.3,0.001512876525478546,True,True,True,9,0,22745,903.3794152637585,22745,0.1761150656326232,16748,701.9090830949486,2,2,2710CFED0F6C253F9224ACE4BA81104DCAE2C08F4FCFD874F8FD3848F54ECE4C,82A361D19DFFC2C712A20F8109F4888EDF645E20FCDA76B9CB461C68E12BFD09,5EB326E14658767F2540F6FF37EDEC4C8FDC6338EDD643F69D03E3DC575E9671,0.0030413332031382634,0.005261675425479284,1.1853434900288562e-12
15,0.0016218682347841629,0.0016218682347841629,19,147,1,20.0,23.004694835680752,1.3,0.001512876525478546,True,True,True,4,5,22754,903.6708934157662,22754,0.1820425386796236,16761,5632.073167242335,1,1,32A2868D9DE63864570FE1DE58BEF1B78D14117C176357D9E6708A13F473AF65,D49851D54D62F75CC02DE061F14EB65F757342D34CEF092FC4AD14B0DE0D7330,3698A51116CA3B0538EE903C552333B3F3356D1F18158CEA0B0AB1A5AF2CEE17,0.004969209196085789,0.004644929500936978,5.64484074067062e-10
16,0.0011285389345119246,0.0011285389345119246,19,149,1,20.0,23.317683881064163,1.3,0.001512876525478546,True,True,True,0,5,22496,29.816264471958718,22496,0.07213157445976215,16739,3229.5542030497427,1,1,AAB1BAA34FC758AD44B84FE32BBB8BE022A1B9CDD6A50EEB6B192A62438063EC,D49851D54D62F75CC02DE061F14EB65F757342D34CEF092FC4AD14B0DE0D7330,211D15B4B104BC9A60E5A708C2C812A5A8E6C52C357367A4A9D7A901EA487174,0.002069467995408969,0.005265091766022856,5.732474911424035e-11
17,0.0012089549554044066,0.0012089549554044066,18,147,1,18.842105263157897,23.004694835680752,1.3,0.0015128765254776577,True,True,True,2,5,22635,27.331896348339292,22635,0.07937755309721617,16780,1500.7535010135434,1,1,0C04387C5683CA2116F03543D88E377F9426454216B266A395BFC75FB05F8715,633087414A66953D8B95290A9A21A18B9DBCF46427C5A7D228822F63A69E679D,93F247A45197525FB2658BA2DB4F6C4C40904860A983C55D62F432F9F47529E2,0.001706668023486957,0.002319595016119891,9.002784628897587e-12
