variable,source_object,current_unit_status,proposed_k_unit,numeric_transform,accepted_current_range,proposed_range,authority
province GDP,Y0_MU,MU=100k aggregate,total k,*100,"{""min"":1548400.0,""median"":22716500.0,""max"":99945200.0}","{""min"":154840000.0,""median"":2271650000.0,""max"":9994520000.0}",PROVEN
population,N0_NU,NU=100 persons,persons,*100,"{""min"":35400.0,""median"":393100.0,""max"":1234800.0}","{""min"":3540000.0,""median"":39310000.0,""max"":123480000.0}",PROVEN
per-capita GDP,Y0_MU/N0_NU,algebraic k/person,k/person,unchanged,"{""min"":32.22306163021869,""median"":51.5588270640548,""max"":151.0310218978102}","{""min"":32.22306163021869,""median"":51.5588270640548,""max"":151.0310218978102}",PROVEN_MACRO_RATIO
capital,K0_MU,MU=100k aggregate,total k,*100,"{""min"":6325734.326183821,""median"":67306708.83876626,""max"":210016973.07581103}","{""min"":632573432.6183821,""median"":6730670883.876626,""max"":21001697307.581104}",PROVEN
investment,I,source/firm flow,total k/period,*100 if same aggregate route,UNAVAILABLE_FROM_ACCEPTED_EVIDENCE,UNAVAILABLE_FROM_ACCEPTED_EVIDENCE,FORMULA_ONLY
raw firm wage,raw_wjt0,MU/NU algebra,k/person/period,numeric unchanged,"{""min"":7.7642626541050035,""median"":12.423284914909623,""max"":36.39146820961234}","{""min"":7.7642626541050035,""median"":12.423284914909623,""max"":36.39146820961234}",MACRO_FORMULA_PROVEN__HOUSEHOLD_BRIDGE_UNPROVEN
guarded wjt,used_wjt0,legacy guard scale,candidate k/person/period,numeric unchanged conditionally,"{""min"":1.3,""median"":1.3,""max"":1.3}","{""min"":1.3,""median"":1.3,""max"":1.3}",MONETARY_UNIT_BRIDGE_UNPROVEN
household composite wage,w0,household wage scale,candidate k/person/period,numeric unchanged conditionally,"{""min"":13.837477514705718,""median"":17.874582154052934,""max"":18.519697907284154}","{""min"":13.837477514705718,""median"":17.874582154052934,""max"":18.519697907284154}",MONETARY_UNIT_BRIDGE_UNPROVEN
household At,At,household mean asset,candidate k/person,numeric unchanged conditionally,"{""min"":7.143351547143082,""median"":7.291082145686669,""max"":7.334687480441145}","{""min"":7.143351547143082,""median"":7.291082145686669,""max"":7.334687480441145}",MONETARY_UNIT_BRIDGE_UNPROVEN
household Bt,Bt,household mean asset,candidate k/person,numeric unchanged conditionally,"{""min"":1.609508492120329,""median"":4.682784072147947,""max"":4.699508302009303}","{""min"":1.609508492120329,""median"":4.682784072147947,""max"":4.699508302009303}",MONETARY_UNIT_BRIDGE_UNPROVEN
