scan,point_id,rb,ra,standalone_household_wage,hjb_legal,hjb_converged,hjb_iterations,source_distribution_label,distribution_label,health_map_label,Ct,Lt,At,Bt,amin_mass,amax_mass,interior_a_mass,interior_a_mass_provenance,modal_a,kfe_signed_pathology,density_min,density_negative_count,source_points_csv,source_points_sha256,source_acceptance_report,accepted_candidate_sha
coarse,p01_ra_0p020_w_0p80,0.02,0.02,0.8,true,true,9,QUALITY_AMBIGUOUS__OWNER_REVIEW_REQUIRED,LOWER_A_BOUNDARY_DOMINATED,LOWER_A_BOUNDARY_DOMINATED,0.8955182593473062,1.0495883637954382,2.3530582996953994e-15,0.3047148315157247,0.9999999999999996,0.0,0.0000000000000004,DERIVED_TOTAL_MINUS_AMIN_MINUS_AMAX,0,false,-2.925780288111553e-17,9,docs/evidence/ch5_mp4c_k1_standalone_hjb_ra_wage_coarse_3x3/points.csv,4aa5612d6039033c6da4f8092501875fd67560a33aad15529db1439809c27ad2,docs/CH5_MP4C_K1_STANDALONE_MATLAB_FAITHFUL_HJB_RA_WAGE_COARSE_3X3_SCAN_ACCEPTANCE.md,5f55b474780d70921bfcf3ea2f863039c61814c1
coarse,p02_ra_0p020_w_1p05,0.02,0.02,1.05,true,true,9,QUALITY_AMBIGUOUS__OWNER_REVIEW_REQUIRED,LOWER_A_BOUNDARY_DOMINATED,LOWER_A_BOUNDARY_DOMINATED,1.1112308929787573,1.0166787358199252,-2.3291023450918505e-15,0.36927799051218185,1.0000000000000007,0.0,-0.0000000000000008,DERIVED_TOTAL_MINUS_AMIN_MINUS_AMAX,0,false,-6.287091257767056e-17,416,docs/evidence/ch5_mp4c_k1_standalone_hjb_ra_wage_coarse_3x3/points.csv,4aa5612d6039033c6da4f8092501875fd67560a33aad15529db1439809c27ad2,docs/CH5_MP4C_K1_STANDALONE_MATLAB_FAITHFUL_HJB_RA_WAGE_COARSE_3X3_SCAN_ACCEPTANCE.md,5f55b474780d70921bfcf3ea2f863039c61814c1
coarse,p03_ra_0p020_w_1p30,0.02,0.02,1.3,true,true,9,QUALITY_AMBIGUOUS__OWNER_REVIEW_REQUIRED,LOWER_A_BOUNDARY_DOMINATED,LOWER_A_BOUNDARY_DOMINATED,1.3198290251555729,0.9905183870888465,-4.552114186315432e-15,0.4328000803824068,1.0000000000000016,0.0,-0.0000000000000017,DERIVED_TOTAL_MINUS_AMIN_MINUS_AMAX,0,false,-2.1971506872345668e-16,439,docs/evidence/ch5_mp4c_k1_standalone_hjb_ra_wage_coarse_3x3/points.csv,4aa5612d6039033c6da4f8092501875fd67560a33aad15529db1439809c27ad2,docs/CH5_MP4C_K1_STANDALONE_MATLAB_FAITHFUL_HJB_RA_WAGE_COARSE_3X3_SCAN_ACCEPTANCE.md,5f55b474780d70921bfcf3ea2f863039c61814c1
coarse,p04_ra_0p055_w_0p80,0.02,0.055,0.8,true,true,9,QUALITY_AMBIGUOUS__OWNER_REVIEW_REQUIRED,LOWER_A_BOUNDARY_DOMINATED,LOWER_A_BOUNDARY_DOMINATED,0.8955063266794753,1.049572870764775,2.0751533707801726e-07,0.3047073770509225,0.9999999761363895,2.8723124680063752e-09,0.0000000209912979319936248,DERIVED_TOTAL_MINUS_AMIN_MINUS_AMAX,0,false,-7.650594245997655e-25,90,docs/evidence/ch5_mp4c_k1_standalone_hjb_ra_wage_coarse_3x3/points.csv,4aa5612d6039033c6da4f8092501875fd67560a33aad15529db1439809c27ad2,docs/CH5_MP4C_K1_STANDALONE_MATLAB_FAITHFUL_HJB_RA_WAGE_COARSE_3X3_SCAN_ACCEPTANCE.md,5f55b474780d70921bfcf3ea2f863039c61814c1
coarse,p05_ra_0p055_w_1p05,0.02,0.055,1.05,true,true,9,QUALITY_AMBIGUOUS__OWNER_REVIEW_REQUIRED,LOWER_A_BOUNDARY_DOMINATED,LOWER_A_BOUNDARY_DOMINATED,1.1112289892180123,1.016676757166424,-9.396155581626625e-09,0.3692772205669133,1.00000000110618,-1.1251701860711828e-10,-0.00000000099366318139288172,DERIVED_TOTAL_MINUS_AMIN_MINUS_AMAX,0,false,-2.7817954139239786e-10,409,docs/evidence/ch5_mp4c_k1_standalone_hjb_ra_wage_coarse_3x3/points.csv,4aa5612d6039033c6da4f8092501875fd67560a33aad15529db1439809c27ad2,docs/CH5_MP4C_K1_STANDALONE_MATLAB_FAITHFUL_HJB_RA_WAGE_COARSE_3X3_SCAN_ACCEPTANCE.md,5f55b474780d70921bfcf3ea2f863039c61814c1
coarse,p06_ra_0p055_w_1p30,0.02,0.055,1.3,true,true,9,QUALITY_AMBIGUOUS__OWNER_REVIEW_REQUIRED,LOWER_A_BOUNDARY_DOMINATED,LOWER_A_BOUNDARY_DOMINATED,1.319824809612252,0.9905148357718729,-1.6178386607546935e-10,0.43280108427471453,1.0000000000194584,-1.7287883916415863e-12,-0.0000000000177297116083584137,DERIVED_TOTAL_MINUS_AMIN_MINUS_AMAX,0,false,-4.087346553651891e-12,412,docs/evidence/ch5_mp4c_k1_standalone_hjb_ra_wage_coarse_3x3/points.csv,4aa5612d6039033c6da4f8092501875fd67560a33aad15529db1439809c27ad2,docs/CH5_MP4C_K1_STANDALONE_MATLAB_FAITHFUL_HJB_RA_WAGE_COARSE_3X3_SCAN_ACCEPTANCE.md,5f55b474780d70921bfcf3ea2f863039c61814c1
narrow,p01_ra_0p0600_w_0p80,0.02,0.06,0.8,true,true,9,LOWER_A_BOUNDARY_DOMINATED,LOWER_A_BOUNDARY_DOMINATED,KFE_NUMERICALLY_PATHOLOGICAL,0.8829743415911177,1.0551451839000863,-0.3383306787869177,0.28850713107033676,1.0377993910487715,-0.007111658675254044,-0.030687732373517258,DIRECT,0,true,-0.01258986461524459,340,docs/evidence/ch5_mp4c_k1_standalone_hjb_ra_wage_frontier_narrow_3x3/points.csv,d29ab0d59a2f64b2000ae0adc5e806f396a281f71f6620b73aaba842b0ba90a6,docs/CH5_MP4C_K1_STANDALONE_MATLAB_FAITHFUL_HJB_RA_WAGE_FRONTIER_NARROW_3X3_SCAN_ACCEPTANCE.md,d1401fc5154a6fb77989b0de343da20329bf724a
narrow,p02_ra_0p0600_w_1p05,0.02,0.06,1.05,true,true,9,LOWER_A_BOUNDARY_DOMINATED,LOWER_A_BOUNDARY_DOMINATED,LOWER_A_BOUNDARY_DOMINATED,1.11147214667523,1.0165858690813971,0.006761812031674478,0.36947887252223965,0.9992360457376384,0.00012632879340057792,0.0006376254689608681,DIRECT,0,false,-1.6521787512000978e-19,25,docs/evidence/ch5_mp4c_k1_standalone_hjb_ra_wage_frontier_narrow_3x3/points.csv,d29ab0d59a2f64b2000ae0adc5e806f396a281f71f6620b73aaba842b0ba90a6,docs/CH5_MP4C_K1_STANDALONE_MATLAB_FAITHFUL_HJB_RA_WAGE_FRONTIER_NARROW_3X3_SCAN_ACCEPTANCE.md,d1401fc5154a6fb77989b0de343da20329bf724a
narrow,p03_ra_0p0600_w_1p30,0.02,0.06,1.3,true,true,9,INTERIOR_A_DISTRIBUTION_CANDIDATE,INTERIOR_A_DISTRIBUTION_CANDIDATE,INTERIOR_A_DISTRIBUTION_CANDIDATE,1.6271748553562086,0.891817638945374,8.735398940966421,0.5804628039224781,0.0,0.14322175313211902,0.856778246867881,DIRECT,8.947368421052632,false,-1.0036466742821093e-19,25,docs/evidence/ch5_mp4c_k1_standalone_hjb_ra_wage_frontier_narrow_3x3/points.csv,d29ab0d59a2f64b2000ae0adc5e806f396a281f71f6620b73aaba842b0ba90a6,docs/CH5_MP4C_K1_STANDALONE_MATLAB_FAITHFUL_HJB_RA_WAGE_FRONTIER_NARROW_3X3_SCAN_ACCEPTANCE.md,d1401fc5154a6fb77989b0de343da20329bf724a
first_refinement,p01_ra_0p0650_w_0p80,0.02,0.065,0.8,true,true,9,TRANSITION_AMBIGUOUS__OWNER_REVIEW_REQUIRED,TRANSITION_AMBIGUOUS__OWNER_REVIEW_REQUIRED,TRANSITION_AMBIGUOUS__OWNER_REVIEW_REQUIRED,1.2482613461910421,0.8810661316580259,8.996225684941015,0.9473326114731597,0.0,0.22958608995803623,0.770413910041964,DIRECT,9.473684210526315,false,-3.8061580955524937e-17,145,docs/evidence/ch5_mp4c_k1_standalone_hjb_ra_transition_refinement_3x3/points.csv,29b39af559aafa4a566e57f1b4357c393b60e872641eca530d9cf4a35544d613,docs/CH5_MP4C_K1_STANDALONE_MATLAB_FAITHFUL_HJB_RA_TRANSITION_REFINEMENT_3X3_SCAN_ACCEPTANCE.md,cdaba87bae181280e182f639d4cf8fa5a5bae773
