turn,face,control_outward_count,raw_outward_count,both_outward_same_cell_count,raw_only_new_outward_count,control_only_resolved_in_raw_count,control_outward_liquid_labels,raw_outward_liquid_labels,control_outward_transfer_labels,raw_outward_transfer_labels
2,lower_a,0,0,0,0,0,,,,
2,upper_a,211,513,94,419,117,0:39;B:118;F:54,0:118;B:246;F:149,0:196;B:3;F:12,0:389;B:14;F:110
2,lower_b,0,0,0,0,0,,,,
2,upper_b,649,398,247,151,402,F:649,B:1;F:397,B:649,B:398
3,lower_a,0,0,0,0,0,,,,
3,upper_a,249,517,106,411,143,0:49;B:148;F:52,0:112;B:288;F:117,0:238;B:5;F:6,0:370;B:12;F:135
3,lower_b,0,6,0,6,0,,0:6,,0:6
3,upper_b,664,386,206,180,458,F:664,F:386,B:664,B:386
4,lower_a,0,0,0,0,0,,,,
4,upper_a,251,387,116,271,135,0:64;B:139;F:48,0:110;B:168;F:109,0:234;B:1;F:16,0:308;B:12;F:67
4,lower_b,0,9,0,9,0,,0:9,,0:9
4,upper_b,692,344,199,145,493,F:692,F:344,B:692,B:344
5,lower_a,0,0,0,0,0,,,,
5,upper_a,258,496,116,380,142,0:69;B:117;F:72,0:132;B:256;F:108,0:243;B:3;F:12,0:357;B:12;F:127
5,lower_b,0,7,0,7,0,,0:7,,0:7
5,upper_b,646,417,238,179,408,F:646,F:417,B:646,B:417
