Variable,Source object,Source file/function,Raw/statistical unit,Model-normalized unit/status,Transformation,Multiplier/divisor,Accepted numerical order of magnitude,Can compare directly?
province GDP,Y0_MU,corrected_2018_runtime.py,亿元,MU_10WAN_YUAN,raw*1000,1000,"{""min"":1548400.0,""median"":22716500.0,""max"":99945200.0}",no
province per-capita GDP,Y0_MU/N0_NU,load_GDPdata.m; receipt,derived,1000 yuan/person/model period (implied),Y0/N0,1,"{""min"":32.22306163021869,""median"":51.5588270640548,""max"":151.0310218978102}",no
firm wage,wjt,HANK_firm.m,not proven,MODEL_NORMALIZED,"guard(raw wage,0.8,1.3)",guard,"{""min"":1.3,""median"":1.3,""max"":1.3}",no
household composite wage,results.w/w0,wage_caculate.m,not proven,MODEL_NORMALIZED_SCALE__MONETARY_UNIT_NOT_PROVEN,cross-province aggregation,nonlinear,"{""min"":13.837477514705718,""median"":17.874582154052934,""max"":18.519697907284154}",no
investment,It,load_GDPdata.m; HANK_firm.m,亿元 in corrected source series,MU status follows K flow,PIM input; K-Kprev+delta*K,delta .096/.025 by role,UNAVAILABLE_FROM_ACCEPTED_EVIDENCE,unknown
capital,K0_MU,corrected_2018_runtime.py,亿元,MU_10WAN_YUAN,raw*1000,1000,"{""min"":6325734.326183821,""median"":67306708.83876626,""max"":210016973.07581103}",yes with GDP only
population,N0_NU,corrected_2018_runtime.py,万人,NU_100_PERSONS,raw*100,100,"{""min"":35400.0,""median"":393100.0,""max"":1234800.0}",yes for Y/N
labor,L0,mpHANK_equilibrium_2000.m,population proxy,NU proxy,L0=N0,1,"{""min"":35400.0,""median"":393100.0,""max"":1234800.0}",not with household labor
productivity,Zt0,corrected_2018_runtime.py,derived,MODEL_DERIVED,Y*K^-alpha*N^(alpha-1),alpha=.7380939146868483,"{""min"":0.695994950573659,""median"":1.2419605594280527,""max"":2.437920774687262}",no standalone monetary comparison
