interval,represented_candidate_count,definite_inadmissible_lower_bound,possible_inadmissible_upper_bound,definite_preserved_unchanged_count,hit_share_lower_bound,hit_share_upper_bound,exact_hit_share_supported
"[-1,1]",87027200,214994,87027200,0,0.0024704230401529637,1.0,False
"[-3,3]",87027200,211726,86478400,548800,0.002432871561994411,0.9936939255772907,False
"[-5,5]",87027200,205179,83037600,3989600,0.0023576422084130018,0.9541568613031328,False
"[-10,10]",87027200,203335,82230400,4796800,0.0023364534306515665,0.9448816002353287,False
"[-30,30]",87027200,200404,81296000,5731200,0.0023027743050448597,0.9341447271657597,False
"[-100,100]",87027200,196334,80328000,6699200,0.002256007317252537,0.9230217679070452,False
"[-300,300]",87027200,188207,78254400,8772800,0.0021626227202529782,0.8991947345197823,False
"[-1000,1000]",87027200,173492,73969600,13057600,0.00199353765259597,0.8499595528754229,False
"[-3000,3000]",87027200,149399,67380800,19646400,0.001716693171789969,0.7742498896896602,False
"[-10000,10000]",87027200,110890,56355200,30672000,0.0012741993307839388,0.6475584644800706,False
"[-100000,100000]",87027200,35402,23338400,63688800,0.00040679235917046627,0.2681736284747757,False
"[-1e+06,1e+06]",87027200,7138,5332800,81694400,8.202033387262833e-05,0.0612773937343727,False
"[-1e+07,1e+07]",87027200,1349,1050400,85976800,1.5500900867774673e-05,0.0120697896749522,False
"[-1e+08,1e+08]",87027200,238,190400,86836800,2.734777173113693e-06,0.0021878217384909545,False
