interval,count,preserved_unchanged_count,inadmissible_count,hit_share,lower_hit_count,upper_hit_count
"[-1,1]",248000,109850,138150,0.5570564516129032,100280,37870
"[-3,3]",248000,158827,89173,0.3595685483870968,62227,26946
"[-5,5]",248000,178508,69492,0.2802096774193548,49454,20038
"[-10,10]",248000,194347,53653,0.21634274193548386,40191,13462
"[-30,30]",248000,204849,43151,0.1739959677419355,33629,9522
"[-100,100]",248000,230221,17779,0.07168951612903225,12458,5321
"[-300,300]",248000,240535,7465,0.030100806451612904,4586,2879
"[-1000,1000]",248000,244532,3468,0.013983870967741936,2115,1353
"[-3000,3000]",248000,246365,1635,0.006592741935483871,1095,540
"[-10000,10000]",248000,247318,682,0.00275,502,180
"[-100000,100000]",248000,247890,110,0.0004435483870967742,87,23
"[-1e+06,1e+06]",248000,247981,19,7.661290322580645e-05,16,3
"[-1e+07,1e+07]",248000,247997,3,1.2096774193548387e-05,3,0
"[-1e+08,1e+08]",248000,248000,0,0.0,0,0
