population,group,threshold,count,abs_exceed_count,abs_exceed_share,positive_exceed_count,positive_exceed_share,negative_exceed_count,negative_exceed_share
RAW_BRANCH_CELLS,ALL,100.0,87027200,8921741,0.10251669592954846,3306220,0.03799065119870569,5615521,0.06452604473084277
RAW_BRANCH_CELLS,ALL,300.0,87027200,4066119,0.04672239253934402,1861563,0.021390588229886747,2204556,0.025331804309457272
RAW_BRANCH_CELLS,ALL,1000.0,87027200,1867409,0.0214577626305339,906107,0.01041176781511987,961302,0.011045994815414031
RAW_BRANCH_CELLS,ALL,3000.0,87027200,845711,0.009717777890130902,385145,0.004425570396381821,460566,0.005292207493749081
RAW_BRANCH_CELLS,ALL,10000.0,87027200,346752,0.003984409471981173,148646,0.00170804070451537,198106,0.002276368767465804
RAW_BRANCH_CELLS,ALL,30000.0,87027200,147705,0.0016972279930872187,62438,0.0007174538535078688,85267,0.00097977413957935
RAW_BRANCH_CELLS,ALL,100000.0,87027200,55990,0.000643362075305192,24291,0.0002791196315634652,31699,0.0003642424437417267
RAW_BRANCH_CELLS,ALL,300000.0,87027200,23131,0.0002657904655096338,10218,0.00011741156787762907,12913,0.0001483788976320047
RAW_BRANCH_CELLS,ALL,1000000.0,87027200,8826,0.00010141656861303133,3939,4.5261711281070744e-05,4887,5.615485733196058e-05
RAW_BRANCH_CELLS,ALL,3000000.0,87027200,3812,4.3802397411384025e-05,1707,1.9614557287836445e-05,2105,2.418784012354758e-05
RAW_BRANCH_CELLS,ALL,10000000.0,87027200,1500,1.7235990586851007e-05,638,7.331041329607296e-06,862,9.904949257243713e-06
RAW_BRANCH_CELLS,ALL,100000000.0,87027200,241,2.769249154287395e-06,124,1.4248418885130165e-06,117,1.3444072657743787e-06
RAW_BRANCH_CELLS,PATH_G1,100.0,42758400,3997867,0.09349898499476127,1491106,0.03487282031133064,2506761,0.058626164683430626
RAW_BRANCH_CELLS,PATH_G1,300.0,42758400,1905664,0.04456817841640473,863197,0.020187775969166294,1042467,0.024380402447238436
RAW_BRANCH_CELLS,PATH_G1,1000.0,42758400,903508,0.021130538093099834,439494,0.010278541760215537,464014,0.0108519963328843
RAW_BRANCH_CELLS,PATH_G1,3000.0,42758400,417015,0.009752820498428379,191778,0.0044851537943421645,225237,0.0052676667040862145
RAW_BRANCH_CELLS,PATH_G1,10000.0,42758400,171029,0.003999892418799581,72897,0.0017048579928154468,98132,0.0022950344259841343
RAW_BRANCH_CELLS,PATH_G1,30000.0,42758400,72468,0.0016948248765154916,30288,0.0007083520431073192,42180,0.0009864728334081725
RAW_BRANCH_CELLS,PATH_G1,100000.0,42758400,27223,0.0006366702215237239,11634,0.00027208688819039064,15589,0.00036458333333333335
RAW_BRANCH_CELLS,PATH_G1,300000.0,42758400,11267,0.0002635037793743452,5002,0.00011698286184702888,6265,0.00014652091752731628
RAW_BRANCH_CELLS,PATH_G1,1000000.0,42758400,4297,0.00010049487352192785,1929,4.511394252357432e-05,2368,5.538093099835354e-05
RAW_BRANCH_CELLS,PATH_G1,3000000.0,42758400,1811,4.2354250860649604e-05,822,1.922429277054333e-05,989,2.3129958090106273e-05
RAW_BRANCH_CELLS,PATH_G1,10000000.0,42758400,660,1.5435563538392455e-05,276,6.4548720251459364e-06,384,8.98069151324652e-06
RAW_BRANCH_CELLS,PATH_G1,100000000.0,42758400,77,1.8008157461457866e-06,36,8.419398293668613e-07,41,9.588759167789253e-07
RAW_BRANCH_CELLS,PATH_G2,100.0,44268800,4923874,0.11122673304900968,1815114,0.04100210532022553,3108760,0.07022462772878416
RAW_BRANCH_CELLS,PATH_G2,300.0,44268800,2160455,0.04880310738036721,998366,0.02255236193436461,1162089,0.026250745446002602
RAW_BRANCH_CELLS,PATH_G2,1000.0,44268800,963901,0.021773822647101343,466613,0.010540448351886656,497288,0.011233374295214689
RAW_BRANCH_CELLS,PATH_G2,3000.0,44268800,428696,0.009683930894896631,193367,0.004368019914702906,235329,0.005315910980193726
RAW_BRANCH_CELLS,PATH_G2,10000.0,44268800,175723,0.003969454785311551,75749,0.0017111148257915282,99974,0.002258339959520023
RAW_BRANCH_CELLS,PATH_G2,30000.0,44268800,75237,0.0016995491181147897,32150,0.0007262451207170739,43087,0.0009733039973977158
RAW_BRANCH_CELLS,PATH_G2,100000.0,44268800,28767,0.0006498256108139367,12657,0.0002859124259071852,16110,0.0003639131849067515
RAW_BRANCH_CELLS,PATH_G2,300000.0,44268800,11864,0.00026799913257192424,5216,0.00011782564695677317,6648,0.00015017348561515106
RAW_BRANCH_CELLS,PATH_G2,1000000.0,44268800,4529,0.00010230681653896198,2010,4.540443834032095e-05,2519,5.690237819864103e-05
RAW_BRANCH_CELLS,PATH_G2,3000000.0,44268800,2001,4.520113488506578e-05,885,1.9991506433424895e-05,1116,2.5209628451640885e-05
RAW_BRANCH_CELLS,PATH_G2,10000000.0,44268800,840,1.8974989157149054e-05,362,8.177316755818997e-06,478,1.0797672401330057e-05
RAW_BRANCH_CELLS,PATH_G2,100000000.0,44268800,164,3.704640740205291e-06,88,1.9878560069394247e-06,76,1.7167847332658667e-06
RAW_BRANCH_CELLS,TURN2_COMMON_ENTERING_STATE,100.0,19616000,2194375,0.11186658849918434,811991,0.04139432096247961,1382384,0.07047226753670473
RAW_BRANCH_CELLS,TURN2_COMMON_ENTERING_STATE,300.0,19616000,965162,0.04920279363784666,449480,0.02291394779771615,515682,0.026288845840130505
RAW_BRANCH_CELLS,TURN2_COMMON_ENTERING_STATE,1000.0,19616000,440859,0.022474459624796085,215969,0.011009838907014681,224890,0.011464620717781404
RAW_BRANCH_CELLS,TURN2_COMMON_ENTERING_STATE,3000.0,19616000,198160,0.010101957585644371,89717,0.004573664355628059,108443,0.005528293230016313
RAW_BRANCH_CELLS,TURN2_COMMON_ENTERING_STATE,10000.0,19616000,82177,0.004189284257748777,34690,0.0017684543230016313,47487,0.0024208299347471453
RAW_BRANCH_CELLS,TURN2_COMMON_ENTERING_STATE,30000.0,19616000,34988,0.0017836460032626428,14532,0.0007408238172920066,20456,0.0010428221859706361
RAW_BRANCH_CELLS,TURN2_COMMON_ENTERING_STATE,100000.0,19616000,13319,0.000678986541598695,5543,0.00028257544861337683,7776,0.0003964110929853181
RAW_BRANCH_CELLS,TURN2_COMMON_ENTERING_STATE,300000.0,19616000,5604,0.00028568515497553017,2335,0.00011903548123980425,3269,0.00016664967373572595
RAW_BRANCH_CELLS,TURN2_COMMON_ENTERING_STATE,1000000.0,19616000,2081,0.000106086867862969,842,4.292414355628059e-05,1239,6.316272430668841e-05
RAW_BRANCH_CELLS,TURN2_COMMON_ENTERING_STATE,3000000.0,19616000,945,4.817495921696574e-05,375,1.9117047308319737e-05,570,2.9057911908646004e-05
RAW_BRANCH_CELLS,TURN2_COMMON_ENTERING_STATE,10000000.0,19616000,415,2.1156199021207177e-05,156,7.952691680261011e-06,259,1.3203507340946166e-05
