destination,origin,distance_score
北京,北京,0.0
北京,天津,0.030224736871583606
北京,河北,0.06166171765231425
北京,山西,0.11156330417625113
北京,内蒙古,0.12406486061677793
北京,辽宁,0.1708940080222491
北京,吉林,0.23635128821235712
北京,黑龙江,0.34341487187439285
北京,上海,0.29519319304000585
北京,江苏,0.2542907208525531
北京,浙江,0.30954013584557283
北京,安徽,0.24704063826495265
北京,福建,0.4253538349574239
北京,江西,0.34344825022962233
北京,山东,0.1000006513231787
北京,河南,0.1710685205955636
北京,湖北,0.2899514284497522
北京,湖南,0.36768551118730125
北京,广东,0.5183161638191848
北京,广西,0.562669307740713
北京,海南,0.6284146703296409
北京,重庆,0.4026576192029296
北京,四川,0.41722463780479235
北京,贵州,0.4765624730969423
北京,云南,0.5735355302969255
北京,西藏,0.691839717517909
北京,陕西,0.25063827548976514
北京,甘肃,0.32731792493743667
北京,青海,0.4818279914064302
北京,宁夏,0.25318298154822594
北京,新疆,0.6610416085290437
天津,北京,0.030224736871583606
天津,天津,0.0
天津,河北,0.05301079126282804
天津,山西,0.11808456835379377
天津,内蒙古,0.15240293693422302
天津,辽宁,0.16514731891015133
天津,吉林,0.23608814045958962
天津,黑龙江,0.34989676980974826
天津,上海,0.2655577295834558
天津,江苏,0.22569754950527718
天津,浙江,0.28113085524614645
天津,安徽,0.22218896289997095
天津,福建,0.3996994607191078
天津,江西,0.3209558256807657
天津,山东,0.07523572187455076
天津,河南,0.1590618016165407
天津,湖北,0.2710836059877348
天津,湖南,0.35008801675901663
天津,广东,0.49857141279813066
天津,广西,0.5491804775217718
天津,海南,0.6112544100716693
天津,重庆,0.3980901256338392
天津,四川,0.4178150473604478
天津,贵州,0.468074289853072
天津,云南,0.5688541380122878
天津,西藏,0.703467476311705
天津,陕西,0.25071510167580013
天津,甘肃,0.33915143673712184
天津,青海,0.49844499290621685
天津,宁夏,0.2668673210984104
天津,新疆,0.6867374317050521
河北,北京,0.06166171765231425
河北,天津,0.05301079126282804
河北,河北,0.0
河北,山西,0.0712499894542933
河北,内蒙古,0.14608705373490274
河北,辽宁,0.21783456534961543
河北,吉林,0.2890789576284296
河北,黑龙江,0.4016549752415931
河北,上海,0.25846690780864406
河北,江苏,0.21203435288637343
河北,浙江,0.2654680871267309
河北,安徽,0.1938706584517261
河北,福建,0.3722543947770459
河北,江西,0.28585925710061755
河北,山东,0.05548286757436298
河北,河南,0.10950692646893638
河北,湖北,0.22953109733174795
河北,湖南,0.3065397687072948
河北,广东,0.45800172842570247
河北,广西,0.5010957271244547
河北,海南,0.5670065013469594
河北,重庆,0.34532805437431086
河北,四川,0.36499605284552994
河北,贵州,0.4166302848657746
河北,云南,0.516168235982996
河北,西藏,0.6558330882101928
河北,陕西,0.1979582124264596
河北,甘肃,0.2927993422770662
河北,青海,0.45670385468320185
河北,宁夏,0.2232289030470389
河北,新疆,0.661971380952947
山西,北京,0.11156330417625113
山西,天津,0.11808456835379377
山西,河北,0.0712499894542933
山西,山西,0.0
山西,内蒙古,0.12241272256697695
山西,辽宁,0.2812142301082587
山西,吉林,0.3479065152118589
山西,黑龙江,0.45210994550120276
山西,上海,0.3047126603307873
山西,江苏,0.2538755536379248
山西,浙江,0.3023510185362607
山西,安徽,0.21864935457259432
山西,福建,0.3895693416110296
山西,江西,0.29339056567758776
山西,山东,0.11453619759338958
山西,河南,0.09861785718265347
山西,湖北,0.2269007754527925
山西,湖南,0.29506894733932304
山西,广东,0.44948986647260747
山西,广西,0.47266661475772515
山西,海南,0.5484224041089175
山西,重庆,0.2968154380897859
山西,四川,0.3064614469920205
山西,贵州,0.3763361683100863
山西,云南,0.46684106732028435
山西,西藏,0.5857209376812266
山西,陕西,0.14114205484505776
山西,甘肃,0.22194437696482006
山西,青海,0.3855956599746972
山西,宁夏,0.15201854168306164
山西,新疆,0.5995521891435697
内蒙古,北京,0.12406486061677793
内蒙古,天津,0.15240293693422302
内蒙古,河北,0.14608705373490274
内蒙古,山西,0.12241272256697695
内蒙古,内蒙古,0.0
内蒙古,辽宁,0.2665188204723248
内蒙古,吉林,0.31243418275213164
内蒙古,黑龙江,0.3896797651375602
内蒙古,上海,0.4045234162586803
内蒙古,江苏,0.35782403562031373
内蒙古,浙江,0.4105304535741393
内蒙古,安徽,0.333530924627383
内蒙古,福建,0.5088265375984178
内蒙古,江西,0.4147929866679613
内蒙古,山东,0.20137689884834123
内蒙古,河南,0.22058940411928846
内蒙古,湖北,0.3492314027240116
内蒙古,湖南,0.4168724495987104
内蒙古,广东,0.5712402896709075
内蒙古,广西,0.5865994079295085
内蒙古,海南,0.6669630204073401
内蒙古,重庆,0.39588551825610174
内蒙古,四川,0.3884345181979937
内蒙古,贵州,0.48226332175126124
内蒙古,云南,0.55990502210602
内蒙古,西藏,0.6115308686666187
内蒙古,陕西,0.23978963275199586
内蒙古,甘肃,0.25830039987492676
内蒙古,青海,0.3873297045588033
内蒙古,宁夏,0.1838804835677708
内蒙古,新疆,0.5391680032335304
辽宁,北京,0.1708940080222491
辽宁,天津,0.16514731891015133
辽宁,河北,0.21783456534961543
辽宁,山西,0.2812142301082587
辽宁,内蒙古,0.2665188204723248
辽宁,辽宁,0.0
辽宁,吉林,0.07740494321156342
辽宁,黑龙江,0.20374001556496166
辽宁,上海,0.3269329614785835
辽宁,江苏,0.31050649996559365
辽宁,浙江,0.36096280941489867
辽宁,安徽,0.3380843462637177
辽宁,福建,0.4969118072683252
辽宁,江西,0.44166069204842096
辽宁,山东,0.2174036218539179
辽宁,河南,0.3168840306770992
辽宁,湖北,0.40882571729664596
辽宁,湖南,0.48876779522665237
辽宁,广东,0.6253963202971538
辽宁,广西,0.6957646396256123
辽宁,海南,0.7460394072668927
辽宁,重庆,0.5604659771817105
辽宁,四川,0.5828286918391843
辽宁,贵州,0.625415698432494
辽宁,云南,0.7305102278531665
辽宁,西藏,0.8620783592395125
辽宁,陕西,0.41578268659430573
辽宁,甘肃,0.4978325493663095
辽宁,青海,0.6478136065225726
辽宁,宁夏,0.4230873445965186
辽宁,新疆,0.7965443762314804
吉林,北京,0.23635128821235712
吉林,天津,0.23608814045958962
吉林,河北,0.2890789576284296
吉林,山西,0.3479065152118589
吉林,内蒙古,0.31243418275213164
吉林,辽宁,0.07740494321156342
吉林,吉林,0.0
吉林,黑龙江,0.1277336650307098
吉林,上海,0.39814644221486517
吉林,江苏,0.38535391397895785
吉林,浙江,0.43430925197926107
吉林,安徽,0.41514599009271913
吉林,福建,0.5711895392172615
吉林,江西,0.5186021275286855
吉林,山东,0.29355492497293456
吉林,河南,0.3917260082507192
吉林,湖北,0.4861930920333953
吉林,湖南,0.5661589431907337
吉林,广东,0.7023660213624688
吉林,广西,0.7729809104072849
吉林,海南,0.8233349545615808
吉林,重庆,0.6339089257560583
吉林,四川,0.6529814123423967
吉林,贵州,0.7010012760590184
吉林,云南,0.8044621756689282
吉林,西藏,0.9199558875750141
吉林,陕西,0.4859602972321363
吉林,甘肃,0.5579265586420226
吉林,青海,0.699470711375272
吉林,宁夏,0.48221548349941695
吉林,新疆,0.8229460413998405
黑龙江,北京,0.34341487187439285
黑龙江,天津,0.34989676980974826
黑龙江,河北,0.4016549752415931
黑龙江,山西,0.45210994550120276
黑龙江,内蒙古,0.3896797651375602
黑龙江,辽宁,0.20374001556496166
黑龙江,吉林,0.1277336650307098
黑龙江,黑龙江,0.0
黑龙江,上海,0.5251526417633097
黑龙江,江苏,0.5130829577885994
黑龙江,浙江,0.5618924799021223
黑龙江,安徽,0.5416883148279129
黑龙江,福建,0.6988898530941738
黑龙江,江西,0.6453289974946699
黑龙江,山东,0.41431729928938743
黑龙江,河南,0.5087255928092921
黑龙江,湖北,0.6102376928037677
黑龙江,湖南,0.6903929522034722
黑龙江,广东,0.8290225434794387
黑龙江,广西,0.8955052731466627
黑龙江,海南,0.9490500403355338
黑龙江,重庆,0.746053081619121
黑龙江,四川,0.7582550162088731
黑龙江,贵州,0.8179698718669538
黑龙江,云南,0.9169453754016267
黑龙江,西藏,1.0
黑龙江,陕西,0.5930604824817193
黑龙江,甘肃,0.6466510945245602
黑龙江,青海,0.7714855943832933
黑龙江,宁夏,0.5710680144840703
黑龙江,新疆,0.8505627167805593
上海,北京,0.29519319304000585
上海,天津,0.2655577295834558
上海,河北,0.25846690780864406
上海,山西,0.3047126603307873
上海,内蒙古,0.4045234162586803
上海,辽宁,0.3269329614785835
上海,吉林,0.39814644221486517
上海,黑龙江,0.5251526417633097
上海,上海,0.0
上海,江苏,0.052863738123032196
上海,浙江,0.04556474131583051
上海,安徽,0.11301614942289559
上海,福建,0.17898937044006888
上海,江西,0.1682292222036393
上海,山东,0.20316886599701237
上海,河南,0.22989164819223482
上海,湖北,0.1910967003724603
上海,湖南,0.2444963916084555
上海,广东,0.3334648479527254
上海,广西,0.4412485131446518
上海,海南,0.4598317143840073
上海,重庆,0.40085976005921775
上海,四川,0.4580789587865512
上海,贵州,0.4209525229048663
上海,云南,0.5398839721267036
上海,西藏,0.798626363674934
上海,陕西,0.33692114406371204
上海,甘肃,0.47599489406040285
上海,青海,0.6480957216415801
上海,宁夏,0.429835459100749
上海,新疆,0.8982094757636567
江苏,北京,0.2542907208525531
江苏,天津,0.22569754950527718
江苏,河北,0.21203435288637343
