source_position_1based,source_label,active_label,mapping_rule
1,北京市,北京,DROP_TERMINAL_ADMIN_SUFFIX
2,天津市,天津,DROP_TERMINAL_ADMIN_SUFFIX
3,河北省,河北,DROP_TERMINAL_ADMIN_SUFFIX
4,山西省,山西,DROP_TERMINAL_ADMIN_SUFFIX
5,内蒙古,内蒙古,EXACT_SHORT_LABEL
6,辽宁省,辽宁,DROP_TERMINAL_ADMIN_SUFFIX
7,吉林省,吉林,DROP_TERMINAL_ADMIN_SUFFIX
8,黑龙江,黑龙江,EXACT_SHORT_LABEL
9,上海市,上海,DROP_TERMINAL_ADMIN_SUFFIX
10,江苏省,江苏,DROP_TERMINAL_ADMIN_SUFFIX
11,浙江省,浙江,DROP_TERMINAL_ADMIN_SUFFIX
12,安徽省,安徽,DROP_TERMINAL_ADMIN_SUFFIX
13,福建省,福建,DROP_TERMINAL_ADMIN_SUFFIX
14,江西省,江西,DROP_TERMINAL_ADMIN_SUFFIX
15,山东省,山东,DROP_TERMINAL_ADMIN_SUFFIX
16,河南省,河南,DROP_TERMINAL_ADMIN_SUFFIX
17,湖北省,湖北,DROP_TERMINAL_ADMIN_SUFFIX
18,湖南省,湖南,DROP_TERMINAL_ADMIN_SUFFIX
19,广东省,广东,DROP_TERMINAL_ADMIN_SUFFIX
20,广西,广西,EXACT_SHORT_LABEL
21,海南省,海南,DROP_TERMINAL_ADMIN_SUFFIX
22,重庆市,重庆,DROP_TERMINAL_ADMIN_SUFFIX
23,四川省,四川,DROP_TERMINAL_ADMIN_SUFFIX
24,贵州省,贵州,DROP_TERMINAL_ADMIN_SUFFIX
25,云南省,云南,DROP_TERMINAL_ADMIN_SUFFIX
26,西藏,西藏,EXACT_SHORT_LABEL
27,陕西省,陕西,DROP_TERMINAL_ADMIN_SUFFIX
28,甘肃省,甘肃,DROP_TERMINAL_ADMIN_SUFFIX
29,青海省,青海,DROP_TERMINAL_ADMIN_SUFFIX
30,宁夏,宁夏,EXACT_SHORT_LABEL
31,新疆,新疆,EXACT_SHORT_LABEL
