destination,origin,distance_raw
北京,北京,0.0
北京,天津,110.003361
北京,河北,224.418701
北京,山西,406.036237
北京,内蒙古,451.53583
北京,辽宁,621.97118
北京,吉林,860.203885
北京,黑龙江,1249.863325
北京,上海,1074.359837
北京,江苏,925.494706
北京,浙江,1126.57574
北京,安徽,899.107927
北京,福建,1548.08135
北京,江西,1249.984806
北京,山东,363.953797
北京,河南,622.606321
北京,湖北,1055.28236
北京,湖南,1338.196663
北京,广东,1886.419072
北京,广西,2047.842972
北京,海南,2287.124157
北京,重庆,1465.478149
北京,四川,1518.495021
北京,贵州,1734.455919
北京,云南,2087.390744
北京,西藏,2517.960521
北京,陕西,912.201579
北京,甘肃,1191.278257
北京,青海,1753.619848
北京,宁夏,921.463073
北京,新疆,2405.870364
天津,北京,110.003361
天津,天津,0.0
天津,河北,192.933531
天津,山西,429.770471
天津,内蒙古,554.6726630000001
天津,辽宁,601.056023
天津,吉林,859.246155
天津,黑龙江,1273.454285
天津,上海,966.501145
天津,江苏,821.429451
天津,浙江,1023.179758
天津,安徽,808.6599
天津,福建,1454.711889
天津,江西,1168.123306
天津,山东,273.821483
天津,河南,578.907696
天津,湖北,986.612651
天津,湖南,1274.150331
天津,广东,1814.557769
天津,广西,1998.750182
天津,海南,2224.669145
天津,重庆,1448.854691
天津,四川,1520.643825
天津,贵州,1703.563055
天津,云南,2070.35275
天津,西藏,2560.279915
天津,陕西,912.481189
天津,甘肃,1234.346492
天津,青海,1814.097662
天津,宁夏,971.267422
天津,新疆,2499.390679
河北,北京,224.418701
河北,天津,192.933531
河北,河北,0.0
河北,山西,259.315353
河北,内蒙古,531.685916
河北,辽宁,792.812008
河北,吉林,1052.10699
河北,黑龙江,1461.829012
河北,上海,940.693998
河北,江苏,771.702052
河北,浙江,966.17489
河北,安徽,705.595027
河北,福建,1354.82518
河北,江西,1040.388844
河北,山东,201.930688
河北,河南,398.552021
河北,湖北,835.381703
河北,湖南,1115.655861
河北,广东,1666.903824
河北,广西,1823.745047
河北,海南,2063.62825
河北,重庆,1256.82638
河北,四川,1328.408341
河北,贵州,1516.331865
河北,云南,1878.601658
河北,西藏,2386.91388
河北,陕西,720.471738
河北,甘肃,1065.647383
河北,青海,1662.180194
河北,宁夏,812.444777
河北,新疆,2409.254284
山西,北京,406.036237
山西,天津,429.770471
山西,河北,259.315353
山西,山西,0.0
山西,内蒙古,445.52285
山西,辽宁,1023.483202
山西,吉林,1266.210725
山西,黑龙江,1645.460596
山西,上海,1109.006074
山西,江苏,923.983699
山西,浙江,1100.410845
山西,安徽,795.777445
山西,福建,1417.843176
山西,江西,1067.799149
山西,山东,416.856125
山西,河南,358.921098
山西,湖北,825.808609
山西,湖南,1073.907643
山西,广东,1635.924781
山西,广西,1720.276887
山西,海南,1995.991163
山西,重庆,1080.264021
山西,四川,1115.370808
山西,贵州,1369.680853
山西,云南,1699.074724
山西,西藏,2131.739708
山西,陕西,513.688522
山西,甘肃,807.769726
山西,青海,1403.380905
山西,宁夏,553.273651
山西,新疆,2182.078745
内蒙古,北京,451.53583
内蒙古,天津,554.6726630000001
内蒙古,河北,531.685916
内蒙古,山西,445.52285
内蒙古,内蒙古,0.0
内蒙古,辽宁,969.999049
内蒙古,吉林,1137.108665
内蒙古,黑龙江,1418.245064
内蒙古,上海,1472.268744
内蒙古,江苏,1302.305682
内蒙古,浙江,1494.131442
内蒙古,安徽,1213.890558
内蒙古,福建,1851.881442
内蒙古,江西,1509.644992
内蒙古,山东,732.914096
内蒙古,河南,802.838283
内蒙古,湖北,1271.032672
内蒙古,湖南,1517.213227
内蒙古,广东,2079.037183
内蒙古,广西,2134.936913
内蒙古,海南,2427.421427
内蒙古,重庆,1440.830991
内蒙古,四川,1413.71297
内蒙古,贵州,1755.204239
内蒙古,云南,2037.782315
内蒙古,西藏,2225.67532
内蒙古,陕西,872.717789
内蒙古,甘肃,940.08799
内蒙古,青海,1409.691985
内蒙古,宁夏,669.235643
内蒙古,新疆,1962.309639
辽宁,北京,621.97118
辽宁,天津,601.056023
辽宁,河北,792.812008
辽宁,山西,1023.483202
辽宁,内蒙古,969.999049
辽宁,辽宁,0.0
辽宁,吉林,281.716395
辽宁,黑龙江,741.514693
辽宁,上海,1189.877177
