beta_distance,origin,rank,destination,share,distance_raw
0.0,北京,1,天津,0.03333333333333333,110.003361
0.0,北京,2,河北,0.03333333333333333,224.418701
0.0,北京,3,山西,0.03333333333333333,406.036237
0.0,上海,1,北京,0.03333333333333333,1074.359837
0.0,上海,2,天津,0.03333333333333333,966.501145
0.0,上海,3,河北,0.03333333333333333,940.693998
0.0,河南,1,北京,0.03333333333333333,622.606321
0.0,河南,2,天津,0.03333333333333333,578.907696
0.0,河南,3,河北,0.03333333333333333,398.552021
0.0,广西,1,北京,0.03333333333333333,2047.842972
0.0,广西,2,天津,0.03333333333333333,1998.750182
0.0,广西,3,河北,0.03333333333333333,1823.745047
0.0,四川,1,北京,0.03333333333333333,1518.495021
0.0,四川,2,天津,0.03333333333333333,1520.643825
0.0,四川,3,河北,0.03333333333333333,1328.408341
0.0,新疆,1,北京,0.03333333333333333,2405.870364
0.0,新疆,2,天津,0.03333333333333333,2499.390679
0.0,新疆,3,河北,0.03333333333333333,2409.254284
1.0,北京,1,天津,0.04463608340026166,110.003361
1.0,北京,2,河北,0.04325468693707945,224.418701
1.0,北京,3,山东,0.04162773543605807,363.953797
1.0,上海,1,浙江,0.04492222775700882,165.833526
1.0,上海,2,江苏,0.0445955342777603,192.398329
1.0,上海,3,安徽,0.04199209198196612,411.323888
1.0,河南,1,山西,0.03949410590514535,358.921098
1.0,河南,2,山东,0.039379259231793806,369.520022
1.0,河南,3,河北,0.039066384818118,398.552021
1.0,广西,1,海南,0.04503464591906701,376.282297
1.0,广西,2,贵州,0.04417341969353797,446.557165
1.0,广西,3,广东,0.04347764089246543,504.339696
1.0,四川,1,重庆,0.04357317748811157,259.819291
1.0,四川,2,贵州,0.040521105667178106,524.116449
1.0,四川,3,甘肃,0.03971175050395115,597.546705
1.0,新疆,1,青海,0.0490933036535036,1109.744622
1.0,新疆,2,西藏,0.044187581899018474,1492.908486
1.0,新疆,3,甘肃,0.04275938532896436,1612.48504
4.0,北京,1,天津,0.09063580680031494,110.003361
4.0,北京,2,河北,0.07992601788719099,224.418701
4.0,北京,3,山东,0.06856249709811613,363.953797
4.0,上海,1,浙江,0.09211003108572362,165.833526
4.0,上海,2,江苏,0.08945966606893029,192.398329
4.0,上海,3,安徽,0.07032857721997277,411.323888
4.0,河南,1,山西,0.059337571361604544,358.921098
4.0,河南,2,山东,0.05865037464197784,369.520022
4.0,河南,3,河北,0.05680852539070661,398.552021
4.0,广西,1,海南,0.09086143263726357,376.282297
4.0,广西,2,贵州,0.08410787418914863,446.557165
4.0,广西,3,广东,0.07893260840365801,504.339696
4.0,四川,1,重庆,0.08673945076951076,259.819291
4.0,四川,2,贵州,0.0648731358787832,524.116449
4.0,四川,3,甘肃,0.05984334604696942,597.546705
4.0,新疆,1,青海,0.13155698776715405,1109.744622
4.0,新疆,2,西藏,0.08634274118901586,1492.908486
4.0,新疆,3,甘肃,0.07570955652790916,1612.48504
