province_index_0based,province,theta_inter_prv_ratio,K0_MU,N0_NU,K0_over_N0
0,北京,0.1371615229287191,58719043.066994764,219200.0,267.87884610855275
1,天津,0.3,64593598.72309723,138300.0,467.05422070207686
2,河北,0.04333704899600312,113705229.18254791,742600.0,153.11773388438985
3,山西,0.04300296625588593,53478727.38884524,350200.0,152.70910162434393
4,内蒙古,0.19550910009447842,82165502.99427319,242200.0,339.24650286652843
5,辽宁,0.08974673802104023,90061052.78222083,429100.0,209.88360005178473
6,吉林,0.1363973196319713,66308917.7271201,248400.0,266.9441132331727
7,黑龙江,0.061724506794720045,58424879.89838116,332700.0,175.60829545651086
8,上海,0.13658437244322294,66125294.30800852,247500.0,267.17290629498393
9,江苏,0.11517341038864391,203535217.25929242,844600.0,240.98415493641065
10,浙江,0.08008882205739513,124249656.20818298,627300.0,198.07055030795948
11,安徽,0.01258840471135473,70182433.35888097,607600.0,115.50762567294431
12,福建,0.09305226888370777,87795538.11850408,410400.0,213.9267498014232
13,江西,0.010634543385579892,51050047.92908307,451300.0,113.11776629533142
14,山东,0.08854377463396423,210016973.07581103,1007700.0,208.41219914241444
15,河南,0.05766365509732591,168320556.01470312,986400.0,170.64127738716863
16,湖北,0.05881975321110189,101805153.6623069,591700.0,172.05535518388862
17,湖南,0.03372367602716368,93791807.14892803,663500.0,141.3591667655283
18,广东,0.04478680634319916,191259406.86816654,1234800.0,154.89100005520453
19,广西,0.029387680281462963,67306708.83876626,494700.0,136.05560711292958
20,海南,0.04031630244668984,14673330.466888333,98200.0,149.42291717808894
21,重庆,0.049108056988970965,50663834.63130832,316300.0,160.17652428488245
22,四川,0.011326985492351607,94830047.41899477,832100.0,113.96472469534282
23,贵州,0.00253464381740786,39447014.665611394,382200.0,103.21039943906696
24,云南,0.0374277762208637,68611984.86091176,470300.0,145.88982534746282
25,西藏,0.06424649713341461,6325734.326183821,35400.0,178.69306006168986
26,陕西,0.07184534014649524,73897910.2910824,393100.0,187.9875611576759
27,甘肃,0.0,25177704.67938732,251500.0,100.11015777092373
28,青海,0.162982585204926,17578407.529567722,58700.0,299.46179777798505
29,宁夏,0.13280013788351686,18640640.44456374,71000.0,262.5442316135738
30,新疆,0.077937119877573,49250553.031937115,252000.0,195.43870250768697
