turn,private_K_over_target_median_A,private_K_over_target_median_B,private_K_over_target_median_delta_B_minus_A,GovInv_over_target_median_A,GovInv_over_target_median_B,total_K_over_target_median_A,total_K_over_target_median_B,raw_ra0_median_A,raw_ra0_median_B,raw_ra0_median_delta_B_minus_A,raw_ra0_std_A,raw_ra0_std_B,raw_ra0_above_0p09_A,raw_ra0_above_0p09_B,upper_clip_count_A,upper_clip_count_B,entering_rah_median_A,entering_rah_median_B,network_rah_median_A,network_rah_median_B,Y_median_A,Y_median_B,wage_median_A,wage_median_B,max_nk_gap_A,max_nk_gap_B,max_yt_gap_A,max_yt_gap_B,hjb_converged_count_A,hjb_converged_count_B,source_final_predicate_A,source_final_predicate_B
1,0.0460609698890771,0.04593878154213418,-0.00012218834694291414,0.9539390301109228,0.9540612184578658,1.0,1.0,0.4763263686225738,0.4763263686225738,0.0,0.16654744447723807,0.16654744447723807,31,31,31,31,0.08488059053640952,0.08488059053640952,0.08999627356269584,0.08999741539645487,45590499.75519855,45590499.75519855,1.3,1.3,11.67973404214395,11.67973404214395,2.715689591397689,2.715689591397689,20,20,False,False
2,0.04312467660529224,0.04427516863212554,0.0011504920268333024,0.9568753233947078,0.9557248313678745,1.0,1.0,0.5035128415185646,0.5027368180630868,-0.0007760234554777812,0.1920811586027368,0.19179858959039311,31,31,31,31,0.08999627356269584,0.08999741539645487,0.09,0.09,46073236.68008549,46005380.03911381,1.3,1.3,0.5570183367496566,0.5656293732652369,0.015033957309321222,0.01357218459484355,11,13,False,False
3,0.043024278117916655,0.041997869806589753,-0.0010264083113269012,0.9569757218820834,0.9580021301934103,1.0,1.0,0.5064030648122217,0.5052530541853978,-0.0011500106268239607,0.19710380299350386,0.1966332828368217,31,31,31,31,0.09,0.09,0.09,0.09,46089057.41772411,45997486.27558114,1.3,1.3,0.18580559766843852,0.18202131666948718,0.00474455691951281,0.004438668316443017,8,10,False,False
4,0.042835279596609745,0.04475096163262981,0.0019156820360200638,0.9571647204033902,0.9552490383673702,1.0,1.0,0.5073506055373469,0.5064747807993382,-0.0008758247380087347,0.19828505745817795,0.19788540095793197,31,31,31,31,0.09,0.09,0.09,0.09,46146920.379946396,46082369.64206925,1.3,1.3,0.0881470368867,0.08811572799402145,0.0013673798852420482,0.0019094479245183038,14,10,False,False
5,0.04209159133729876,0.042485250357155085,0.0003936590198563225,0.9579084086627013,0.9575147496428449,1.0,1.0,0.20800197584909438,0.20793835266330807,-6.362318578631565e-05,0.08172458206031821,0.08170684661378873,30,30,30,30,0.09,0.09,0.09,0.09,22675854.68654137,22670990.50878164,0.9158068326571411,0.9220050834167338,0.03072143233375213,0.0299194063985323,0.7299935178261554,0.7296748163964248,14,10,False,False
6,0.04206293007554655,0.04196650940635054,-9.6420669196004e-05,0.9579370699244534,0.9580334905936494,1.0,1.0,0.2116500710972444,0.21206257532813866,0.00041250423089425614,0.0896697691751835,0.08979943140794373,30,31,30,31,0.09,0.09,0.08999715718148357,0.08999799609125989,22637423.23810617,22676455.79224855,1.0491979278065309,1.0499440839557017,0.07498735570507087,0.08007405963351066,0.017603241414288373,0.019190355466710773,31,31,False,False
7,0.042035689019043,0.041939222380749694,-9.646663829330354e-05,0.957964310980957,0.9580607776192502,1.0,1.0,0.21356691519978083,0.2138620131786104,0.0002950979788295671,0.08830161786158527,0.08846081992502736,30,30,30,30,0.08999715718148357,0.08999799609125989,0.08999974948971269,0.09,22719068.512536645,22752835.158502404,1.0458586223316462,1.0474125170284327,0.028178392301823285,0.02559022522727461,0.01779597062453686,0.019089049414917292,31,31,False,False
8,0.04203723907490296,0.04193969784937715,-9.75412255258129e-05,0.957962760925097,0.9580603021506228,1.0,1.0,0.2136500429084443,0.213941791064652,0.000291748156207694,0.08849920004488246,0.0884337553172581,30,30,30,30,0.08999974948971269,0.09,0.08999553354751025,0.0899969122812079,22718672.490639444,22752753.80282787,1.0466316561829219,1.0481377445440583,0.011287193184866151,0.010616407981602571,0.012268989710761957,0.012686053115100071,31,31,False,False
9,0.04203713364560408,0.041939251991545606,-9.78816540584751e-05,0.957962866354396,0.9580607480084543,1.0,1.0,0.21365066510078468,0.21394461543801674,0.0002939503372320629,0.08853191562809391,0.0884980427081842,30,30,30,30,0.08999553354751025,0.0899969122812079,0.08999555274953085,0.08999692335144857,22719197.480013724,22753434.910034962,1.046609707500133,1.0480960965613693,0.0045465543431979505,0.004354357312134738,0.0001401930219940839,0.00010642399140115,31,31,False,False
10,0.042037152617030234,0.04193906835425518,-9.808426277505694e-05,0.9579628473829698,0.9580609316457449,1.0,1.0,0.2136509768440422,0.21394524190243938,0.00029426505839719175,0.08853387679400965,0.08850116750427314,30,30,30,30,0.08999555274953085,0.08999692335144857,0.08999554928785827,0.08999692200076537,22719216.419485424,22753451.27791832,1.0466118731271998,1.0480991131721764,0.0018093803212979598,0.0017359783898758252,1.734610159442873e-05,1.3980016561054853e-05,31,31,False,False
