turn,A_vs_B_raw_ra0_spearman,B_minus_A_raw_ra0_min,B_minus_A_raw_ra0_mean,B_minus_A_raw_ra0_p50,B_minus_A_raw_ra0_p95,B_minus_A_raw_ra0_max
1,1.0,-1.1102230246251565e-16,-5.3720468933475315e-18,0.0,0.0,0.0
2,1.0,-0.0016156478104849548,-0.000810817803290414,-0.0007760234554777812,-0.0004900140424067556,-0.0004084072116163351
3,1.0,-0.0026308265970020894,-0.001208859694417419,-0.0010850268021032061,-0.0006860990786710652,-0.000540486646421201
4,1.0,-0.002254372178988495,-0.0009460966952158296,-0.0008466475816030217,-0.0005216564084090103,-0.0003910949962013244
5,1.0,-9.306054111341e-05,-5.216436976502699e-05,-5.9734406247569094e-05,-2.318434483445514e-05,-2.1996997089449022e-05
6,1.0,0.00014536334549357377,0.00036618365718530413,0.00034305694650499374,0.0005839487211595495,0.0006305194553220539
7,0.9991935483870967,-0.0034446897704019652,-0.0003043034808786612,-3.790923488000697e-05,0.0004325199710786126,0.0005350279578841821
8,1.0,-4.1424063218026275e-05,0.00023971421539567596,1.5322063504519257e-05,0.0009764952258767973,0.001341684618626715
9,1.0,-1.3825944054635109e-06,0.00018540046474824166,2.224135467410182e-05,0.0006001713098242184,0.0008748166358464871
10,1.0,4.5199197440393135e-09,0.00018325085055245636,2.3048718409246494e-05,0.0005855157500869457,0.0008477633033830978
11,1.0,4.374430859210854e-08,0.00018315710532286703,2.3096752290119316e-05,0.0005851213787142623,0.0008461922540016764
12,1.0,4.540143519471407e-08,0.00018315339598705898,2.3101286837856616e-05,0.0005851052199006002,0.0008461026567188057
13,1.0,4.541465506435749e-08,0.00018315321521075823,2.3101517055812426e-05,0.0005851043553026791,0.0008460974333556748
14,1.0,4.541801942870016e-08,0.00018315320958308518,2.3101540899017614e-05,0.0005851043448083931,0.0008460971387270755
15,1.0,4.541786272072024e-08,0.00018315320931613785,2.3101541947678772e-05,0.0005851043405954437,0.0008460971213136714
16,1.0,4.541787923528773e-08,0.0001831532093169374,2.3101542077186288e-05,0.0005851043409903917,0.0008460971203516077
17,1.0,4.541787820833143e-08,0.00018315320931850963,2.310154208251536e-05,0.0005851043409265816,0.000846097120293765
18,1.0,4.5417878125064703e-08,0.00018315320931804583,2.310154208251536e-05,0.0005851043409351581,0.0008460971202901568
19,1.0,4.541787568257405e-08,0.00018315320931408576,2.310154207679771e-05,0.0005851043409296208,0.0008460971202853829
20,1.0,4.54178756270629e-08,0.00018315320931393218,2.310154207635362e-05,0.0005851043409299123,0.0008460971202850498
21,1.0,4.541787668177477e-08,0.00018315320931573944,2.3101542079018156e-05,0.0005851043409318551,0.0008460971202871592
22,1.0,4.5417878374864884e-08,0.0001831532093185911,2.310154208301496e-05,0.0005851043409347972,0.0008460971202903789
23,1.0,4.5417876015640957e-08,0.00018315320931453969,2.3101542077463844e-05,0.0005851043409302176,0.0008460971202859935
24,1.0,4.5417876459730167e-08,0.0001831532093153146,2.3101542078407533e-05,0.0005851043409313972,0.0008460971202866041
25,1.0,4.541787759770877e-08,0.00018315320931731836,2.3101542081238602e-05,0.0005851043409334372,0.0008460971202889911
