path,province_index,province,upper_clipped_turns,upper_clipped_share_of_25
A_EQUAL_SHARE,0,北京,25,1.0
A_EQUAL_SHARE,1,天津,25,1.0
A_EQUAL_SHARE,2,河北,25,1.0
A_EQUAL_SHARE,3,山西,25,1.0
A_EQUAL_SHARE,4,内蒙古,25,1.0
A_EQUAL_SHARE,5,辽宁,25,1.0
A_EQUAL_SHARE,6,吉林,25,1.0
A_EQUAL_SHARE,7,黑龙江,25,1.0
A_EQUAL_SHARE,8,上海,25,1.0
A_EQUAL_SHARE,9,江苏,25,1.0
A_EQUAL_SHARE,10,浙江,25,1.0
A_EQUAL_SHARE,11,安徽,25,1.0
A_EQUAL_SHARE,12,福建,25,1.0
A_EQUAL_SHARE,13,江西,25,1.0
A_EQUAL_SHARE,14,山东,25,1.0
A_EQUAL_SHARE,15,河南,25,1.0
A_EQUAL_SHARE,16,湖北,25,1.0
A_EQUAL_SHARE,17,湖南,25,1.0
A_EQUAL_SHARE,18,广东,25,1.0
A_EQUAL_SHARE,19,广西,25,1.0
A_EQUAL_SHARE,20,海南,25,1.0
A_EQUAL_SHARE,21,重庆,25,1.0
A_EQUAL_SHARE,22,四川,25,1.0
A_EQUAL_SHARE,23,贵州,25,1.0
A_EQUAL_SHARE,24,云南,25,1.0
A_EQUAL_SHARE,25,西藏,25,1.0
A_EQUAL_SHARE,26,陕西,25,1.0
A_EQUAL_SHARE,27,甘肃,25,1.0
A_EQUAL_SHARE,28,青海,4,0.16
A_EQUAL_SHARE,29,宁夏,25,1.0
A_EQUAL_SHARE,30,新疆,25,1.0
B_GEOGRAPHIC_BETA2,0,北京,25,1.0
B_GEOGRAPHIC_BETA2,1,天津,25,1.0
B_GEOGRAPHIC_BETA2,2,河北,25,1.0
B_GEOGRAPHIC_BETA2,3,山西,25,1.0
B_GEOGRAPHIC_BETA2,4,内蒙古,25,1.0
B_GEOGRAPHIC_BETA2,5,辽宁,25,1.0
B_GEOGRAPHIC_BETA2,6,吉林,25,1.0
B_GEOGRAPHIC_BETA2,7,黑龙江,25,1.0
B_GEOGRAPHIC_BETA2,8,上海,25,1.0
B_GEOGRAPHIC_BETA2,9,江苏,25,1.0
B_GEOGRAPHIC_BETA2,10,浙江,25,1.0
B_GEOGRAPHIC_BETA2,11,安徽,25,1.0
B_GEOGRAPHIC_BETA2,12,福建,25,1.0
B_GEOGRAPHIC_BETA2,13,江西,25,1.0
B_GEOGRAPHIC_BETA2,14,山东,25,1.0
B_GEOGRAPHIC_BETA2,15,河南,25,1.0
B_GEOGRAPHIC_BETA2,16,湖北,25,1.0
B_GEOGRAPHIC_BETA2,17,湖南,25,1.0
B_GEOGRAPHIC_BETA2,18,广东,25,1.0
B_GEOGRAPHIC_BETA2,19,广西,25,1.0
B_GEOGRAPHIC_BETA2,20,海南,25,1.0
B_GEOGRAPHIC_BETA2,21,重庆,25,1.0
B_GEOGRAPHIC_BETA2,22,四川,25,1.0
B_GEOGRAPHIC_BETA2,23,贵州,25,1.0
B_GEOGRAPHIC_BETA2,24,云南,25,1.0
B_GEOGRAPHIC_BETA2,25,西藏,25,1.0
B_GEOGRAPHIC_BETA2,26,陕西,25,1.0
B_GEOGRAPHIC_BETA2,27,甘肃,25,1.0
B_GEOGRAPHIC_BETA2,28,青海,5,0.2
B_GEOGRAPHIC_BETA2,29,宁夏,25,1.0
B_GEOGRAPHIC_BETA2,30,新疆,25,1.0
