step,index_0,tKN,name,N,alpha,Zt,Kt0,Kt,Kt_prev,Lt,Lt_prev,Yt0,Yt,Zt_1,GovInv,inter_prv_ratio,rb_gap,rah,ra,it,rb,rk,wjt,w,Tt,pit,pit_1,totalpit,epsilon_pi,tau,At,Bt,mt,Ct,AtTax,GovSurplus,corptau,ramin,ramax,wjtmin,wjtmax,convergent,Lt_supply,Kt_supply,Yt_1,KNratio,wt0,Thetat,It,PIt,Corptax,ra0,Govinc
1,0,3.0,北京,123780.0,0.772866243094144,0.0016341152925786636,49270438.3129602,49270438.3129602,49270438.3129602,123780.0,123780.0,30319980.0,30319980.0,0.0016341152925786636,49270438.3129602,0.12116569491184198,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.0,0.0,0.25,0.02,0.09,0.8,1.3,,,,,,,,,,,,
1,1,3.0,天津,89700.0,0.772866243094144,0.0006331796953290661,51336802.8150781,51336802.8150781,51336802.8150781,89700.0,89700.0,13362920.0,13362920.0,0.0006331796953290661,51336802.8150781,0.19817398532280342,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.0,0.0,0.25,0.02,0.09,0.8,1.3,,,,,,,,,,,,
1,2,3.0,河北,419600.0,0.772866243094144,0.00020325561576148244,90356776.0949341,90356776.0949341,90356776.0949341,419600.0,419600.0,32494600.0,32494600.0,0.00020325561576148244,90356776.0949341,0.04042780400496038,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.0,0.0,0.25,0.02,0.09,0.8,1.3,,,,,,,,,,,,
1,3,3.0,山西,178900.0,0.772866243094144,0.0006904139506587265,37758335.6649879,37758335.6649879,37758335.6649879,178900.0,178900.0,15958130.0,15958130.0,0.0006904139506587265,37758335.6649879,0.0385356371748285,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.0,0.0,0.25,0.02,0.09,0.8,1.3,,,,,,,,,,,,
1,4,3.0,内蒙古,130400.0,0.772866243094144,0.0006509396292199082,56986309.349860296,56986309.349860296,56986309.349860296,130400.0,130400.0,16140760.0,16140760.0,0.0006509396292199082,56986309.349860296,0.13838331231905796,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.0,0.0,0.25,0.02,0.09,0.8,1.3,,,,,,,,,,,,
1,5,3.0,辽宁,226100.0,0.772866243094144,0.0002864698302222306,67054545.412681095,67054545.412681095,67054545.412681095,226100.0,226100.0,23510500.0,23510500.0,0.0002864698302222306,67054545.412681095,0.07632297463521798,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.0,0.0,0.25,0.02,0.09,0.8,1.3,,,,,,,,,,,,
1,6,3.0,吉林,147424.0,0.772866243094144,0.00047331941528535383,52390313.5226049,52390313.5226049,52390313.5226049,147424.0,147424.0,11253810.0,11253810.0,0.00047331941528535383,52390313.5226049,0.1023070236880023,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.0,0.0,0.25,0.02,0.09,0.8,1.3,,,,,,,,,,,,
1,7,3.0,黑龙江,163500.0,0.772866243094144,0.0005703841154289705,44224774.7160286,44224774.7160286,44224774.7160286,163500.0,163500.0,12846500.0,12846500.0,0.0005703841154289705,44224774.7160286,0.06479729188901276,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.0,0.0,0.25,0.02,0.09,0.8,1.3,,,,,,,,,,,,
1,8,3.0,上海,137600.0,0.772866243094144,0.0015030642394494576,54021103.923275396,54021103.923275396,54021103.923275396,137600.0,137600.0,36011820.0,36011820.0,0.0015030642394494576,54021103.923275396,0.11875593934055706,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.0,0.0,0.25,0.02,0.09,0.8,1.3,,,,,,,,,,,,
1,9,3.0,江苏,488700.0,0.772866243094144,0.0001820044285805966,149374736.001046,149374736.001046,149374736.001046,488700.0,488700.0,92595400.0,92595400.0,0.0001820044285805966,149374736.001046,0.08033848825905156,0.07,0.09,0.09,0.02,0.02,0.1,0.6,20.0,0.1,0.02,0.02,0.02,0.0,0.05,2.0,1.0,0.9,4.0,0.0,0.0,0.25,0.02,0.09,0.8,1.3,,,,,,,,,,,,
