step,max_nk,max_nk_provinces,max_yt,household_converged,ra_upper,ra_lower,wjt_upper,wjt_lower,converged,adapt_called,gate_derived_from_captured
1,19.842075357095016,广东,0.9998837852384455,31,0,31,0,31,False,True,False
2,0.30787718279682275,西藏,0.07249849581738799,29,0,31,0,31,False,True,False
3,0.14187586624280568,广东,0.022349809257733,31,0,31,0,31,False,True,False
4,0.05832661228030156,西藏,5.228391659750642e-05,31,0,31,0,31,False,True,True
5,0.1217541953566762,西藏,7515.575027092075,31,31,0,19,5,False,True,False
6,0.08717418821744105,海南,0.029187862467365933,31,31,0,19,5,False,True,True
7,0.08941476241411839,海南,0.22777194517765764,30,31,0,19,5,False,True,True
8,0.1517827595686938,海南,0.028545147224829703,22,31,0,19,5,False,True,False
9,0.05302525856242446,海南,0.002087412989546955,28,31,0,19,5,False,True,True
10,0.11437413558448584,甘肃,0.004090593806841181,26,31,0,19,5,False,True,False
11,0.045388499860329556,吉林,0.0006446458269199207,26,31,0,19,5,False,True,True
12,0.12327685575168079,贵州,0.0020963386091930047,27,31,0,19,5,False,True,False
13,0.046260800192606144,贵州,0.00013678526309457428,30,31,0,19,5,False,True,True
14,0.12116268152957499,贵州,0.0008816288519732929,28,31,0,19,5,False,True,False
15,0.04250939823869704,贵州,0.0006345616138965227,30,31,0,19,5,False,True,True
16,0.12000731417578381,贵州,0.0006812263839353072,28,29,0,19,5,False,True,False
17,0.04483860609090007,贵州,0.000234828729650971,28,29,0,19,5,False,True,True
18,0.11978897055080262,贵州,0.0007111187817823161,28,28,0,19,5,False,True,False
19,0.04630688166053876,贵州,0.0003444362281926905,27,28,0,19,5,False,True,True
20,0.12158758987451845,贵州,0.00023206445762558037,28,26,0,19,5,False,True,False
21,0.043503890509719145,山西,0.0003826482536357645,27,26,0,19,5,False,True,True
22,0.11947876361194498,贵州,0.07109255794363889,29,24,0,19,5,False,True,False
23,0.04124871080231385,贵州,0.0028741382608055144,27,24,0,19,5,False,True,True
