call,old_converged,new_converged,old_iterations,new_iterations,old_statistic,new_statistic,status_match,statistic_match_128eps
1,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
2,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
3,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
4,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
5,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
6,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
7,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
8,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
9,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
10,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
11,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
12,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
13,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
14,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
15,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
16,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
17,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
18,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
19,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
20,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
21,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
22,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
23,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
24,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
25,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
26,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
27,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
28,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
29,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
30,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
31,True,True,64,64,3.5073277615538245e-11,3.5073277615538245e-11,True,True
32,True,True,27,27,1.2144165673078078e-09,1.2144165673078078e-09,True,True
33,True,True,24,24,6.497122084780926e-08,6.497122084780926e-08,True,True
34,True,True,30,30,7.54408180370092e-08,7.54408180370092e-08,True,True
35,False,False,100,100,0.24631295451906765,0.24631295451906765,True,True
36,True,True,25,25,5.939114222641706e-08,5.939114222641706e-08,True,True
37,True,True,16,16,2.6016118148675105e-09,2.6016118148675105e-09,True,True
38,True,True,15,15,9.08384700792908e-09,9.08384700792908e-09,True,True
