province,common_entries,household_entries,firm_returns,initialized_ra,initialized_wjt,initialized_rah,initialized_w,ra0_min,ra0_max,wt0_min,wt0_max,ra_min,ra_max,wjt_min,wjt_max,mt_min,mt_max,ra0_below_count,ra0_above_count,wt0_below_count,wt0_above_count,ra_exact_lower_count,ra_exact_upper_count,wjt_exact_lower_count,wjt_exact_upper_count,ra_near_lower_count,ra_near_upper_count,wjt_near_lower_count,wjt_near_upper_count,rah_min,rah_max,w_min,w_max
北京,24,24,23,0.09,0.6,0.09,20.0,-0.024372540010362608,0.5392950825358298,0.002921219675711779,2.5328112452462745,0.02,0.09,0.8,1.3,0.9452220543821472,1.1280965091920778,4,19,4,19,4,19,4,19,4,19,4,19,0.017762607885975803,0.09,11.23742634168987,20.0
天津,24,24,23,0.09,0.6,0.09,20.0,-0.024758349345755593,0.2074308875190733,0.0011452055108603057,1.09723541934054,0.02,0.09,0.8,1.09723541934054,0.9451588328150853,1.128043116977614,4,15,4,0,4,15,4,0,4,15,4,0,0.01633043284004146,0.09,11.09763351072792,20.0
河北,24,24,23,0.09,0.6,0.09,20.0,-0.024931410658925696,0.29617191868660436,0.0005582479205682872,2.591308162979029,0.02,0.09,0.8,1.3,0.9452601300797221,1.1282128954293975,4,19,4,19,4,19,4,19,4,19,4,19,0.019255654095097413,0.09,11.090782863210098,20.0
山西,24,24,23,0.09,0.6,0.09,20.0,-0.024716348589591132,0.3524165635187877,0.0009794039879835862,1.2994455955074058,0.02,0.09,0.8,1.2994455955074058,0.9450436186810373,1.128123406292521,4,19,4,0,4,19,4,0,4,19,4,0,0.01929054077481441,0.09,11.213392248545862,20.0
内蒙古,24,24,23,0.09,0.6,0.09,20.0,-0.024757536714154312,0.22791977228498475,0.001287023327237751,1.2975542882080124,0.02,0.09,0.8,1.2975542882080124,0.9451905677934781,1.1280637401086016,4,17,4,0,4,17,4,0,4,17,4,0,0.017443086560031563,0.09,10.850868181974974,20.0
辽宁,24,24,23,0.09,0.6,0.09,20.0,-0.02489720912483038,0.2881210256370371,0.0006359799853148059,1.8913347134075238,0.02,0.09,0.8,1.3,0.9452056752800417,1.1281913060438915,4,19,4,19,4,19,4,19,4,19,4,19,0.01859293540504855,0.09,10.209153030945277,20.0
吉林,24,24,23,0.09,0.6,0.09,20.0,-0.024820399137461226,0.16681170376406348,0.0008810021999343493,0.9648596507149356,0.02,0.09,0.8,0.9648596507149356,0.9451517148770523,1.128056682708647,4,11,4,0,4,11,4,0,4,11,4,0,0.018112130014698847,0.09,9.814701416831848,20.0
黑龙江,24,24,23,0.09,0.6,0.09,20.0,-0.024776001789914907,0.23439160982214477,0.0009453801298377281,1.1044108791102025,0.02,0.09,0.8,1.1044108791102025,0.9450990790354783,1.1280837131674166,4,17,4,0,4,17,4,0,4,17,4,0,0.01880591688995633,0.09,9.11423414890972,20.0
上海,24,24,23,0.09,0.6,0.09,20.0,-0.02443452899837948,0.5917176270705881,0.002876195448327869,3.038306108415968,0.02,0.09,0.8,1.3,0.9452396578044145,1.1281313918505873,4,19,4,19,4,19,4,19,4,19,4,19,0.01780729614804714,0.09,11.091092813674198,20.0
江苏,24,24,23,0.09,0.6,0.09,20.0,-0.024945493220979966,0.5444013060708238,0.0007403852621651775,7.900088053482686,0.02,0.09,0.8,1.3,0.9453353985581214,1.1282385334962823,4,19,4,19,4,19,4,19,4,19,4,19,0.018518691684590402,0.09,11.006918596064763,20.0
浙江,24,24,23,0.09,0.6,0.09,20.0,-0.02485224835217001,0.5150192016256593,0.0013366721293199292,4.879717188861902,0.02,0.09,0.8,1.3,0.9452940524953279,1.128212532036382,4,19,4,19,4,19,4,19,4,19,4,19,0.018843396414647478,0.09,11.02915100154572,20.0
安徽,24,24,23,0.09,0.6,0.09,20.0,-0.024756723746024084,0.5504585675034316,0.0012044537950982295,2.824681689160423,0.02,0.09,0.8,1.3,0.9451639246844742,1.1281937077141866,4,19,4,19,4,19,4,19,4,19,4,19,0.02,0.09,11.184202992091468,20.0
福建,24,23,23,0.09,0.6,0.09,20.0,-0.02472319718378831,0.39937084965995606,0.0019485289298917172,2.9271943783359284,0.02,0.09,0.8,1.3,0.9452687695195929,1.128146324522457,4,19,4,19,4,19,4,19,4,19,4,19,0.018803899703814988,0.09,10.763128853682408,20.0
江西,24,23,23,0.09,0.6,0.09,20.0,-0.024755857398555275,0.5116943605382519,0.0008573104749744099,1.8574147008630786,0.02,0.09,0.8,1.3,0.9450420389468267,1.1281862248550536,4,19,4,19,4,19,4,19,4,19,4,19,0.019638019283150888,0.09,11.118572771496266,20.0
山东,24,23,23,0.09,0.6,0.09,20.0,-0.024901880167112405,0.35342736617463694,0.001418982989379718,5.461914011240825,0.02,0.09,0.8,1.3,0.9453492685375355,1.128207674467641,4,19,4,19,4,19,4,19,4,19,4,19,0.01872971683987593,0.09,11.2646842351341,20.0
河南,24,23,23,0.09,0.6,0.09,20.0,-0.024807682101133,0.3209652487416693,0.0022913580447380204,4.024076569106612,0.02,0.09,0.8,1.3,0.9453439087390972,1.1281537741716723,4,19,4,19,4,19,4,19,4,19,4,19,0.018906126738810855,0.09,11.390354659931491,20.0
湖北,24,23,23,0.09,0.6,0.09,20.0,-0.024757829467881718,0.4712876269430409,0.0017102880970311022,3.4599452889324485,0.02,0.09,0.8,1.3,0.9452622243439462,1.1281785034696419,4,19,4,19,4,19,4,19,4,19,4,19,0.01926271798470133,0.09,11.363913738197198,20.0
湖南,24,23,23,0.09,0.6,0.09,20.0,-0.024748066619405217,0.4845117286547993,0.0015040680005101248,3.002973239004793,0.02,0.09,0.8,1.3,0.9452217673311012,1.1281786063233974,4,19,4,19,4,19,4,19,4,19,4,19,0.01959397819085186,0.09,11.159839913144722,20.0
广东,24,23,23,0.09,0.6,0.09,20.0,-0.024712203842752165,0.5431909264615655,0.004287792329328384,8.386749477149449,0.02,0.09,0.8,1.3,0.9453857344193692,1.1281817662316345,4,19,4,19,4,19,4,19,4,19,4,19,0.019170448987774116,0.09,10.618625176201556,20.0
