snapshot,row,i_b,i_a,i_z,face,negative_row,leak,outward_budget_violation,budget_b,budget_a,captured_b,captured_a,operator_b,operator_a,row_sum,neighbors_and_signed_A
matlab_M24,19,19,0,0,upper_b+lower_a,0.0,0.008597059508050262,0.003167337713492202,0.003167337713492202,0.0,0.003167337713492202,0.0,-0.04298529754025138,0.0,-0.008597059508050287,19:-0.3419303928413836 419:0.33333333333333331
matlab_M24,21,1,1,0,interior,0.0,0.0,0.0,-2195361.9648211864,-1075.0869562914859,-2195361.9648211864,-1075.0869562914859,-2195361.964821187,-1075.0869562914136,6.035681399119142e-10,1:2125.454006239152 20:5958839.6188003626 21:-5961048.1949292198 41:82.788789285328491 421:0.33333333333333331
matlab_M24,22,2,1,0,interior,0.0,0.0,0.0,-2155162.3292489857,-1065.2000791500525,-2155162.329248986,-1065.2000791500525,-2155162.329248985,-1065.200079149908,1.8146312230626904e-10,2:2116.3283744378728 21:5849726.3222472463 22:-5851935.4321790701 42:92.4482240527729 422:0.33333333333333331
matlab_M24,24,4,1,0,interior,0.0,0.0,0.0,-208831.07863153756,-331.6795496030499,-208831.07863153753,-331.6795496030499,-208831.07863153736,-331.67954960310107,-9.131423395203342e-11,4:676.79382002106661 23:566827.21342845901 24:-567550.94325758878 44:46.602675775271692 424:0.33333333333333331
matlab_M24,39,19,1,0,upper_b,1.0,0.00859705950804544,0.10511404321635602,0.10511404321635602,-0.1400973534993301,0.10511404321635709,-0.1400973534993301,0.05896140796263816,-0.14462212166145927,-0.008597059508045513,19:0.35618497164869933 38:-0.27671248636492085 39:-0.51140287812512941 59:0.089999999999972102 439:0.33333333333333331
matlab_M24,59,19,2,0,upper_b,1.0,0.008597059505326092,0.16521360497285387,0.16521360497285387,-0.6108993314222454,0.16521360497285364,-0.6108993314222454,0.11906096973373437,-0.619948867743641,-0.008597059505325938,39:1.3407087296737061 58:-0.43983986827813437 59:-1.4227992542056709 79:0.17999999997143987 459:0.33333333333333331
matlab_M24,79,19,3,0,upper_b,0.0,0.008597059403205876,0.0,-1.8436025308880732,-2.4179615557518734,-1.8436025308880737,-2.4179615557518734,-1.8897551655789768,-2.4315358600727257,-0.008597059403206708,59:4.8641269542816392 78:5.0126610718136897 79:-10.488718417184948 99:0.26999999835307942 479:0.33333333333333331
matlab_M24,99,19,4,0,upper_b,0.0,0.008597058111626206,0.0,-1.3678256295823115,-2.7030960034949776,-1.3678256295823115,-2.7030960034949776,-1.413978257339466,-2.7211950732036634,-0.008597058111626477,79:5.4958823773948922 98:3.7212666241207568 99:-9.9190793637150438 119:0.35999997075443507 499:0.33333333333333331
matlab_M24,116,16,5,0,interior,0.0,0.0,0.0,-2383607.1682633916,-2505.416934852008,-2383607.1682633916,-2505.416934852008,-2383607.168263388,-2505.4169348496293,1.327398191364182e-10,96:4760.7421759464451 115:6469790.8852863479 116:-6474552.4107953552 136:0.44999972762945223 516:0.33333333333333331
matlab_M24,119,19,5,0,upper_b,0.0,0.008597049103866081,0.0,-0.13938229597265028,-2.280592167374496,-0.13938229597265028,-2.280592167374496,-0.18553487537235247,-2.3032159808057244,-0.008597049103865717,99:4.7831248456409954 118:0.38692042388677395 119:-5.9619753795944206 139:0.44999972762945223 519:0.33333333333333331
