snapshot,face,z_index,cells,budget_min,budget_max,outward_exact,outward_material,negative_rows,omitted_rows
matlab_M24,lower_b,0,20,0.0,0.8718484263224247,0,0,0,0
matlab_M24,lower_b,1,20,0.0,6.673892931773212,0,0,1,0
matlab_M24,upper_b,0,20,-3610948.98653346,1.795775884541271,9,9,7,13
matlab_M24,upper_b,1,20,-3128938.3276207354,0.1097649607625964,3,3,1,6
matlab_M24,lower_a,0,20,0.0,0.0,0,0,0,1
matlab_M24,lower_a,1,20,0.0,0.0,0,0,0,1
matlab_M24,upper_a,0,20,-614.5947176566152,0.81,8,8,9,1
matlab_M24,upper_a,1,20,-299.5607684039622,0.81,10,10,10,0
python_M24,lower_b,0,20,0.0,0.8718484263224247,0,0,0,0
python_M24,lower_b,1,20,0.0,6.673892931773215,0,0,1,0
python_M24,upper_b,0,20,-3610948.98653346,1.795775884541271,9,9,7,13
python_M24,upper_b,1,20,-3128938.327620735,0.10976496076259817,3,3,1,6
python_M24,lower_a,0,20,0.0,0.0,0,0,0,1
python_M24,lower_a,1,20,0.0,0.0,0,0,0,1
python_M24,upper_a,0,20,-614.5947176566152,0.81,8,8,9,1
python_M24,upper_a,1,20,-299.5607684039622,0.81,10,10,10,0
matlab_P24,lower_b,0,20,0.0,0.8726796190179431,0,0,0,0
matlab_P24,lower_b,1,20,0.0,6.673892931773212,0,0,1,0
matlab_P24,upper_b,0,20,-4202356.675719756,1.7956545032698097,9,9,7,13
matlab_P24,upper_b,1,20,-3233097.74414995,0.10976492648923777,3,3,1,6
matlab_P24,lower_a,0,20,0.0,0.0,0,0,0,1
matlab_P24,lower_a,1,20,0.0,0.0,0,0,0,1
matlab_P24,upper_a,0,20,-611.4921638828137,0.81,8,8,9,1
matlab_P24,upper_a,1,20,-299.8069866404116,0.81,10,10,10,0
python_P24,lower_b,0,20,0.0,0.8726796190179431,0,0,0,0
python_P24,lower_b,1,20,0.0,6.673892931773215,0,0,1,0
python_P24,upper_b,0,20,-4202356.675719756,1.7956545032698097,9,9,7,13
python_P24,upper_b,1,20,-3233097.74414995,0.10976492648923955,3,3,1,6
python_P24,lower_a,0,20,0.0,0.0,0,0,0,1
python_P24,lower_a,1,20,0.0,0.0,0,0,0,1
python_P24,upper_a,0,20,-611.4921638828137,0.81,8,8,9,1
python_P24,upper_a,1,20,-299.8069866404116,0.81,10,10,10,0
matlab_P32,lower_b,0,20,0.0,8.847415361872525,0,0,1,0
matlab_P32,lower_b,1,20,0.0,23.72774136438441,0,0,1,0
matlab_P32,upper_b,0,20,-386559.11856277427,0.7750332184655075,8,8,6,15
matlab_P32,upper_b,1,20,-5970.850148537653,1.2698159777058826,9,9,6,15
matlab_P32,lower_a,0,20,0.0,0.0,0,0,0,1
matlab_P32,lower_a,1,20,0.0,0.0,0,0,0,1
matlab_P32,upper_a,0,20,-13435.87946504566,0.81,8,8,8,0
matlab_P32,upper_a,1,20,-4201.425969800814,0.81,7,7,7,0
python_P32,lower_b,0,20,0.0,8.847415361872525,0,0,1,0
python_P32,lower_b,1,20,0.0,23.72774136438441,0,0,1,0
python_P32,upper_b,0,20,-386559.1185627742,0.7750332184655067,8,8,6,15
python_P32,upper_b,1,20,-5970.850148537653,1.2698159777058826,9,9,6,15
python_P32,lower_a,0,20,0.0,0.0,0,0,0,1
python_P32,lower_a,1,20,0.0,0.0,0,0,0,1
python_P32,upper_a,0,20,-13435.87946504566,0.81,8,8,8,0
python_P32,upper_a,1,20,-4201.425969800814,0.81,7,7,7,0
matlab_M143_FINAL,lower_b,0,20,0.0,2.610478495918538,0,0,1,0
matlab_M143_FINAL,lower_b,1,20,0.0,6.691532965702926,0,0,1,0
matlab_M143_FINAL,upper_b,0,20,-2202.342543731874,0.003167337713492202,1,1,0,5
matlab_M143_FINAL,upper_b,1,20,-6656.519745746344,0.003191811930404853,1,1,0,10
matlab_M143_FINAL,lower_a,0,20,0.0,0.0,0,0,0,1
matlab_M143_FINAL,lower_a,1,20,0.0,0.0,0,0,0,1
matlab_M143_FINAL,upper_a,0,20,-103.22642026073264,0.81,10,10,10,0
matlab_M143_FINAL,upper_a,1,20,-104.86436978257218,0.81,8,8,8,0
python_M143_FINAL,lower_b,0,20,0.0,2.610478495918538,0,0,1,0
python_M143_FINAL,lower_b,1,20,0.0,6.691532965702926,0,0,1,0
python_M143_FINAL,upper_b,0,20,-2202.342543731874,0.003167337713492202,1,1,0,5
python_M143_FINAL,upper_b,1,20,-6656.519745746344,0.003191811930404853,1,1,0,10
python_M143_FINAL,lower_a,0,20,0.0,0.0,0,0,0,1
python_M143_FINAL,lower_a,1,20,0.0,0.0,0,0,0,1
python_M143_FINAL,upper_a,0,20,-103.22642026073264,0.81,10,10,10,0
python_M143_FINAL,upper_a,1,20,-104.86436978257218,0.81,8,8,8,0
matlab_trajectory_52,lower_b,0,20,0.0,5.734997979172183,0,0,0,0
matlab_trajectory_52,lower_b,1,20,0.0,17.61006451730582,0,0,0,0
matlab_trajectory_52,upper_b,0,20,-2156.4131603859764,0.7502122926147049,16,16,13,19
matlab_trajectory_52,upper_b,1,20,-9919.432967516244,0.20730107523524496,6,6,3,17
matlab_trajectory_52,lower_a,0,20,0.0,0.0,0,0,0,1
matlab_trajectory_52,lower_a,1,20,0.0,0.0,0,0,0,1
matlab_trajectory_52,upper_a,0,20,-561.1273796242031,0.81,10,10,10,0
