k0,matlab_linear_index1,b_index0,a_index0,z_index0,b_index1,a_index1,z_index1,b,a,z,faces,g,p,mu_b,mu_a,ell_lower_b,ell_upper_b,ell_lower_a,ell_upper_a,ell_total,q,delta,r,weighted_outward_flux,pin
0,1,0,0,0,1,1,1,-2.0,0.0,0.8,lower_b+lower_a,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0
1,2,1,0,0,2,1,1,-1.631578947368421,0.0,0.8,lower_a,0.0,0.0,-0.1364719562407668,0.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
2,3,2,0,0,3,1,1,-1.263157894736842,0.0,0.8,lower_a,-0.0,-0.0,-0.1705969913522125,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,-0.0,0
3,4,3,0,0,4,1,1,-0.8947368421052633,0.0,0.8,lower_a,-0.0,-0.0,-0.18866877978433116,0.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,-0.0,0
4,5,4,0,0,5,1,1,-0.5263157894736843,0.0,0.8,lower_a,-0.0,-0.0,-0.19986191025730804,0.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,-0.0,0
5,6,5,0,0,6,1,1,-0.1578947368421053,0.0,0.8,lower_a,-0.0,-0.0,-0.20760087385306214,0.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,-0.0,0
6,7,6,0,0,7,1,1,0.21052631578947345,0.0,0.8,lower_a,0.0,0.0,-0.43054751129266755,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
7,8,7,0,0,8,1,1,0.5789473684210527,0.0,0.8,lower_a,0.0,0.0,-0.6542900743521418,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
8,9,8,0,0,9,1,1,0.9473684210526314,0.0,0.8,lower_a,0.0,0.0,-0.798422085066333,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,-1.6653345369377348e-16,0.0,0.0,0
9,10,9,0,0,10,1,1,1.3157894736842102,0.0,0.8,lower_a,0.0,0.0,-0.9052329594483037,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,-1.6653345369377348e-16,0.0,0.0,0
10,11,10,0,0,11,1,1,1.6842105263157894,0.0,0.8,lower_a,0.0,0.0,-0.9889164897011007,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,-1.6653345369377348e-16,0.0,0.0,0
11,12,11,0,0,12,1,1,2.052631578947368,0.0,0.8,lower_a,-0.0,-0.0,1.177334526744339,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,-1.6653345369377348e-16,0.0,-0.0,0
