metric,rank,province,value
GDP_relative_difference,1,贵州,-0.7488043217021066
GDP_relative_difference,2,西藏,-0.7012783985165434
GDP_relative_difference,3,湖北,-0.6860654967225461
GDP_relative_difference,4,云南,-0.6851455152454691
GDP_relative_difference,5,安徽,-0.6805529991855552
POP_relative_difference,1,西藏,-0.1638418079096045
POP_relative_difference,2,浙江,-0.15893511876295233
POP_relative_difference,3,北京,-0.15145985401459855
POP_relative_difference,4,黑龙江,0.1499849714457469
POP_relative_difference,5,新疆,-0.14325396825396824
capital_relative_difference,1,贵州,-0.892054145108348
capital_relative_difference,2,湖南,-0.869941352711614
capital_relative_difference,3,青海,-0.869864642521369
capital_relative_difference,4,陕西,-0.8404520144017903
capital_relative_difference,5,安徽,-0.8319314931546822
Zt_relative_difference,1,江苏,-0.8237134405382694
Zt_relative_difference,2,海南,-0.6293731546831177
Zt_relative_difference,3,河北,-0.6176860493709212
Zt_relative_difference,4,浙江,-0.5682905552342647
Zt_relative_difference,5,辽宁,-0.52886022393938
legacy_replay_turn1_GovInv_to_private_supply,1,山东,1732.1270936845806
legacy_replay_turn1_GovInv_to_private_supply,2,广东,1697.1704727572608
legacy_replay_turn1_GovInv_to_private_supply,3,江苏,1647.2713104808024
legacy_replay_turn1_GovInv_to_private_supply,4,河南,1385.7950005378696
legacy_replay_turn1_GovInv_to_private_supply,5,浙江,1037.6369795984751
MATLAB_initial_K_over_Y_model_units,1,西藏,33342.511991047664
MATLAB_initial_K_over_Y_model_units,2,吉林,31175.246931737925
MATLAB_initial_K_over_Y_model_units,3,宁夏,28104.249350397622
MATLAB_initial_K_over_Y_model_units,4,新疆,25579.628515924356
MATLAB_initial_K_over_Y_model_units,5,辽宁,24941.443141729946
MATLAB_initial_K_over_L_model_units,1,上海,1301888.2464286773
MATLAB_initial_K_over_L_model_units,2,北京,1212902.311796896
MATLAB_initial_K_over_L_model_units,3,天津,1059863.649872498
MATLAB_initial_K_over_L_model_units,4,浙江,921809.5576021237
MATLAB_initial_K_over_L_model_units,5,江苏,808881.5328492911
MATLAB_initial_Y_over_N_model_units,1,上海,71.2237363591943
MATLAB_initial_Y_over_N_model_units,2,北京,63.79516129032258
MATLAB_initial_Y_over_N_model_units,3,天津,46.49486970684039
MATLAB_initial_Y_over_N_model_units,4,江苏,43.612291933418696
MATLAB_initial_Y_over_N_model_units,5,浙江,43.27850644427597
