province_index,province_name,source_excel_column,MATLAB_steady_label,MATLAB_analysis_ii,MATLAB_data_year_index,MATLAB_level_row,MATLAB_level_year,MATLAB_Zt_source_row,MATLAB_Zt_source_year,MATLAB_PLM_vintage,canonical_year,canonical_level_row,MATLAB_GDP_raw_亿元,MATLAB_GDP_transformed,canonical_GDP_raw_亿元,canonical_GDP_transformed,GDP_abs_diff_亿元,GDP_relative_difference,GDP_classification,MATLAB_POP_raw_万人,MATLAB_POP_transformed,canonical_POP_raw_万人,canonical_POP_transformed,POP_diff_万人,POP_relative_difference,POP_classification,MATLAB_alpha,canonical_alpha,alpha_diff,alpha_classification,MATLAB_Zt_fixed_2020_level,canonical_same_year_Zt,Zt_ratio,Zt_log_ratio,Zt_relative_difference,Zt_classification,MATLAB_raw_capital_万元,MATLAB_transformed_capital,canonical_PIM_capital_万元,canonical_transformed_capital,capital_ratio,capital_relative_difference,capital_classification,MATLAB_initial_GovInv,canonical_initial_GovInv,GovInv_ratio_MATLAB_to_canonical,GovInv_to_initial_Kt0,initial_source_At,initial_source_Bt,initial_source_At_times_N,corrected_turn1_persisted_At,corrected_turn1_persisted_Bt,corrected_turn1_At_times_N,corrected_turn1_persisted_Kt_supply,corrected_turn1_Kt_total,legacy_replay_turn1_persisted_At,legacy_replay_turn1_persisted_Bt,legacy_replay_turn1_persisted_Kt_supply,legacy_replay_turn1_GovInv,legacy_replay_turn1_Kt_total,legacy_replay_turn1_GovInv_to_private_supply,initial_ra,initial_rah,initial_rb,initial_wjt,initial_household_wage,ra_bounds,wjt_bounds,initial_ra_at_upper_bound,initial_rah_equals_ra_upper_descriptive,initial_wjt_below_firm_lower_bound,initial_household_wage_bound_status,corrected_turn1_firm_ra0,corrected_turn1_firm_ra_used,corrected_turn1_wage_raw,corrected_turn1_wage_used,corrected_turn1_ra_clipped_lower,corrected_turn1_wage_clipped_lower,corrected_turn1_wage_clipped_upper,MATLAB_initial_K_over_Y_model_units,MATLAB_initial_K_over_L_model_units,MATLAB_initial_Y_over_N_model_units,canonical_initial_K_over_Y_model_units,canonical_initial_K_over_L_model_units,canonical_initial_Y_over_N_model_units,provenance
1,北京,C,2018,10,10,10,2009,21,2020,19,2018,19,11865.9,11865900.0,30319.98,30319980.0,-18454.08,-0.6086442009526393,YEAR_OR_VINTAGE_MISMATCH,1860.0,186000.0,2192.0,219200.0,-332.0,-0.15145985401459855,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.0016341152925786636,0.0015949382639870576,1.0245633511191026,0.024266522918866367,0.024563351119102513,YEAR_OR_VINTAGE_MISMATCH,225599829.99422267,225599829994.22266,537317983.065375,537317983065.375,0.41986279466617843,-0.5801372053338216,YEAR_OR_VINTAGE_MISMATCH,225599829994.22266,537317983065.375,0.4198627946661784,1.0,2.0,1.0,372000.0,7.274097868486394,4.6982774669466725,1594482.2527722176,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,96563.28163911952,49270438.3129602,49367001.59459932,510.2398911534077,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.024915403395398186,0.02,2.966578718527173,1.3,True,False,True,19012.44996116794,1212902.311796896,63.79516129032258,17721.58105201174,2451268.1709186817,138.32107664233575,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
2,天津,D,2018,10,10,10,2009,21,2020,19,2018,19,5709.57,5709570.0,13362.92,13362920.0,-7653.35,-0.5727303613282128,YEAR_OR_VINTAGE_MISMATCH,1228.0,122800.0,1383.0,138300.0,-155.0,-0.11207519884309472,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.0006331796953290661,0.0006512817940029328,0.9722054280642379,-0.02818815110696298,-0.02779457193576208,YEAR_OR_VINTAGE_MISMATCH,130151256.20434272,130151256204.34273,679051452.789948,679051452789.948,0.1916662657440814,-0.8083337342559186,YEAR_OR_VINTAGE_MISMATCH,130151256204.34273,679051452789.948,0.1916662657440814,1.0,2.0,1.0,245600.0,7.274097868486394,4.6982774669466725,1006007.7352116683,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,95889.6233699608,51336802.8150781,51432692.438448064,535.3739123263707,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.024967167975220465,0.02,1.4401690728067909,1.3,True,False,True,22795.281641934984,1059863.649872498,46.49486970684039,50816.098037700445,4909988.812653275,96.62270426608822,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
3,河北,E,2018,10,10,10,2009,21,2020,19,2018,19,15306.9,15306900.0,32494.6,32494600.0,-17187.699999999997,-0.5289401931397831,YEAR_OR_VINTAGE_MISMATCH,7034.0,703400.0,7556.0,755600.0,-522.0,-0.06908417151932239,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.00020325561576148244,0.000531645825183819,0.3823139506290788,-0.9615131476322507,-0.6176860493709212,YEAR_OR_VINTAGE_MISMATCH,356844128.9231887,356844128923.18866,1692566739.6659174,1692566739665.9175,0.2108301673195016,-0.7891698326804983,YEAR_OR_VINTAGE_MISMATCH,356844128923.18866,1692566739665.9175,0.21083016731950158,1.0,2.0,1.0,1406800.0,7.274097868486394,4.6982774669466725,5496308.349428319,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,96086.67866254163,90356776.0949341,90452862.77359664,940.3673573968453,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.024978086510754612,0.02,2.3323674575551907,1.3,True,False,True,23312.63214126888,507313.23418138846,21.761302246232585,52087.63116536032,2240030.0948463706,43.005029115934356,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
4,山西,F,2018,10,10,10,2009,21,2020,19,2018,19,7147.61,7147610.0,15958.13,15958130.0,-8810.52,-0.5521022826609384,YEAR_OR_VINTAGE_MISMATCH,3427.0,342700.0,3502.0,350200.0,-75.0,-0.02141633352370074,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.0006904139506587265,0.0006411700755120038,1.0768031401144216,0.07399659605788338,0.07680314011442159,YEAR_OR_VINTAGE_MISMATCH,144986827.54546154,144986827545.46155,663511099.8379441,663511099837.9441,0.21851454720331445,-0.7814854527966856,YEAR_OR_VINTAGE_MISMATCH,144986827545.46155,663511099837.9441,0.21851454720331448,1.0,2.0,1.0,685400.0,7.274097868486394,4.6982774669466725,2547389.073543935,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,98528.22502212018,37758335.6649879,37856863.89001002,383.2235448929576,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.02496732273943252,0.02,1.3660813077251024,1.3,True,False,True,20284.658444635555,423072.1550786739,20.856755179457252,41578.248819751694,1894663.334774255,45.56861793260994,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
5,内蒙古,G,2018,10,10,10,2009,21,2020,19,2018,19,7104.22,7104220.0,16140.76,16140760.0,-9036.54,-0.5598583957632727,YEAR_OR_VINTAGE_MISMATCH,2458.0,245800.0,2422.0,242200.0,36.0,0.01486374896779521,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.0006509396292199082,0.0005606100998367917,1.1611271887706156,0.14939124776682475,0.16112718877061566,YEAR_OR_VINTAGE_MISMATCH,159025967.64207524,159025967642.07523,892802329.6694608,892802329669.4608,0.17812001868426003,-0.8218799813157399,YEAR_OR_VINTAGE_MISMATCH,159025967642.07523,892802329669.4608,0.17812001868426,1.0,2.0,1.0,491600.0,7.274097868486394,4.6982774669466725,1761786.5037474046,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,95824.40442847976,56986309.349860296,57082133.75428878,594.695158187944,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.024973424466956922,0.02,1.528211289573283,1.3,True,False,True,22384.718891317447,646973.0172582393,28.902441008950365,55313.524869303605,3686219.362797113,66.64227910817506,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
6,辽宁,H,2018,10,10,10,2009,21,2020,19,2018,19,12815.7,12815700.0,23510.5,23510500.0,-10694.8,-0.45489462155207244,YEAR_OR_VINTAGE_MISMATCH,4341.0,434100.0,4291.0,429100.0,50.0,0.011652295502213935,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.0002864698302222306,0.0006080357566442692,0.47113977606061996,-0.7526004645316666,-0.52886022393938,YEAR_OR_VINTAGE_MISMATCH,319642052.8714684,319642052871.46844,1105264754.6941695,1105264754694.1694,0.28919953478469007,-0.7108004652153099,YEAR_OR_VINTAGE_MISMATCH,319642052871.46844,1105264754694.1694,0.2891995347846901,1.0,2.0,1.0,868200.0,7.274097868486394,4.6982774669466725,3121315.3953675115,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,96015.60636080663,67054545.412681095,67150561.0190419,698.3713164368727,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.024972553705813198,0.02,1.9580097821581877,1.3,True,False,True,24941.443141729946,736332.7640439264,29.522460262612302,47011.53759784647,2575774.305975692,54.79025868096015,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
7,吉林,I,2018,10,10,10,2009,21,2020,19,2018,19,5434.84,5434840.0,11253.81,11253810.0,-5818.969999999999,-0.5170666645340556,YEAR_OR_VINTAGE_MISMATCH,2740.0,274000.0,2484.0,248400.0,256.0,0.10305958132045089,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.00047331941528535383,0.0004489797639331647,1.0542110208686652,0.05279263963272605,0.05421102086866518,YEAR_OR_VINTAGE_MISMATCH,169432479.03448653,169432479034.48654,740712965.9196627,740712965919.6627,0.22874242362440714,-0.7712575763755929,YEAR_OR_VINTAGE_MISMATCH,169432479034.48654,740712965919.6627,0.22874242362440714,1.0,2.0,1.0,548000.0,7.274097868486394,4.6982774669466725,1806885.9105320203,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,96542.76360484208,52390313.5226049,52486856.28620974,542.6643237295651,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.024977823365531643,0.02,1.0641887797324172,1.0641887797324172,True,False,False,31175.246931737925,618366.7118046954,19.835182481751826,65818.86187163838,2981936.255715228,45.30519323671498,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
8,黑龙江,J,2018,10,10,10,2009,21,2020,19,2018,19,7218.9,7218900.0,12846.5,12846500.0,-5627.6,-0.43806484256412254,YEAR_OR_VINTAGE_MISMATCH,3826.0,382600.0,3327.0,332700.0,499.0,0.1499849714457469,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.0005703841154289705,0.0005274868982764897,1.0813237585476398,0.07818599293516386,0.08132375854763992,YEAR_OR_VINTAGE_MISMATCH,158334912.0515163,158334912051.5163,654911264.0623205,654911264062.3204,0.24176544325927085,-0.7582345567407291,YEAR_OR_VINTAGE_MISMATCH,158334912051.5163,654911264062.3204,0.24176544325927088,1.0,2.0,1.0,765200.0,7.274097868486394,4.6982774669466725,2420092.3608454233,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,97631.0058496628,44224774.7160286,44322405.72187826,452.97878815392073,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.024973278839785427,0.02,1.1472547128230868,1.1472547128230868,True,False,False,21933.38487186639,413839.2892093996,18.86800836382645,50979.74265849223,1968473.8925828687,38.61286444244064,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
9,上海,K,2018,10,10,10,2009,21,2020,19,2018,19,15742.44,15742440.0,36011.82,36011820.0,-20269.379999999997,-0.5628535297577295,YEAR_OR_VINTAGE_MISMATCH,2210.28,221028.00000000003,2475.39,247539.0,-265.1099999999997,-0.10709827542326651,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.0015030642394494576,0.001970216149288438,0.7628930663228516,-0.2706374065065554,-0.23710693367714836,YEAR_OR_VINTAGE_MISMATCH,287753755.33163774,287753755331.63776,492773836.9834863,492773836983.48627,0.5839469016722186,-0.4160530983277814,YEAR_OR_VINTAGE_MISMATCH,287753755331.63776,492773836983.48627,0.5839469016722186,1.0,2.0,1.0,442056.00000000006,7.274097868486394,4.6982774669466725,1800622.9122672535,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,96237.66209462108,54021103.923275396,54117341.58537002,561.3301772663776,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.024893401067352623,0.02,3.4250025183909516,1.3,True,False,True,18278.853553301633,1301888.2464286773,71.2237363591943,13683.66933366562,1990691.7171980427,145.47937900694436,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
10,江苏,L,2018,10,10,10,2009,21,2020,19,2018,19,34061.2,34061200.0,92595.4,92595400.0,-58534.2,-0.632150193206142,YEAR_OR_VINTAGE_MISMATCH,7810.0,781000.0,8446.0,844600.0,-636.0,-0.07530191806772436,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.0001820044285805966,0.0010324350826082535,0.17628655946173055,-1.7356444292301954,-0.8237134405382694,YEAR_OR_VINTAGE_MISMATCH,631736477.1552964,631736477155.2964,2690386204.8937325,2690386204893.7324,0.23481256185680202,-0.765187438143198,YEAR_OR_VINTAGE_MISMATCH,631736477155.2964,2690386204893.7324,0.23481256185680202,1.0,2.0,1.0,1562000.0,7.274097868486394,4.6982774669466725,6143703.059723608,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,90680.10536615658,149374736.001046,149465416.10641217,1647.2713104808024,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.024961917091547176,0.02,6.608777901336723,1.3,True,False,True,18547.099842498104,808881.5328492911,43.612291933418696,29055.290056457798,3185396.880054147,109.6322519535875,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
11,浙江,M,2018,10,10,10,2009,21,2020,19,2018,19,22833.74,22833740.0,58002.84,58002840.0,-35169.09999999999,-0.6063341036404423,YEAR_OR_VINTAGE_MISMATCH,5276.0,527600.0,6273.0,627300.0,-997.0,-0.15893511876295233,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.0004481765543902068,0.001038143964242912,0.43170944476573525,-0.8400024985832716,-0.5682905552342647,YEAR_OR_VINTAGE_MISMATCH,486346722.5908805,486346722590.8805,1591617942.4173977,1591617942417.3977,0.3055675043799785,-0.6944324956200214,YEAR_OR_VINTAGE_MISMATCH,486346722590.8805,1591617942417.3977,0.3055675043799785,1.0,2.0,1.0,1055200.0,7.274097868486394,4.6982774669466725,4563041.592901515,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,94582.35036441941,98142144.3554609,98236726.70582531,1037.6369795984751,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.024956833153643436,0.02,4.420685631358207,1.3,True,False,True,21299.477115482638,921809.5576021237,43.27850644427597,27440.34503168117,2537251.621899247,92.46427546628408,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
12,安徽,N,2018,10,10,10,2009,21,2020,19,2018,19,10864.68,10864680.0,34010.9,34010900.0,-23146.22,-0.6805529991855552,YEAR_OR_VINTAGE_MISMATCH,6131.0,613100.0,6076.0,607600.0,55.0,0.009052007899934168,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.000641551386937363,0.0006934644495858679,0.9251395472695003,-0.07781069093525256,-0.07486045273049974,YEAR_OR_VINTAGE_MISMATCH,228121755.48548824,228121755485.48825,1357314108.2013683,1357314108201.3684,0.1680685068453179,-0.8319314931546822,YEAR_OR_VINTAGE_MISMATCH,228121755485.48825,1357314108201.3684,0.1680685068453179,1.0,2.0,1.0,1226200.0,7.274097868486394,4.6982774669466725,4419741.864892333,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,100199.81889299671,54313245.2543264,54413445.073219396,542.0493355614491,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.02496997113112164,0.02,2.5721358283733027,1.3,True,False,True,20996.638233752696,372079.19668159884,17.72089381830044,39908.20908007046,2233894.1872965246,55.975806451612904,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
13,福建,O,2018,10,10,10,2009,21,2020,19,2018,19,12418.09,12418090.0,35804.04,35804040.0,-23385.95,-0.6531651176794574,YEAR_OR_VINTAGE_MISMATCH,3666.0,366600.0,3941.0,394100.0,-275.0,-0.0697792438467394,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.0007909691648437431,0.0009211005515816159,0.858721844738422,-0.1523102223138656,-0.1412781552615781,YEAR_OR_VINTAGE_MISMATCH,199973891.60171038,199973891601.7104,1141016390.6115339,1141016390611.534,0.17525943820538223,-0.8247405617946179,YEAR_OR_VINTAGE_MISMATCH,199973891601.7104,1141016390611.534,0.17525943820538223,1.0,2.0,1.0,733200.0,7.274097868486394,4.6982774669466725,2866721.969970488,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,95807.37822428839,75562152.8770214,75657960.25524569,788.688243823224,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.024958727364295292,0.02,3.041441475411804,1.3,True,False,True,16103.433909861371,545482.5193718232,33.87367703218767,31868.369899361467,2895245.8528584978,90.8501395584877,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
14,江西,P,2018,10,10,10,2009,21,2020,19,2018,19,7589.2,7589200.0,22717.0,22717000.0,-15127.8,-0.6659241977373772,YEAR_OR_VINTAGE_MISMATCH,4432.0,443200.0,4513.0,451300.0,-81.0,-0.01794814978949701,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.0005972473033647159,0.0006250709986865693,0.9554871440519269,-0.04553397007371953,-0.04451285594807307,YEAR_OR_VINTAGE_MISMATCH,181227699.74104184,181227699741.04184,1005097857.1793013,1005097857179.3013,0.18030851269510995,-0.81969148730489,YEAR_OR_VINTAGE_MISMATCH,181227699741.04184,1005097857179.3013,0.18030851269510995,1.0,2.0,1.0,886400.0,7.274097868486394,4.6982774669466725,3282800.36804791,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,99104.96082368569,38642602.7655129,38741707.72633658,389.91592796510616,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.024971012650281066,0.02,1.8362000759967394,1.3,True,False,True,23879.68425407709,408907.26475866843,17.123646209386283,44244.30414136115,2227116.9004637743,50.336804786173275,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
15,山东,Q,2018,10,10,10,2009,21,2020,19,2018,19,29540.8,29540800.0,66648.87,66648869.99999999,-37108.06999999999,-0.5567696796659868,YEAR_OR_VINTAGE_MISMATCH,9470.0,947000.0,10077.0,1007700.0,-607.0,-0.060236181403195393,YEAR_OR_VINTAGE_MISMATCH,0.772866243094144,0.772866243094144,0.0,EXACT_MATCH,0.00033054728607754435,0.0006937935055420465,0.4764346789601246,-0.7414246503633358,-0.5235653210398754,YEAR_OR_VINTAGE_MISMATCH,666566042.4205676,666566042420.5676,2791796128.048598,2791796128048.5977,0.23875885338607522,-0.7612411466139248,YEAR_OR_VINTAGE_MISMATCH,666566042420.5676,2791796128048.5977,0.23875885338607522,1.0,2.0,1.0,1894000.0,7.274097868486394,4.6982774669466725,7330108.42207374,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,NOT_AVAILABLE_WITHOUT_SCIENTIFIC_RERUN,7.274097868486394,4.6982774669466725,90806.27409682794,157288007.639664,157378813.9137608,1732.1270936845806,0.09,0.09,0.02,0.6,20.0,"[0.02,0.09]","[0.8,1.3]",True,True,True,COMPOSITE_WAGE_HAS_NO_WJT_BOUND,-0.02497453995100578,0.02,4.519652554449441,1.3,True,False,True,22564.251557864634,703871.216917178,31.194086589229144,41888.123955418865,2770463.5586470156,66.13959511759451,MATLAB cache mydata2{10}; GDP/CAP/POP row10=2009; IND_Zt fixed row21=2020; alpha PLM vintage19; corrected values canonical workbook 2018; saved outputs explicitly labelled by route
