year,workbook_value,workbook_status,official_value,official_unit,source_id,comparability_status,conversion,accepted_for_candidate_chain,required_by_K2018,caveat
2000,8666667,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2001,6594000,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2002,11333146,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2003,14777162,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2004,19353000,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2005,21400300,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2006,35336000,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2007,50875000,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2008,67350000,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2009,89858000,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2010,111043500,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2011,124557000,ORIGINAL_OBSERVED_UNCHANGED,,,AH2018_BULLETIN_SCOPE_NOTE,STATISTICAL_DEFINITION_BREAK,none; workbook unit is 万元,False,True,Official bulletin records a 2011 scope change to projects with planned total investment >= RMB 5 million plus real-estate development investment.
2012,150550000,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2013,180908900,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2014,218756000,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2015,238039300,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2016,267581000,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2017,292751000,ORIGINAL_OBSERVED_UNCHANGED,,,,SOURCE_NOT_OBTAINED,none; workbook unit is 万元,False,True,No same-definition official absolute observation was automatically obtained.
2018,337527300,ORIGINAL_OBSERVED_UNCHANGED,,,,NOT_REQUIRED_BY_RECURRENCE,none; workbook unit is 万元,False,False,K2018 ends with I2017 under the frozen recurrence; I2018 is retained only for ledger completeness.
