capital_year,formula,source_investment_year,source_investment_cell,source_investment_value,source_investment_raw_filled_binary64_equal,source_flow_regime,calculated_capital,calculated_binary64_hex,workbook_capital_cell,workbook_capital,workbook_binary64_hex,binary64_equal,absolute_difference,relative_difference
2000,K2000 = I2000 / 0.1,2000,N2,8666667,TRUE,PRE_2011_DOCUMENTED_BREAK,86666670,4194A9B6B8000000,N2,86666670,4194A9B6B8000000,TRUE,0,0
2001,K2001 = (1 - 0.096) * K2000 + I2000,2000,N2,8666667,TRUE,PRE_2011_DOCUMENTED_BREAK,87013336.680000007,4194BEDF62B851EC,N3,87013336.680000007,4194BEDF62B851EC,TRUE,0,0
2002,K2002 = (1 - 0.096) * K2001 + I2001,2001,N3,6594000,TRUE,PRE_2011_DOCUMENTED_BREAK,85254056.358720005,4194537EA16F544C,N4,85254056.358720005,4194537EA16F544C,TRUE,0,0
2003,K2003 = (1 - 0.096) * K2002 + I2002,2002,N4,11333146,TRUE,PRE_2011_DOCUMENTED_BREAK,88402812.948282883,419513ADF3CB0AAB,N5,88402812.948282883,419513ADF3CB0AAB,TRUE,0,0
2004,K2004 = (1 - 0.096) * K2003 + I2003,2003,N5,14777162,TRUE,PRE_2011_DOCUMENTED_BREAK,94693304.905247733,4196939EE39EF943,N6,94693304.905247733,4196939EE39EF943,TRUE,0,0
2005,K2005 = (1 - 0.096) * K2004 + I2004,2004,N6,19353000,TRUE,PRE_2011_DOCUMENTED_BREAK,104955747.63434395,419905FD8E899176,N7,104955747.63434395,419905FD8E899176,TRUE,0,0
2006,K2006 = (1 - 0.096) * K2005 + I2005,2005,N7,21400300,TRUE,PRE_2011_DOCUMENTED_BREAK,116280295.86144693,419BB92F9F721F25,N8,116280295.86144693,419BB92F9F721F25,TRUE,0,0
2007,K2007 = (1 - 0.096) * K2006 + I2006,2006,N8,35336000,TRUE,PRE_2011_DOCUMENTED_BREAK,140453387.45874804,41A0BE4C16EAE106,N9,140453387.45874804,41A0BE4C16EAE106,TRUE,0,0
2008,K2008 = (1 - 0.096) * K2007 + I2007,2007,N9,50875000,TRUE,PRE_2011_DOCUMENTED_BREAK,177844862.26270825,41A53364FC8681B2,N10,177844862.26270825,41A53364FC8681B2,TRUE,0,0
2009,K2009 = (1 - 0.096) * K2008 + I2008,2008,N10,67350000,TRUE,PRE_2011_DOCUMENTED_BREAK,228121755.48548827,41AB31B936F891EB,N11,228121755.48548827,41AB31B936F891EB,TRUE,0,0
2010,K2010 = (1 - 0.096) * K2009 + I2009,2009,N11,89858000,TRUE,PRE_2011_DOCUMENTED_BREAK,296080066.95888138,41B1A5D2C2F57940,N12,296080066.95888138,41B1A5D2C2F57940,TRUE,0,0
2011,K2011 = (1 - 0.096) * K2010 + I2010,2010,N12,111043500,TRUE,PRE_2011_DOCUMENTED_BREAK,378699880.53082877,41B692806887E465,N13,378699880.53082877,41B692806887E465,TRUE,0,0
2012,K2012 = (1 - 0.096) * K2011 + I2011,2011,N13,124557000,TRUE,DOCUMENTED_2011_DEFINITION_BREAK_OR_LATER,466901691.99986923,41BBD45ABBFFF76E,N14,466901691.99986923,41BBD45ABBFFF76E,TRUE,0,0
2013,K2013 = (1 - 0.096) * K2012 + I2012,2012,N14,150550000,TRUE,DOCUMENTED_2011_DEFINITION_BREAK_OR_LATER,572629129.56788182,41C110D044C8B05A,N15,572629129.56788182,41C110D044C8B05A,TRUE,0,0
2014,K2014 = (1 - 0.096) * K2013 + I2013,2013,N15,180908900,TRUE,DOCUMENTED_2011_DEFINITION_BREAK_OR_LATER,698565633.12936521,41C4D1A200908F0A,N16,698565633.12936521,41C4D1A200908F0A,TRUE,0,0
2015,K2015 = (1 - 0.096) * K2014 + I2014,2014,N16,218756000,TRUE,DOCUMENTED_2011_DEFINITION_BREAK_OR_LATER,850259332.34894621,41C956F6C22CAA45,N17,850259332.34894621,41C956F6C22CAA45,TRUE,0,0
2016,K2016 = (1 - 0.096) * K2015 + I2015,2015,N17,238039300,TRUE,DOCUMENTED_2011_DEFINITION_BREAK_OR_LATER,1006673736.4434474,41CE004FA438C2E2,N18,1006673736.4434474,41CE004FA438C2E2,TRUE,0,0
2017,K2017 = (1 - 0.096) * K2016 + I2016,2016,N18,267581000,TRUE,DOCUMENTED_2011_DEFINITION_BREAK_OR_LATER,1177614057.7448764,41D18C3DBA6FAC0E,N19,1177614057.7448764,41D18C3DBA6FAC0E,TRUE,0,0
2018,K2018 = (1 - 0.096) * K2017 + I2017,2017,N19,292751000,TRUE,DOCUMENTED_2011_DEFINITION_BREAK_OR_LATER,1357314108.2013683,41D439BE0F0CE338,N20,1357314108.2013683,41D439BE0F0CE338,TRUE,0,0
