year,province_investment,province_yoy_change,province_direction,purchased_city_comparable_pairs,city_up_count,city_down_count,city_flat_count,city_median_yoy_change,city_majority_direction,province_matches_city_majority,purchased_level_status,classification
2001,6594000,-0.2391538754171586,DOWN,16,13,3,0,0.25975518728640634,UP,FALSE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2002,11333146,0.7187057931452836,UP,16,15,1,0,0.1859710637323333,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2003,14777162,0.30388878780878681,UP,16,16,0,0,0.76436624343397686,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2004,19353000,0.30965607604491319,UP,16,16,0,0,0.31717360656090243,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2005,21400300,0.10578721645222955,UP,16,16,0,0,0.31012105124249123,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2006,35336000,0.65119180572234958,UP,16,15,1,0,0.33437255397503041,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2007,50875000,0.43974983020149416,UP,16,16,0,0,0.38749623539758848,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2008,67350000,0.32383292383292384,UP,16,15,1,0,0.31481612955659166,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2009,89858000,0.33419450631031933,UP,16,16,0,0,0.37702530493661335,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2010,111043500,0.2357664314807808,UP,16,16,0,0,0.36563732802494586,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2011,124557000,0.12169555174323565,UP,16,11,5,0,0.10549785200705508,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2012,150550000,0.20868357458834108,UP,16,16,0,0,0.26040273897460475,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2013,180908900,0.20165327133842581,UP,16,16,0,0,0.2193760332536614,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2014,218756000,0.20920529614629246,UP,16,15,1,0,0.17453471382118191,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2015,238039300,0.088149810748048063,UP,16,13,3,0,0.12089922976312406,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2016,267581000,0.12410429706355219,UP,16,16,0,0,0.10999701251624494,UP,TRUE,YEARBOOK_SOURCED_PER_GENERIC_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
2017,292751000,0.094064974717935845,UP,16,15,1,0,0.11389576453372208,UP,TRUE,GROWTH_DERIVED_OR_DIRECT_PUBLISHED_MIX_PER_DOCUMENTATION,SECONDARY_DIRECTIONAL_CROSSCHECK_ONLY
