severity,variable,province,year,issue,detail
DATA_QUALITY,固定资产投资额,北京市,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,天津市,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,河北省,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,山西省,2022-2023,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,固定资产投资额,内蒙古,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,辽宁省,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,吉林省,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,黑龙江,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,上海市,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,江苏省,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,浙江省,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,安徽省,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,福建省,2019-2019,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,固定资产投资额,福建省,2022-2023,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,固定资产投资额,江西省,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,山东省,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,河南省,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,湖北省,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,湖南省,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,广东省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,固定资产投资额,广西,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,海南省,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,重庆市,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,四川省,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,贵州省,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,固定资产投资额,云南省,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,西藏,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,陕西省,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,甘肃省,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,青海省,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,固定资产投资额,宁夏,2022-2023,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,固定资产投资额,新疆,2020-2023,MISSING_RUN_ENDPOINT,length=4
DATA_QUALITY,总人口数,北京市,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,天津市,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,河北省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,山西省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,内蒙古,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,辽宁省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,吉林省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,黑龙江,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,上海市,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,江苏省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,浙江省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,安徽省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,福建省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,江西省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,山东省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,河南省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,湖北省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,湖南省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,广东省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,广西,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,海南省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,重庆市,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,四川省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,贵州省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,云南省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,西藏,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,陕西省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,甘肃省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,青海省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,宁夏,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,总人口数,新疆,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,常住人口,河北省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,常住人口,吉林省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,常住人口,黑龙江,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,就业人数,北京市,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,天津市,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,河北省,2021-2023,MISSING_RUN_ENDPOINT,length=3
