province_index,province_name,year,track_a_capital_100m_yuan,track_b_capital_100m_yuan,track_a_minus_track_b_100m_yuan,track_a_to_track_b_ratio,track_b_relative_difference_from_track_a,track_a_k_to_y,track_b_k_to_y,track_a_k_per_person_model_units,track_b_k_per_person_model_units,initial_stock_assumption,track_a_timing,track_b_timing
1,北京,2018,58719.04306699477,68799.8,-10080.756933005236,0.853476944220692,0.17167781364392673,1.7736677057631476,2.0781670996194044,2678788.4610855277,3138677.00729927,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
2,天津,2018,64593.598723097224,86263.6,-21670.00127690278,0.7487932189602244,0.33548217943079356,4.8338009506242825,6.455455028474359,4670542.207020769,6237425.885755604,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
3,河北,2018,113705.22918254792,148129.39999999997,-34424.170817452046,0.76760743770344,0.30274923207081184,3.4992038425630083,4.5585851187581925,1531177.3388438988,1994740.1023431185,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
4,山西,2018,53478.72738884524,68555.49999999999,-15076.772611154745,0.7800793136778997,0.2819209309438337,3.3511964073946925,4.2959688183430345,1527091.0162434392,1957609.9371787547,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
5,内蒙古,2018,82165.50299427319,112773.3,-30607.79700572681,0.7285900385487806,0.3725139613380098,5.090547122464388,6.986846996431404,3392465.0286652846,4656205.615194054,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
6,辽宁,2018,90061.05278222082,126185.70000000001,-36124.64721777919,0.7137183752376126,0.4011128684575031,3.8306736471883127,5.367206141936582,2098836.000517847,2940706.1291074343,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
7,吉林,2018,66308.9177271201,89982.59999999999,-23673.682272879887,0.7369082214463698,0.35702109285366057,5.892135787655735,7.9957525458067495,2669441.132331727,3622487.9227053137,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
8,黑龙江,2018,58424.87989838116,78088.49999999999,-19663.620101618828,0.7481880161404197,0.3365624394234085,4.547921994191504,6.07858171486397,1756082.9545651083,2347114.517583408,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
9,上海,2018,66125.29430800852,83438.29999999999,-17313.005691991464,0.7925052920302611,0.26182122700805377,1.836211861334577,2.316971103915938,2671729.062949839,3371244.444444444,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
10,江苏,2018,203535.21725929243,251827.40000000005,-48292.18274070762,0.8082330090343323,0.23726696240084139,2.1836761944229055,2.7017904119406575,2409841.5493641063,2981617.3336490653,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
11,浙江,2018,124249.65620818298,156074.1,-31824.44379181703,0.7960940105256604,0.25613305310474654,2.142132038594395,2.690802857793072,1980705.5030795948,2488029.6508847442,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
