province_index,province_name,source_province_name,year,gdp_raw_100m_yuan,population_raw_10k_persons,investment_raw_100m_yuan,depreciation_raw_100m_yuan,gdp_model_units_x1000,population_model_units_x100,investment_capital_units_x1e7,depreciation_capital_units_x1e7,track_a_capital_100m_yuan,track_a_capital_model_units_x1e7,track_b_capital_100m_yuan,track_b_capital_model_units_x1e7,data_quality_flag
1,北京,北京市,2000,3277.8,1364.0,1400.4,496.4,3277800.0,136400.0,14004000000.0,4964000000.0,14004.0,140040000000.0,14004.0,140040000000.0,OK
1,北京,北京市,2001,3861.5,1385.0,1602.1,607.6,3861500.0,138500.0,16021000000.0,6076000000.0,14060.016,140600160000.0,14908.0,149080000000.0,OK
1,北京,北京市,2002,4525.7,1423.0,1951.9,748.2,4525700.0,142300.0,19519000000.0,7482000000.0,14312.354464,143123544640.0,15902.499999999998,159024999999.99997,OK
1,北京,北京市,2003,5267.2,1456.0,2437.9,875.8,5267200.0,145600.0,24379000000.0,8758000000.0,14890.268435456,148902684354.56,17106.199999999997,171061999999.99997,OK
1,北京,北京市,2004,6252.5,1493.0,2844.3,1047.9,6252500.0,149300.0,28443000000.0,10479000000.0,15898.702665652225,158987026656.52225,18668.3,186683000000.0,OK
1,北京,北京市,2005,7149.8,1538.0,3204.7,1206.6,7149800.0,153800.0,32047000000.0,12066000000.0,17216.727209749613,172167272097.49612,20464.699999999997,204646999999.99997,OK
1,北京,北京市,2006,8387.0,1601.0,3551.2,1405.7,8387000.0,160100.0,35512000000.0,14057000000.0,18768.62139761365,187686213976.1365,22462.8,224628000000.0,OK
1,北京,北京市,2007,10425.5,1676.0,4022.6,1730.6,10425500.0,167600.0,40226000000.0,17306000000.0,20518.033743442742,205180337434.42743,24608.3,246083000000.0,OK
1,北京,北京市,2008,11813.1,1771.0,3989.5,1935.7,11813100.0,177100.0,39895000000.0,19357000000.0,22570.902504072237,225709025040.72238,26900.3,269003000000.0,OK
1,北京,北京市,2009,12900.9,1860.0,4435.0,2036.4,12900900.0,186000.0,44350000000.0,20364000000.0,24393.595863681305,243935958636.81305,28954.1,289541000000.0,OK
1,北京,北京市,2010,14964.0,1962.0,5342.4,2325.7,14964000.0,196200.0,53424000000.0,23257000000.0,26486.8106607679,264868106607.67902,31352.699999999997,313527000000.0,OK
1,北京,北京市,2011,17188.8,2024.0,5953.9,2596.5,17188800.0,202400.0,59539000000.0,25965000000.0,29286.47683733418,292864768373.3418,34369.4,343694000000.0,OK
1,北京,北京市,2012,19024.7,2078.0,7032.8,2794.4,19024700.0,207800.0,70328000000.0,27944000000.0,32428.8750609501,324288750609.501,37726.8,377268000000.0,OK
1,北京,北京市,2013,21134.6,2125.0,7595.4,2972.1,21134600.0,212500.0,75954000000.0,29721000000.0,36348.503055098896,363485030550.98895,41965.200000000004,419652000000.00006,OK
1,北京,北京市,2014,22926.0,2171.0,7957.2,3099.8,22926000.0,217100.0,79572000000.0,30998000000.0,40454.446761809406,404544467618.09406,46588.50000000001,465885000000.00006,OK
1,北京,北京市,2015,24779.1,2188.0,8155.4,3454.9,24779100.0,218800.0,81554000000.0,34549000000.0,44528.0198726757,445280198726.757,51445.9,514459000000.0,OK
1,北京,北京市,2016,27041.2,2195.0,9716.1,3526.5,27041200.0,219500.0,97161000000.0,35265000000.0,48408.729964898834,484087299648.98834,56146.4,561464000000.0,OK
1,北京,北京市,2017,29883.0,2194.0,10375.3,3911.5,29883000.0,219400.0,103753000000.0,39115000000.0,53477.591888268544,534775918882.6854,62336.0,623360000000.0,OK
1,北京,北京市,2018,33106.0,2192.0,,,33106000.0,219200.0,,,58719.04306699477,587190430669.9476,68799.8,687998000000.0,MISSING_INV;MISSING_DEP
2,天津,天津市,2000,1591.7,1001.0,695.1,250.1,1591700.0,100100.0,6951000000.0,2501000000.0,6951.0,69510000000.0,6951.0,69510000000.0,OK
2,天津,天津市,2001,1756.9,1004.0,805.3,286.2,1756900.0,100400.0,8053000000.0,2862000000.0,6978.804000000001,69788040000.00002,7396.0,73960000000.0,OK
2,天津,天津市,2002,1926.9,1007.0,926.7,326.6,1926900.0,100700.0,9267000000.0,3266000000.0,7114.1388160000015,71141388160.00002,7915.099999999999,79151000000.0,OK
2,天津,天津市,2003,2257.8,1011.0,1180.5,393.9,2257800.0,101100.0,11805000000.0,3939000000.0,7357.8814896640015,73578814896.64001,8515.199999999999,85151999999.99998,OK
2,天津,天津市,2004,2621.1,1024.0,1446.5,467.6,2621100.0,102400.0,14465000000.0,4676000000.0,7832.0248666562575,78320248666.56258,9301.8,93018000000.0,OK
2,天津,天津市,2005,3158.6,1043.0,1739.4,502.1,3158600.0,104300.0,17394000000.0,5021000000.0,8526.650479457257,85266504794.57257,10280.699999999999,102806999999.99998,OK
2,天津,天津市,2006,3538.2,1075.0,2087.2,550.5,3538200.0,107500.0,20872000000.0,5505000000.0,9447.49203342936,94474920334.2936,11517.999999999998,115179999999.99998,OK
2,天津,天津市,2007,4158.4,1115.0,2615.1,680.8,4158399.9999999995,111500.0,26151000000.0,6808000000.0,10627.732798220142,106277327982.20142,13054.699999999997,130546999999.99997,OK
