province_index,province_name,source_province_name,legacy_matlab_level_year,corrected_year,legacy_matlab_gdp_100m_yuan,corrected_raw_nbs_gdp_2018_100m_yuan,gdp_relative_difference_vs_legacy,legacy_matlab_population_10k_persons,corrected_raw_nbs_population_2018_10k_persons,population_relative_difference_vs_legacy,raw_nbs_investment_2018_100m_yuan,raw_nbs_depreciation_2018_100m_yuan,legacy_matlab_capital_100m_yuan,corrected_track_a_capital_2018_100m_yuan,capital_relative_difference_vs_legacy,corrected_track_b_capital_2018_100m_yuan,track_a_to_track_b_ratio,legacy_alpha,new_alpha,legacy_matlab_zt,corrected_track_a_zt_2018,zt_relative_difference_vs_legacy,corrected_track_b_zt_2018,track_a_k_to_y,track_a_k_to_n_model_units,y_to_n_model_units,canonical_2018_gdp_100m_yuan,raw_gdp_relative_difference_vs_canonical,canonical_2018_population_10k_persons,raw_population_relative_difference_vs_canonical,canonical_2018_pim_capital_100m_yuan,track_a_capital_relative_difference_vs_canonical,data_quality_provenance_flag
1,北京,北京市,2009,2018,11865.9,33106.0,1.790011714239965,1860.0,2192.0,0.17849462365591398,,,22559.982999422267,58719.04306699477,1.6027964235832308,68799.8,0.853476944220692,0.772866243094144,0.7380939146868483,0.0016341152925786636,0.0027204699271949568,0.6647968105738769,0.002420232068043634,1.7736677057631476,2678788.4610855277,151.0310218978102,30319.98,0.0918872637778785,2192.0,0.0,53731.798306537494,0.09281738035278973,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
2,天津,天津市,2009,2018,5709.57,13362.9,1.3404389472412108,1228.0,1383.0,0.1262214983713355,,,13015.125620434272,64593.598723097224,3.962963908829483,86263.6,0.7487932189602244,0.772866243094144,0.7380939146868483,0.0006331796953290661,0.0011546732867269843,0.8236107304844887,0.0009326665552672559,4.8338009506242825,4670542.207020769,96.62255965292842,13362.92,-1.4966788696210527e-06,1383.0,0.0,67905.1452789948,-0.048767240572003254,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
3,河北,河北省,2009,2018,15306.9,32494.6,1.12287269140061,7034.0,7426.0,0.05572931475689508,,,35684.41289231887,113705.22918254792,2.186411656138615,148129.39999999997,0.76760743770344,0.772866243094144,0.7380939146868483,0.00020325561576148244,0.0011910406162748326,4.859816526164284,0.000979824952763295,3.4992038425630083,1531177.3388438988,43.75787772690547,32494.6,0.0,7556.0,-0.017204870301746954,169256.67396659174,-0.3282082973874855,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_POP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
4,山西,山西省,2009,2018,7147.61,15958.1,1.2326483957574632,3427.0,3502.0,0.021885030639042895,,,14498.682754546153,53478.72738884524,2.688523177878118,68555.49999999999,0.7800793136778997,0.772866243094144,0.7380939146868483,0.0006904139506587265,0.0012427734657004415,0.8000410688612343,0.001034618520174034,3.3511964073946925,1527091.0162434392,45.56853226727584,15958.13,-1.8799195143062406e-06,3502.0,0.0,66351.10998379442,-0.19400402793703267,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
5,内蒙古,内蒙古自治区,2009,2018,7104.22,16140.8,1.272001711658704,2458.0,2422.0,-0.014646053702196907,,,15902.596764207525,82165.50299427319,4.166797864057377,112773.3,0.7285900385487806,0.772866243094144,0.7380939146868483,0.0006509396292199082,0.0010083638229244918,0.549089620081856,0.0007982096324942606,5.090547122464388,3392465.0286652846,66.64244426094137,16140.76,2.4781980525733684e-06,2422.0,0.0,89280.23296694607,-0.07968986791630511,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
6,辽宁,辽宁省,2009,2018,12815.7,23510.5,0.8345076741808874,4341.0,4291.0,-0.01151808339092375,,,31964.205287146844,90061.05278222082,1.8175595786964662,126185.70000000001,0.7137183752376126,0.772866243094144,0.7380939146868483,0.0002864698302222306,0.00118165170961361,3.1248731452695626,0.0009212522631170993,3.8306736471883127,2098836.000517847,54.79025868096015,23510.5,0.0,4291.0,0.0,110526.47546941695,-0.1851630806128345,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
7,吉林,吉林省,2009,2018,5434.84,11253.8,1.0706773336473565,2740.0,2484.0,-0.09343065693430656,,,16943.247903448653,66308.9177271201,2.9135895375539826,89982.59999999999,0.7369082214463698,0.772866243094144,0.7380939146868483,0.00047331941528535383,0.0008181743292076612,0.7285881431979754,0.0006531072244518402,5.892135787655735,2669441.132331727,45.30515297906602,11253.81,-8.88587953787942e-07,2484.0,0.0,74071.29659196627,-0.1047960441087792,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
8,黑龙江,黑龙江省,2009,2018,7218.9,12846.5,0.7795647536328251,3826.0,3327.0,-0.13042341871406168,,,15833.49120515163,58424.87989838116,2.6899556226343737,78088.49999999999,0.7481880161404197,0.772866243094144,0.7380939146868483,0.0005703841154289705,0.0009498856692930893,0.6653438333897254,0.0007667952875899424,4.547921994191504,1756082.9545651083,38.61286444244064,12846.5,0.0,3327.0,0.0,65491.12640623205,-0.10789624328676191,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
9,上海,上海市,2009,2018,15742.44,36011.8,1.2875615215938572,2210.28,2475.0,0.11976763125033922,,,28775.375533163773,66125.29430800852,1.2979819753107573,83438.29999999999,0.7925052920302611,0.772866243094144,0.7380939146868483,0.0015030642394494576,0.0026259911250704495,0.7470917450822312,0.0022118077271202573,1.836211861334577,2671729.062949839,145.50222222222223,36011.82,-5.553732079300235e-07,2475.39,-0.00015755093136833901,49277.38369834863,0.3418994545813213,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;RAW_POP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
10,江苏,江苏省,2009,2018,34061.2,93207.6,1.7364743461768821,7810.0,8446.0,0.08143405889884762,,,63173.647715529645,203535.21725929243,2.2218373423014866,251827.40000000005,0.8082330090343323,0.772866243094144,0.7380939146868483,0.0001820044285805966,0.0021492819022821924,10.808953875704352,0.0018367358244301718,2.1836761944229055,2409841.5493641063,110.35709211461047,92595.4,0.006611559537514949,8446.0,0.0,269038.6204893733,-0.24347211976827748,RAW_2018_INVESTMENT_UNAVAILABLE;RAW_2018_DEPRECIATION_UNAVAILABLE;RAW_GDP_DIFFERS_FROM_CANONICAL;TRACK_A_RAW_GFCF_DIFFERS_FROM_CANONICAL_INVESTMENT_ROUTE
