scope,province_index,province_name,year,field,severity,flag,treatment
GLOBAL,,,2018,investment,MATERIAL,RAW_2018_OBSERVATION_UNAVAILABLE,left blank; no fill; K_2018 uses observed I_2017 under frozen timing
GLOBAL,,,2018,depreciation,MATERIAL,RAW_2018_OBSERVATION_UNAVAILABLE,left blank; no fill; Track-B K_2018 uses observed D_2017
GLOBAL,,,2000-2018,capital,INTERPRETIVE,RAW_GFCF_ROUTE_DIFFERS_FROM_ACCEPTED_CANONICAL_INVESTMENT_ROUTE,preserve both; do not promote rebuilt track to model production authority
GLOBAL,,,2000-2018,Track B,INTERPRETIVE,DIAGNOSTIC_INITIAL_STOCK_ASSUMPTION,K_2000=I_2000/0.1; accounting identity uses lagged observed I and D
PROVINCE,1,北京,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,2,天津,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,3,河北,2018,population,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,4,山西,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,5,内蒙古,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,7,吉林,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,9,上海,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,9,上海,2018,population,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,10,江苏,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,11,浙江,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,13,福建,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,13,福建,2018,population,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,14,江西,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,15,山东,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,17,湖北,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,18,湖南,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,19,广东,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,19,广东,2018,population,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,20,广西,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,21,海南,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,22,重庆,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,22,重庆,2018,population,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,23,四川,2018,population,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,24,贵州,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,25,云南,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,26,西藏,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,27,陕西,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,28,甘肃,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,30,宁夏,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
PROVINCE,31,新疆,2018,GDP,RECONCILIATION,RAW_NBS_DIFFERS_FROM_CANONICAL,both values retained in ledger
