turn,province_index,province,capital_unit,Ktarget_MU,Kprivate_current_MU,historical_C0_GovInv_MU,historical_C0_firm_K_total_MU,historical_C0_total_K_over_target,historical_C0_GovInv_over_target,C1_GovInv_residual_MU,C1_firm_K_accounting_MU,c1_firm_K_accounting_over_target,C1_GovInv_over_target,C1_minus_C0_GovInv_MU,capital_gap_before_C1_MU,capital_gap_after_C1_MU,c1_exact_target,private_at_or_above_target,residual_floor_binding,c1_status,historical_C0_overshoot_MU,C1_mechanically_removed_overshoot_MU,remaining_private_only_overshoot_MU,counterfactual_scope
1,0,北京,MU_10WAN_YUAN,58719043.066994764,213805.18523752742,58505237.88175724,58719043.066994764,1.0,0.9963588441829069,58505237.88175724,58719043.066994764,1.0,0.9963588441829069,0.0,58505237.88175724,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,1,天津,MU_10WAN_YUAN,64593598.72309723,211034.53168273813,64382564.19141449,64593598.72309723,1.0,0.9967328878425336,64382564.19141449,64593598.72309723,1.0,0.9967328878425336,0.0,64382564.19141449,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,2,河北,MU_10WAN_YUAN,113705229.18254791,213287.10621640403,113491942.07633151,113705229.18254791,1.0,0.9981242102254244,113491942.07633151,113705229.18254791,1.0,0.9981242102254244,0.0,113491942.07633151,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,3,山西,MU_10WAN_YUAN,53478727.38884524,217445.6554917545,53261281.73335349,53478727.38884524,1.0,0.9959339784974556,53261281.73335349,53478727.38884524,1.0,0.9959339784974556,0.0,53261281.73335349,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,4,内蒙古,MU_10WAN_YUAN,82165502.99427319,209594.86340788676,81955908.1308653,82165502.99427319,1.0,0.9974491136088769,81955908.1308653,82165502.99427319,1.0,0.9974491136088769,0.0,81955908.1308653,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,5,辽宁,MU_10WAN_YUAN,90061052.78222083,211735.20840679316,89849317.57381403,90061052.78222083,1.0,0.9976489814202062,89849317.57381403,90061052.78222083,1.0,0.9976489814202062,0.0,89849317.57381403,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,6,吉林,MU_10WAN_YUAN,66308917.7271201,212851.0285043764,66096066.69861572,66308917.7271201,1.0,0.9967900090093413,66096066.69861572,66308917.7271201,1.0,0.9967900090093413,0.0,66096066.69861572,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,7,黑龙江,MU_10WAN_YUAN,58424879.89838116,216092.14282312893,58208787.75555803,58424879.89838116,1.0,0.9963013677871657,58208787.75555803,58424879.89838116,1.0,0.9963013677871657,0.0,58208787.75555803,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,8,上海,MU_10WAN_YUAN,66125294.30800852,212894.61965239004,65912399.68835613,66125294.30800852,1.0,0.9967804359605458,65912399.68835613,66125294.30800852,1.0,0.9967804359605458,0.0,65912399.68835613,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,9,江苏,MU_10WAN_YUAN,203535217.25929242,197491.38772618957,203337725.87156624,203535217.25929242,1.0,0.9990296942692006,203337725.87156624,203535217.25929242,1.0,0.9990296942692006,0.0,203337725.87156624,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,10,浙江,MU_10WAN_YUAN,124249656.20818298,208902.70510419522,124040753.50307877,124249656.20818298,1.0,0.9983186858500905,124040753.50307877,124249656.20818298,1.0,0.9983186858500905,0.0,124040753.50307877,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,11,安徽,MU_10WAN_YUAN,70182433.35888097,218901.27196706057,69963532.08691391,70182433.35888097,1.0,0.996880967765143,69963532.08691391,70182433.35888097,1.0,0.996880967765143,0.0,69963532.08691391,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,12,福建,MU_10WAN_YUAN,87795538.11850408,211824.9156194794,87583713.2028846,87795538.11850408,1.0,0.9975872929290147,87583713.2028846,87795538.11850408,1.0,0.9975872929290147,0.0,87583713.2028846,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,13,江西,MU_10WAN_YUAN,51050047.92908307,219936.6559413823,50830111.27314169,51050047.92908307,1.0,0.9956917443790276,50830111.27314169,51050047.92908307,1.0,0.9956917443790276,0.0,50830111.27314169,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,14,山东,MU_10WAN_YUAN,210016973.07581103,199444.81695050414,209817528.25886053,210016973.07581103,1.0,0.9990503395319458,209817528.25886053,210016973.07581103,1.0,0.9990503395319458,0.0,209817528.25886053,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,15,河南,MU_10WAN_YUAN,168320556.01470312,204370.7066231856,168116185.30807993,168320556.01470312,1.0,0.9987858244324873,168116185.30807993,168320556.01470312,1.0,0.9987858244324873,0.0,168116185.30807993,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
1,16,湖北,MU_10WAN_YUAN,101805153.6623069,210492.1500976498,101594661.51220925,101805153.6623069,1.0,0.9979324018232332,101594661.51220925,101805153.6623069,1.0,0.9979324018232332,0.0,101594661.51220925,0.0,True,False,False,RESIDUAL_PUBLIC_ASSET_POSITIVE,0.0,0.0,0.0,STATIC_ACCOUNTING_ONLY__NOT_DYNAMIC_TRAJECTORY
