turn,province_index,province,Yt_MU,Kt_MU,Y_over_K,K_over_Y,mt_recovered,mt_recovery_method,mt_independent_nkpc_reconstruction,mt_minus_mstar,mstar,alpha,rk_saved,rk_reconstructed,delta_offset,delta,theta,pit,price_adjustment_cost_over_Y,profit_pre_floor_over_Y,profit_floor_binding,profit_over_Y,profit_over_K,corptau,after_tax_profit_over_K,rk_share_of_positive_components,profit_share_of_positive_components,ra0_without_profit,ra0_at_mstar,ra0_saved,ra0_reconstructed,ra0_reconstruction_error,ra_used,ramin,ramax,ra0_minus_ramax,clip_amount,raw_ra_classification,firm_wage_raw,firm_wage_used,household_composite_wage,firm_labor_supply,population_proxy_NU
1,0,北京,76507107.36021039,58719043.066994764,1.3029351870213646,0.767497884745976,1.028950953530941,SAVED_RK_TIMES_K_OVER_ALPHA_Y_IDENTITY,MISSING_OBJECT__LAGGED_KT_PRIOR_RK_AND_COMPLETE_PIT_LAGS_NOT_SAVED,0.12895095353094088,0.9,0.7380939146868483,0.9895303327953562,0.9895303327953561,-0.025,0.025,100.0,0.02,0.02,-0.04895095353094091,True,0.0,0.0,0.25,0.0,1.0,0.0,0.9645303327953562,0.9186957907159377,0.9645303327953562,0.964530332795356,-1.1102230246251565e-16,0.09,0.02,0.09,0.8745303327953562,0.8745303327953562,UPPER,3.840367512162725,1.3,18.319859030118984,5368701.505097189,219200.0
1,1,天津,34951945.34637973,64593598.72309723,0.5411054042090658,1.8480687722232245,0.9804769641291595,SAVED_RK_TIMES_K_OVER_ALPHA_Y_IDENTITY,MISSING_OBJECT__LAGGED_KT_PRIOR_RK_AND_COMPLETE_PIT_LAGS_NOT_SAVED,0.0804769641291595,0.9,0.7380939146868483,0.39158936701461433,0.3915893670146142,-0.025,0.025,100.0,0.02,0.02,-0.0004769641291595232,True,0.0,0.0,0.25,0.0,1.0,0.0,0.3665893670146143,0.3669142696983348,0.3665893670146143,0.3665893670146142,-1.1102230246251565e-16,0.09,0.02,0.09,0.27658936701461434,0.27658936701461434,UPPER,1.6515039218037126,1.3,18.198003011640164,5434689.380967647,138300.0
1,2,河北,55106848.23392273,113705229.18254791,0.48464656049768395,2.063359325140158,0.9911926909659918,SAVED_RK_TIMES_K_OVER_ALPHA_Y_IDENTITY,MISSING_OBJECT__LAGGED_KT_PRIOR_RK_AND_COMPLETE_PIT_LAGS_NOT_SAVED,0.09119269096599181,0.9,0.7380939146868483,0.3545641733702322,0.35456417337023216,-0.025,0.025,100.0,0.02,0.02,-0.01119269096599183,True,0.0,0.0,0.25,0.0,1.0,0.0,0.3295641733702322,0.3260220029993878,0.3295641733702322,0.32956417337023214,-5.551115123125783e-17,0.09,0.02,0.09,0.2395641733702322,0.2395641733702322,UPPER,2.563830397533021,1.3,18.121763089356133,5579817.062945651,742600.0
1,3,山西,32939238.74260855,53478727.38884524,0.6159316115192209,1.6235568710842074,0.9929068213580279,SAVED_RK_TIMES_K_OVER_ALPHA_Y_IDENTITY,MISSING_OBJECT__LAGGED_KT_PRIOR_RK_AND_COMPLETE_PIT_LAGS_NOT_SAVED,0.09290682135802786,0.9,0.7380939146868483,0.4513907062621223,0.4513907062621223,-0.025,0.025,100.0,0.02,0.02,-0.01290682135802788,True,0.0,0.0,0.25,0.0,1.0,0.0,0.4263907062621223,0.42110973358419396,0.4263907062621223,0.4263907062621223,0.0,0.09,0.02,0.09,0.3363907062621223,0.3363907062621223,UPPER,1.5372770273999365,1.3,18.203099062044032,5572056.408280555,350200.0
1,4,内蒙古,36483694.475884706,82165502.99427319,0.4440269108853087,2.252115751286746,0.9790599304042087,SAVED_RK_TIMES_K_OVER_ALPHA_Y_IDENTITY,MISSING_OBJECT__LAGGED_KT_PRIOR_RK_AND_COMPLETE_PIT_LAGS_NOT_SAVED,0.07905993040420867,0.9,0.7380939146868483,0.32087079730790763,0.32087079730790763,-0.025,0.025,100.0,0.02,0.02,0.0009400695957913104,False,0.0009400695957913104,0.00041741619863641633,0.25,0.0003130621489773123,0.9990252867952123,0.0009747132047877303,0.2958707973079076,0.29660181944659975,0.2961838594568849,0.2961838594568849,0.0,0.09,0.02,0.09,0.20618385945688492,0.20618385945688492,UPPER,1.716273839247276,1.3,17.638053822269907,5450885.927139339,242200.0
1,5,辽宁,45723902.35070031,90061052.78222083,0.507698954633215,1.9696711818570631,0.9878343169730804,SAVED_RK_TIMES_K_OVER_ALPHA_Y_IDENTITY,MISSING_OBJECT__LAGGED_KT_PRIOR_RK_AND_COMPLETE_PIT_LAGS_NOT_SAVED,0.08783431697308042,0.9,0.7380939146868483,0.37017066848144653,0.37017066848144653,-0.025,0.025,100.0,0.02,0.02,-0.00783431697308044,True,0.0,0.0,0.25,0.0,1.0,0.0,0.3451706684814465,0.34271849529487813,0.3451706684814465,0.3451706684814465,0.0,0.09,0.02,0.09,0.25517066848144654,0.25517066848144654,UPPER,2.1747946124035207,1.3,16.72579387534917,5439446.864518635,429100.0
1,6,吉林,25231324.502237026,66308917.7271201,0.3805117828354708,2.6280395118076783,0.975430455321494,SAVED_RK_TIMES_K_OVER_ALPHA_Y_IDENTITY,MISSING_OBJECT__LAGGED_KT_PRIOR_RK_AND_COMPLETE_PIT_LAGS_NOT_SAVED,0.07543045532149395,0.9,0.7380939146868483,0.2739529904471632,0.2739529904471632,-0.025,0.025,100.0,0.02,0.02,0.0045695446785060274,False,0.0045695446785060274,0.0017387655923646668,0.25,0.0013040741942735002,0.9952623406924279,0.004737659307572182,0.2489529904471632,0.2505987952098824,0.2502570646414367,0.2502570646414367,0.0,0.09,0.02,0.09,0.16025706464143671,0.16025706464143671,UPPER,1.1893962923482995,1.1893962923482995,15.98491210464971,5419451.9390971605,248400.0
1,7,黑龙江,26597603.115215115,58424879.89838116,0.45524446368527466,2.196621990534151,0.9822430418844241,SAVED_RK_TIMES_K_OVER_ALPHA_Y_IDENTITY,MISSING_OBJECT__LAGGED_KT_PRIOR_RK_AND_COMPLETE_PIT_LAGS_NOT_SAVED,0.0822430418844241,0.9,0.7380939146868483,0.3300465965844664,0.3300465965844664,-0.025,0.025,100.0,0.02,0.02,-0.002243041884424129,True,0.0,0.0,0.25,0.0,1.0,0.0,0.30504659658446637,0.30472651932799766,0.30504659658446637,0.30504659658446637,0.0,0.09,0.02,0.09,0.21504659658446637,0.21504659658446637,UPPER,1.2775992877170088,1.2775992877170088,14.782111996765861,5355652.504028498,332700.0
1,8,上海,80681214.33806762,66125294.30800852,1.2201263553135704,0.8195872465544781,1.026342872181298,SAVED_RK_TIMES_K_OVER_ALPHA_Y_IDENTITY,MISSING_OBJECT__LAGGED_KT_PRIOR_RK_AND_COMPLETE_PIT_LAGS_NOT_SAVED,0.12634287218129792,0.9,0.7380939146868483,0.9242913814531691,0.9242913814531691,-0.025,0.025,100.0,0.02,0.02,-0.04634287218129794,True,0.0,0.0,0.25,0.0,1.0,0.0,0.8992913814531691,0.8587186355242048,0.8992913814531691,0.8992913814531691,0.0,0.09,0.02,0.09,0.8092913814531691,0.8092913814531691,UPPER,4.027426113595344,1.3,18.0332764190634,5384965.240367837,247500.0
1,9,江苏,151833361.0954473,203535217.25929242,0.7459807847504845,1.3405171023734612,1.014574167975985,SAVED_RK_TIMES_K_OVER_ALPHA_Y_IDENTITY,MISSING_OBJECT__LAGGED_KT_PRIOR_RK_AND_COMPLETE_PIT_LAGS_NOT_SAVED,0.11457416797598496,0.9,0.7380939146868483,0.5586284710994465,0.5586284710994465,-0.025,0.025,100.0,0.02,0.02,-0.03457416797598499,True,0.0,0.0,0.25,0.0,1.0,0.0,0.5336284710994464,0.5153023370129161,0.5336284710994464,0.5336284710994464,0.0,0.09,0.02,0.09,0.4436284710994465,0.4436284710994465,UPPER,7.413379714079513,1.3,18.287049574345293,5442273.339288691,844600.0
1,10,浙江,102212874.72700542,124249656.20818298,0.8226411069962685,1.2155969249474134,1.0157803279623066,SAVED_RK_TIMES_K_OVER_ALPHA_Y_IDENTITY,MISSING_OBJECT__LAGGED_KT_PRIOR_RK_AND_COMPLETE_PIT_LAGS_NOT_SAVED,0.11578032796230653,0.9,0.7380939146868483,0.6167679954932621,0.616767995493262,-0.025,0.025,100.0,0.02,0.02,-0.035780327962306555,True,0.0,0.0,0.25,0.0,1.0,0.0,0.5917679954932621,0.5708262219604545,0.5917679954932621,0.591767995493262,-1.1102230246251565e-16,0.09,0.02,0.09,0.5017679954932621,0.5017679954932621,UPPER,4.983006406746065,1.3,18.00489758044457,5457070.248817265,627300.0
1,11,安徽,60743920.48458507,70182433.35888097,0.8655145964228449,1.155382016817487,1.0181953419002816,SAVED_RK_TIMES_K_OVER_ALPHA_Y_IDENTITY,MISSING_OBJECT__LAGGED_KT_PRIOR_RK_AND_COMPLETE_PIT_LAGS_NOT_SAVED,0.11819534190028158,0.9,0.7380939146868483,0.6504548061853807,0.6504548061853805,-0.025,0.025,100.0,0.02,0.02,-0.03819534190028161,True,0.0,0.0,0.25,0.0,1.0,0.0,0.6254548061853806,0.6018788268084814,0.6254548061853806,0.6254548061853805,-1.1102230246251565e-16,0.09,0.02,0.09,0.5354548061853807,0.5354548061853807,UPPER,2.911555340888314,1.3,18.29792118969518,5563581.62615384,607600.0
