ra0_desc_rank,Y_over_K_desc_rank,profit_over_K_desc_rank,province_index,province,Y_over_K,K_over_Y,mt_recovered,mt_minus_mstar,alpha,rk_saved,delta,profit_over_K,after_tax_profit_over_K,rk_share_of_positive_components,profit_share_of_positive_components,ra0_without_profit,ra0_at_mstar,ra0_saved,ra_used,ramax,ra0_minus_ramax,clip_amount,raw_ra_classification
1,1,4,0,北京,0.5626487280968079,1.777307847797965,1.038648805373765,0.138648805373765,0.7380939146868483,0.4313379720305416,0.025,0.0,0.0,1.0,0.0,0.40633797203054156,0.38251776576890256,0.40633797203054156,0.09,0.09,0.3163379720305416,0.3163379720305416,UPPER
2,2,11,8,上海,0.5434741708972733,1.8400138471143983,1.0354524502025324,0.13545245020253238,0.7380939146868483,0.4153561961724519,0.025,0.0,0.0,1.0,0.0,0.3903561961724519,0.3686299307497183,0.3903561961724519,0.09,0.09,0.3003561961724519,0.3003561961724519,UPPER
3,3,21,18,广东,0.5214115144890099,1.9178709564555994,1.0317989103574245,0.13179891035742453,0.7380939146868483,0.3970884977176862,0.025,0.0,0.0,1.0,0.0,0.37208849771768615,0.35265029017213306,0.37208849771768615,0.09,0.09,0.2820884977176862,0.2820884977176862,UPPER
4,4,14,11,安徽,0.4835845604210355,2.067890668654402,1.0255944661392893,0.12559446613928926,0.7380939146868483,0.3660662751026844,0.025,0.0,0.0,1.0,0.0,0.3410662751026844,0.3252528127802148,0.3410662751026844,0.09,0.09,0.2510662751026844,0.2510662751026844,UPPER
5,5,13,10,浙江,0.465823215647099,2.1467371449292165,1.0227068894771874,0.12270688947718733,0.7380939146868483,0.3516283926117637,0.025,0.0,0.0,1.0,0.0,0.3266283926117637,0.3123885456489108,0.3266283926117637,0.09,0.09,0.2366283926117637,0.2366283926117637,UPPER
6,6,12,9,江苏,0.45694413650694554,2.188451322834296,1.0212694476843467,0.12126944768434667,0.7380939146868483,0.3444411839214073,0.025,0.0,0.0,1.0,0.0,0.3194411839214073,0.3059575660472684,0.3194411839214073,0.09,0.09,0.2294411839214073,0.2294411839214073,UPPER
7,7,25,22,四川,0.4514407538102829,2.2151300952776807,1.0203805270633584,0.12038052706335833,0.7380939146868483,0.3399965804699219,0.025,0.0,0.0,1.0,0.0,0.3149965804699219,0.30197155113472907,0.3149965804699219,0.09,0.09,0.2249965804699219,0.2249965804699219,UPPER
8,8,16,13,江西,0.44601167651420204,2.242093767175527,1.0195051232401258,0.11950512324012574,0.7380939146868483,0.3356195617115293,0.025,0.0,0.0,1.0,0.0,0.31061956171152927,0.2980393544738225,0.31061956171152927,0.09,0.09,0.22061956171152927,0.22061956171152927,UPPER
9,9,15,12,福建,0.4397318599791729,2.274113138055003,1.018494415027365,0.11849441502736491,0.7380939146868483,0.33056602035076815,0.025,0.0,0.0,1.0,0.0,0.30556602035076813,0.2934909805488514,0.30556602035076813,0.09,0.09,0.21556602035076813,0.21556602035076813,UPPER
10,10,24,21,重庆,0.4264160778201421,2.3451273345790438,1.0163579152686983,0.11635791526869832,0.7380939146868483,0.3198835224605382,0.025,0.0,0.0,1.0,0.0,0.29488352246053817,0.2838465656165209,0.29488352246053817,0.09,0.09,0.20488352246053818,0.20488352246053818,UPPER
