turn,route,total_K_ratio_min,total_K_ratio_median,total_K_ratio_max,GovInv_ratio_min,GovInv_ratio_median,GovInv_ratio_max,private_K_ratio_min,private_K_ratio_median,private_K_ratio_max,ra_lower,ra_interior,ra_upper,rah_min,rah_median,rah_max,max_KN_gap,max_GDP_level_gap,HJB_converged_count,Zt_adjustment_count
1,G0_C0,1.0009496604680541,1.0032099909906587,1.034865162027094,1.0,1.0,1.0,0.0009496604680542149,0.003209990990658578,0.03486516202709419,0,0,31,0.06490365475420734,0.08488059053640952,0.09,11.691775484309217,2.8108779831004473,20,0
1,G1_C0,1.0,1.0,1.0,0.9651348379729058,0.9967900090093413,0.9990503395319458,0.0009496604680542149,0.003209990990658578,0.03486516202709419,0,0,31,0.06490365475420734,0.08488059053640952,0.09,11.67973404214395,2.715689591397689,20,0
1,G1_C1_CONTEMPORANEOUS,1.0,1.0,1.0,0.9651348379729058,0.9967900090093413,0.9990503395319458,0.0009496604680542149,0.003209990990658578,0.03486516202709419,0,0,31,0.06490365475420734,0.08488059053640952,0.09,11.67973404214395,2.715689591397689,20,0
2,G0_C0,1.000937332893973,1.0031711848394367,1.034460098778785,1.0,1.0,1.0,0.0009373328939728828,0.003171184839436709,0.03446009877878513,0,0,31,0.06490365475420734,0.08488059053640952,0.09,0.5601778064628193,2.7832315607338667,25,0
2,G1_C0,0.9999934321685441,1.0000064690135537,1.0000696906605124,0.9651348379729058,0.9967900090093413,0.9990503395319458,0.0009516317092969736,0.0032129962079982984,0.03493485268760648,0,0,31,0.06490365475420734,0.08488059053640952,0.09,0.5717091591987256,2.6830926714031764,23,0
2,G1_C1_CONTEMPORANEOUS,1.0,1.0,1.0,0.9650651473123935,0.9967870037920018,0.999048368290703,0.0009516317092969736,0.0032129962079982984,0.03493485268760648,0,0,31,0.06490365475420734,0.08488059053640952,0.09,0.5717060609869165,2.6829032310259224,23,0
3,G0_C0,1.0009292069719902,1.0031452960175358,1.034188780530012,1.0,1.0,1.0,0.0009292069719901895,0.003145296017535661,0.03418878053001201,0,0,31,0.06490660663385923,0.08488119788079496,0.09,0.1749311139261842,2.7811357819896765,23,0
3,G1_C0,0.9992512316314393,0.9999309018620572,0.9999891811710685,0.9651348379729058,0.9967900090093413,0.9990503395319458,0.0009059992019997053,0.0031383915105305926,0.034116393658533396,0,0,31,0.06490660663385923,0.08488119788079496,0.09,0.18269039505112172,2.6813930137438446,24,0
3,G1_C1_CONTEMPORANEOUS,1.0,1.0,1.0,0.9660250027818913,0.9968750974209126,0.9990772316170973,0.0009227683829027143,0.0031249025790873867,0.0339749972181087,0,0,31,0.06490660663385923,0.08488119788079496,0.09,0.1839662814543933,2.6856923976876828,23,0
5,G0_C0,1.1009432877530752,1.1031898918362135,1.1346562508375386,1.1,1.1,1.1,0.0009432877530749476,0.0031898918362131927,0.03465625083753858,0,1,30,0.06490660663385923,0.08488119788079496,0.09,0.12666963580066892,0.07274731764087838,20,0
5,G1_C0,1.0965174571348073,1.0996842918700231,1.0999050729407989,1.0616483217701966,1.0964690099102756,1.0989553734851405,0.0009496994556583644,0.0032101997650052175,0.034869135364610795,0,1,30,0.06490660663385923,0.08488119788079496,0.09,0.12902530588228012,0.07176022004539773,21,0
5,G1_C1_CONTEMPORANEOUS,1.0,1.0,1.0,0.9655480465740647,0.9968295980923794,0.9990628658862644,0.0009371341137356414,0.003170401907620612,0.03445195342593534,0,1,30,0.06490660663385923,0.08488119788079496,0.09,0.03892180069820039,0.001286035899028315,24,0
