turn,total_K_ratio_min,total_K_ratio_median,total_K_ratio_max,GovInv_ratio_min,GovInv_ratio_median,GovInv_ratio_max,private_K_ratio_min,private_K_ratio_median,private_K_ratio_max,rah_min,rah_median,rah_max,private_at_or_above_target_count,residual_floor_binding_count,max_c1_accounting_abs_residual_MU,ra_lower,ra_interior,ra_upper,wage_lower,wage_interior,wage_upper,HJB_converged_count,HJB_nonconverged_count,KFE_VALID_count,KFE_DIAGNOSTIC_ONLY_count,max_KN_gap,max_Y_prev_gap,max_GDP_level_gap,Zt_adjustment_count,source_final_predicate
1,1.0,1.0,1.0,0.9651348379729058,0.9967900090093413,0.9990503395319458,0.0009496604680542149,0.003209990990658578,0.03486516202709419,0.06490365475420734,0.08488059053640952,0.09,0,0,0.0,0,0,31,4,3,24,20,11,0,31,11.67973404214395,2.715689591397689,2.715689591397689,0,False
2,1.0,1.0,1.0,0.9650651473123935,0.9967870037920018,0.999048368290703,0.0009516317092969736,0.0032129962079982984,0.03493485268760648,0.06490365475420734,0.08488059053640952,0.09,0,0,0.0,0,0,31,4,2,25,23,8,0,31,0.5717060609869165,0.013146064259870749,2.6829032310259224,0,False
3,1.0,1.0,1.0,0.9660250027818913,0.9968750974209126,0.9990772316170973,0.0009227683829027143,0.0031249025790873867,0.0339749972181087,0.06490660663385923,0.08488119788079496,0.09,0,0,0.0,0,0,31,4,3,24,23,8,0,31,0.1839662814543933,0.0057713724256398535,2.6856923976876828,0,False
4,1.0,1.0,1.0,0.9652890644617502,0.9968048921011732,0.9990550656526765,0.0009449343473233747,0.0031951078988268176,0.034710935538249825,0.06490660663385923,0.08488119788079496,0.09,0,0,0.0,0,0,31,4,3,24,19,12,0,31,0.0824599734737077,0.0005976694177922681,2.6854222043206284,31,False
5,1.0,1.0,1.0,0.9655480465740647,0.9968295980923794,0.9990628658862644,0.0009371341137356414,0.003170401907620612,0.03445195342593534,0.06490660663385923,0.08488119788079496,0.09,0,0,0.0,0,1,30,13,5,13,24,7,0,31,0.03892180069820039,0.7283490605990683,0.001286035899028315,0,False
6,1.0,1.0,1.0000000000000002,0.9659090925832082,0.9968636953495883,0.9990738539694035,0.0009261460305965033,0.0031363046504118025,0.034090907416791764,0.06490660663385923,0.08488119788079496,0.09,0,0,1.4901161193847656e-08,0,0,31,12,6,13,31,0,0,31,0.07396221061348707,0.01638358081661284,0.01756013922994981,17,False
7,1.0,1.0,1.0,0.9660205590048291,0.9968742665872454,0.9990771369836297,0.0009228630163703657,0.0031257334127545488,0.03397944099517089,0.0649048944748284,0.08488084560688919,0.09,0,0,0.0,0,1,30,12,6,13,31,0,0,31,0.028319139161741447,0.019469704948611444,0.012126358184738173,6,False
8,1.0,1.0,1.0,0.9660189925103517,0.996874119861924,0.9990770945195367,0.0009229054804632567,0.003125880138076042,0.03398100748964822,0.06490660663385923,0.08488119788079496,0.09,0,0,0.0,0,1,30,12,6,13,31,0,0,31,0.01095931198348743,0.0123224019617858,0.007547566321748467,0,False
9,1.0,1.0,1.0,0.9660193990996934,0.9968741570827717,0.9990771062194768,0.0009228937805232784,0.0031258429172283243,0.033980600900306586,0.06490308001333485,0.08488047228441989,0.09,0,0,0.0,0,1,30,12,6,13,31,0,0,31,0.004724592596253352,9.72180523797217e-05,0.007558725716648063,0,False
10,1.0,1.0,1.0,0.9660193841804443,0.9968741558704051,0.9990771059103886,0.0009228940896115257,0.0031258441295950452,0.03398061581955575,0.06490310099206888,0.08488047660075992,0.09,0,0,0.0,0,1,30,12,6,13,31,0,0,31,0.0018811072162292497,5.1175451740714806e-06,0.007556182220820884,0,False
11,1.0,1.0,1.0,0.9660193864442085,0.996874156081229,0.9990771059731962,0.0009228940268037113,0.0031258439187710255,0.03398061355579146,0.06490309812688563,0.08488047601125319,0.09,0,0,0.0,0,1,30,12,6,13,31,0,0,31,0.0007523053858022877,5.745539501944563e-07,0.0075563344569413715,0,False
12,1.0,1.0,1.0,0.966019386286319,0.996874156066864,0.999077105968945,0.0009228940310550849,0.003125843933135982,0.033980613713681045,0.06490309858591761,0.08488047610569827,0.09,0,0,0.0,0,1,30,12,6,13,31,0,0,31,0.00030074343170527484,6.480764791483296e-08,0.00755632263327255,0,False
13,1.0,1.0,1.0,0.9660193863012075,0.9968741560682237,0.9990771059693467,0.0009228940306532123,0.0031258439317763025,0.03398061369879249,0.06490309855537871,0.08488047609941493,0.09,0,0,0.0,0,1,30,12,6,13,31,0,0,31,0.00012028020136112261,8.915205240711543e-09,0.007556323799186804,0,False
14,1.0,1.0,1.0,0.9660193863001865,0.9968741560681313,0.9990771059693194,0.0009228940306805737,0.0031258439318687103,0.03398061369981355,0.06490309855768744,0.08488047609988995,0.09,0,0,0.0,0,1,30,12,6,13,31,0,0,31,4.810829586765486e-05,1.5134622444179513e-09,0.007556323717580304,0,False
15,1.0,1.0,1.0,0.9660193863002788,0.9968741560681396,0.999077105969322,0.0009228940306780967,0.0031258439318604778,0.03398061369972118,0.06490309855746208,0.08488047609984359,0.09,0,0,0.0,0,1,30,12,6,13,31,0,0,31,1.9242793275697778e-05,2.1495494273437998e-10,0.00755632372545989,0,False
16,1.0,1.0,1.0,0.9660193863002762,0.9968741560681393,0.9990771059693219,0.0009228940306781675,0.003125843931860711,0.03398061369972389,0.06490309855747824,0.0848804760998469,0.09,0,0,0.0,0,1,30,12,6,13,31,0,0,31,7.69702638359071e-06,3.24258397910171e-11,0.007556323724925984,0,False
17,1.0,1.0,1.0,0.9660193863002741,0.9968741560681391,0.9990771059693219,0.0009228940306782536,0.003125843931860874,0.03398061369972591,0.06490309855747671,0.08488047609984659,0.09,0,0,0.0,0,1,30,12,6,13,31,0,0,31,3.078796533717565e-06,4.641065309840542e-12,0.007556323724977054,0,False
18,1.0,1.0,1.0,0.9660193863002741,0.9968741560681392,0.9990771059693219,0.0009228940306782277,0.0031258439318608395,0.03398061369972583,0.06490309855747681,0.08488047609984661,0.09,0,0,0.0,0,1,30,12,6,13,31,0,0,31,1.2315163491205539e-06,6.705747068735946e-13,0.007556323724980052,0,False
