stage,turn,province,HJB_converged,HJB_classification,KFE_classification,overall_validity
INITIALIZATION_OBSERVATION,0,北京,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,天津,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,河北,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,山西,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,内蒙古,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,辽宁,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,吉林,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,黑龙江,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,上海,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,江苏,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,浙江,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,安徽,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,福建,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,江西,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,山东,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,河南,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,湖北,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,湖南,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,广东,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,广西,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,海南,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,重庆,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,四川,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,贵州,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,云南,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,西藏,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,陕西,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,甘肃,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,青海,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,宁夏,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,新疆,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,北京,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,天津,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,河北,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,山西,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,内蒙古,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,辽宁,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
