turn,province,firm_ra0,firm_ra_used,firm_wage_raw,firm_wage_used,household_rah,household_composite_wage,At,Bt,Lt,Ct,Kt_supply,GovInv,govinv_after,firm_K,firm_Y,same_year_Zt,zt_after,nk_gap,yt_gap,gdp_level_gap,kfe_diagnostic_status,hjb_operator_status
1,安徽,-0.02496997113112164,0.02,2.5721358283733027,1.3,0.09,20.0,7.274097868486394,4.6982774669466725,0.647623598114104,11.400731651949162,291407.78439995524,1357314108201.3684,1357314108201.3684,1357314399609.1528,53836910.92757186,0.0006934644495858679,0.0006934644495858679,98575.17052447716,0.5829310876093212,0.5829310876093212,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
2,安徽,-0.024968505109415375,0.02,2.137336530692252,1.3,0.0829892058879816,17.14928118359844,7.293035015032082,4.685223141001686,0.6682590433997112,10.151127654132669,292407.7267707083,1357314108201.3684,1357314108201.3684,1357314400609.0952,56499370.45291782,0.0006934644495858679,0.0006934644495858679,0.34756612158493083,0.04945416591467944,0.6612136242474567,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
3,安徽,-0.024968792977977675,0.02,2.205170377619017,1.3,0.0184420457528848,16.80687052505551,0.013287859137578914,1.8786740319061375,0.6987932857596493,11.26469278859272,479.2638821773878,1357314108201.3684,1357314108201.3684,1357314108680.6323,55982944.50566314,0.0006934644495858679,0.0006934644495858679,0.16103719246632298,0.009140384098350829,0.6460294936524216,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
4,安徽,-0.024968817436572574,0.02,2.2110613834748234,1.3,0.0184420457528848,16.97670592776679,0.013372100749846821,1.8793796060847558,0.6977974380844862,11.361297328122625,482.5467531343714,1357314108201.3684,1221582697381.2317,1357314108683.9153,55939067.74691211,0.0006934644495858679,0.0004216257259618334,0.062400400123944655,0.0007837522505911299,0.644739414332232,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
5,安徽,-0.0249806661862832,0.02,1.0474070450803297,1.0474070450803297,0.0184420457528848,16.958534411522677,0.013363133742819647,1.8793055431315548,0.6979034496496044,11.350967796388458,482.22054043407866,1221582697381.2317,1099424427643.1085,1221582697863.4521,31353466.87382335,0.0004216257259618334,0.0004573615562458746,0.07864424109556656,0.4395068038016402,0.07813474874750892,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
6,安徽,-0.02497829311641706,0.02,1.211323771569099,1.211323771569099,0.0184420457528848,13.81599660753984,0.011627014834965812,1.8598422870281492,0.7184622962762306,9.538781196545287,416.95776426433014,1099424427643.1085,1099424427643.1085,1099424428060.0663,31543237.04312792,0.0004573615562458746,0.0004573615562458746,0.15280457940554437,0.0060526056039758025,0.07255506196166761,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
7,安徽,-0.024978233938577992,0.02,1.2023149235417785,1.2023149235417785,0.0184420457528848,14.55814903309554,0.012073133708678806,1.8658896488344325,0.7131620669605283,9.97167120889916,432.9823312921114,1099424427643.1085,989481984878.7977,1099424428076.0908,31627750.445861027,0.0004573615562458746,0.0004918237286572008,0.07821440817957825,0.0026792875638461666,0.07007017027302931,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
8,安徽,-0.02497602935342435,0.02,1.1878303125346734,1.1878303125346734,0.0184420457528848,14.513396467468743,0.01204692189344517,1.8655558634353777,0.713472962924765,9.945659184491207,431.99051838936606,989481984878.7977,989481984878.7977,989481985310.7882,31351057.77087462,0.0004918237286572008,0.0004918237286572008,0.1295303372017359,0.008748414638595214,0.0782055820082791,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
9,安徽,-0.02497603496286882,0.02,1.1931526403581914,1.1931526403581914,0.0184420457528848,14.467369836987826,0.0120198737422742,1.8652086752500874,0.7137938392479282,9.918894561740558,431.1361632538736,989481984878.7977,890533786390.918,989481985309.9338,31340726.757627796,0.0004918237286572008,0.0005337262209120929,0.054807682781906064,0.00032952678414632786,0.07850933795848403,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
10,安徽,-0.02497336157198671,0.02,1.1912454427721118,1.1912454427721118,0.0184420457528848,14.483167716045351,0.012029167899974621,1.865328290530094,0.7136835742036349,9.928082456593817,431.4818081409279,890533786390.918,890533786390.918,890533786822.3998,31354609.164928626,0.0005337262209120929,0.0005337262209120929,0.12082678883258835,0.00044295103327329777,0.07810116271758094,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
