turn,family,bound,province_index,province
1,ra,lower,0,北京
1,wjt,upper,0,北京
1,ra,lower,1,天津
1,wjt,upper,1,天津
1,ra,lower,2,河北
1,wjt,upper,2,河北
1,ra,lower,3,山西
1,wjt,upper,3,山西
1,ra,lower,4,内蒙古
1,wjt,upper,4,内蒙古
1,ra,lower,5,辽宁
1,wjt,upper,5,辽宁
1,ra,lower,6,吉林
1,ra,lower,7,黑龙江
1,ra,lower,8,上海
1,wjt,upper,8,上海
1,ra,lower,9,江苏
1,wjt,upper,9,江苏
1,ra,lower,10,浙江
1,wjt,upper,10,浙江
1,ra,lower,11,安徽
1,wjt,upper,11,安徽
1,ra,lower,12,福建
1,wjt,upper,12,福建
1,ra,lower,13,江西
1,wjt,upper,13,江西
1,ra,lower,14,山东
1,wjt,upper,14,山东
1,ra,lower,15,河南
1,wjt,upper,15,河南
1,ra,lower,16,湖北
1,wjt,upper,16,湖北
1,ra,lower,17,湖南
1,wjt,upper,17,湖南
1,ra,lower,18,广东
1,wjt,upper,18,广东
1,ra,lower,19,广西
1,wjt,upper,19,广西
1,ra,lower,20,海南
1,wjt,lower,20,海南
1,ra,lower,21,重庆
1,wjt,upper,21,重庆
1,ra,lower,22,四川
1,wjt,upper,22,四川
1,ra,lower,23,贵州
1,ra,lower,24,云南
1,wjt,upper,24,云南
1,ra,lower,25,西藏
1,wjt,lower,25,西藏
1,ra,lower,26,陕西
1,wjt,upper,26,陕西
1,ra,lower,27,甘肃
1,wjt,lower,27,甘肃
1,ra,lower,28,青海
1,wjt,lower,28,青海
1,ra,lower,29,宁夏
1,wjt,lower,29,宁夏
1,ra,lower,30,新疆
2,ra,lower,0,北京
2,wjt,upper,0,北京
2,ra,lower,1,天津
2,ra,lower,2,河北
2,wjt,upper,2,河北
2,ra,lower,3,山西
2,ra,lower,4,内蒙古
2,ra,lower,5,辽宁
2,wjt,upper,5,辽宁
2,ra,lower,6,吉林
2,ra,lower,7,黑龙江
2,ra,lower,8,上海
2,wjt,upper,8,上海
2,ra,lower,9,江苏
2,wjt,upper,9,江苏
2,ra,lower,10,浙江
2,wjt,upper,10,浙江
2,ra,lower,11,安徽
2,wjt,upper,11,安徽
2,ra,lower,12,福建
2,wjt,upper,12,福建
2,ra,lower,13,江西
2,wjt,upper,13,江西
2,ra,lower,14,山东
2,wjt,upper,14,山东
2,ra,lower,15,河南
2,wjt,upper,15,河南
2,ra,lower,16,湖北
2,wjt,upper,16,湖北
2,ra,lower,17,湖南
2,wjt,upper,17,湖南
2,ra,lower,18,广东
2,wjt,upper,18,广东
2,ra,lower,19,广西
2,ra,lower,20,海南
2,wjt,lower,20,海南
2,ra,lower,21,重庆
2,wjt,upper,21,重庆
2,ra,lower,22,四川
2,wjt,upper,22,四川
2,ra,lower,23,贵州
2,ra,lower,24,云南
2,wjt,upper,24,云南
2,ra,lower,25,西藏
2,wjt,lower,25,西藏
2,ra,lower,26,陕西
2,wjt,upper,26,陕西
2,ra,lower,27,甘肃
2,wjt,lower,27,甘肃
2,ra,lower,28,青海
2,wjt,lower,28,青海
2,ra,lower,29,宁夏
2,wjt,lower,29,宁夏
2,ra,lower,30,新疆
3,ra,lower,0,北京
3,wjt,upper,0,北京
3,ra,lower,1,天津
3,ra,lower,2,河北
3,wjt,upper,2,河北
3,ra,lower,3,山西
3,ra,lower,4,内蒙古
3,ra,lower,5,辽宁
3,wjt,upper,5,辽宁
3,ra,lower,6,吉林
3,ra,lower,7,黑龙江
3,ra,lower,8,上海
3,wjt,upper,8,上海
3,ra,lower,9,江苏
3,wjt,upper,9,江苏
3,ra,lower,10,浙江
3,wjt,upper,10,浙江
3,ra,lower,11,安徽
3,wjt,upper,11,安徽
3,ra,lower,12,福建
3,wjt,upper,12,福建
3,ra,lower,13,江西
3,wjt,upper,13,江西
3,ra,lower,14,山东
3,wjt,upper,14,山东
3,ra,lower,15,河南
3,wjt,upper,15,河南
3,ra,lower,16,湖北
3,wjt,upper,16,湖北
3,ra,lower,17,湖南
3,wjt,upper,17,湖南
3,ra,lower,18,广东
3,wjt,upper,18,广东
3,ra,lower,19,广西
3,wjt,upper,19,广西
3,ra,lower,20,海南
3,wjt,lower,20,海南
3,ra,lower,21,重庆
3,wjt,upper,21,重庆
3,ra,lower,22,四川
3,wjt,upper,22,四川
3,ra,lower,23,贵州
3,ra,lower,24,云南
3,wjt,upper,24,云南
3,ra,lower,25,西藏
3,wjt,lower,25,西藏
3,ra,lower,26,陕西
3,wjt,upper,26,陕西
3,ra,lower,27,甘肃
3,wjt,lower,27,甘肃
3,ra,lower,28,青海
3,wjt,lower,28,青海
3,ra,lower,29,宁夏
3,wjt,lower,29,宁夏
3,ra,lower,30,新疆
4,ra,lower,0,北京
4,wjt,upper,0,北京
4,ra,lower,1,天津
4,ra,lower,2,河北
4,wjt,upper,2,河北
4,ra,lower,3,山西
