turn,source_converged,adaptation_gate_open,zt_adjusted_count,govinv_decrease_count,govinv_increase_count,govinv_hold_count,max_nk_gap,max_yt_gap
1,False,False,0,0,0,31,204296.40029802968,1.988675780079428
2,False,False,0,0,0,31,0.4594673876129056,0.05705147451783721
3,False,False,0,0,0,31,0.2098220765801393,0.017702390995682715
4,False,True,31,31,0,0,0.07290074663763169,0.0017991283003220282
5,False,True,31,31,0,0,0.08073179103856298,0.6996996647791534
6,False,False,0,0,0,31,0.19347736335765797,0.017614696281188502
7,False,True,31,31,0,0,0.09592333576253309,0.008895458134089207
8,False,False,0,0,0,31,0.13458878845781874,0.013698994127176789
9,False,True,31,31,0,0,0.05659762559218151,0.00047411652157414164
10,False,False,0,0,0,31,0.12174641690692856,0.0011834825727963239
11,False,True,31,31,0,0,0.05251438653614371,6.304247588861944e-05
12,False,False,0,0,0,31,0.11959421168962536,0.00024234974274084387
13,False,True,31,31,0,0,0.05157081073905001,4.7817123961957364e-05
14,False,False,0,0,0,31,0.11921227663086609,4.921811355063088e-05
15,False,True,31,31,0,0,0.0514446714773078,4.7130229255065714e-05
16,False,False,0,0,0,31,0.11914544538096006,4.69679589333305e-05
17,False,True,31,31,0,0,0.051422891592818765,4.71502564416415e-05
18,False,False,0,0,0,31,0.11913357913779388,4.715705855140584e-05
19,False,True,31,31,0,0,0.05141913564562994,4.714828096985535e-05
20,False,False,0,0,0,31,0.1191315131965972,4.7148333330637726e-05
21,False,True,31,31,0,0,0.051418464376186246,4.7148477940073263e-05
22,False,False,0,0,0,31,0.11913117755328462,4.714950460471545e-05
23,False,True,31,31,0,0,0.05141833965740916,4.714866139288176e-05
24,False,False,0,0,0,31,0.11913115391679785,4.7150015239583176e-05
25,False,True,31,31,0,0,0.05141831156265109,4.714886437895416e-05
26,False,False,0,0,0,31,0.11913118948896784,4.7150618604607786e-05
27,False,True,31,31,0,0,0.05141829998684344,4.714909106162679e-05
28,False,False,0,0,0,31,0.1191312400269271,4.71512870240387e-05
29,False,True,31,31,0,0,0.05141829061591641,4.714934272964655e-05
30,False,False,0,0,0,31,0.11913129813384671,4.7152029687524966e-05
31,False,True,31,31,0,0,0.051418280824378604,4.714962236684883e-05
32,False,False,0,0,0,31,0.11913136304486127,4.7152854862120286e-05
33,False,True,31,31,0,0,0.05141827005505051,4.71499330410019e-05
34,False,False,0,0,0,31,0.11913143523001102,4.715377169484114e-05
35,False,True,31,31,0,0,0.051418258108524406,4.715027819979234e-05
36,False,False,0,0,0,31,0.1191315154467848,4.715479036898618e-05
37,False,True,31,31,0,0,0.05141824483781776,4.715066166638415e-05
38,False,False,0,0,0,31,0.11913160457856953,4.715592219173281e-05
39,False,True,31,31,0,0,0.05141823009286517,4.715108768538201e-05
40,False,False,0,0,0,31,0.11913170361433678,4.7157179726808884e-05
41,False,True,31,31,0,0,0.051418213709272576,4.715156097301332e-05
42,False,False,0,0,0,31,0.11913181365426884,4.7158576930939056e-05
43,False,True,31,31,0,0,0.05141819550478022,4.715208676486782e-05
44,False,False,0,0,0,31,0.11913193592102955,4.716012931049729e-05
45,False,True,31,31,0,0,0.05141817527692649,4.7152670876959846e-05
46,False,False,0,0,0,31,0.11913207177318208,4.716185409092688e-05
47,False,True,31,31,0,0,0.0514181528007388,4.715331976345993e-05
48,False,False,0,0,0,31,0.1191322227202617,4.716377040603348e-05
49,False,True,31,31,0,0,0.05141812782621735,4.715404059352224e-05
50,False,False,0,0,0,31,0.11913239043953694,4.716589951447858e-05
51,False,True,31,31,0,0,0.051418100075537154,4.715484132300496e-05
52,False,False,0,0,0,31,0.1191325767946565,4.71682650275973e-05
53,False,True,31,31,0,0,0.05141806923995418,4.715573078550861e-05
54,False,False,0,0,0,31,0.11913278385635384,4.7170893175185746e-05
55,False,True,31,31,0,0,0.051418034976349114,4.71567187843025e-05
56,False,False,0,0,0,31,0.11913301392547038,4.717381309193858e-05
57,False,True,31,31,0,0,0.05141799690339821,4.715781619935022e-05
58,False,False,0,0,0,31,0.11913326955851522,4.7177057139191625e-05
59,False,True,31,31,0,0,0.05141795459730636,4.715903510321695e-05
60,False,False,0,0,0,31,0.1191335535960899,4.718066125819487e-05
