family,bound,province,longest_consecutive_turns,run_start,run_end,total_hit_turns
ra,lower,上海,100,1,100,100
ra,lower,云南,100,1,100,100
ra,lower,内蒙古,100,1,100,100
ra,lower,北京,100,1,100,100
ra,lower,吉林,100,1,100,100
ra,lower,四川,100,1,100,100
ra,lower,天津,100,1,100,100
ra,lower,宁夏,100,1,100,100
ra,lower,安徽,100,1,100,100
ra,lower,山东,100,1,100,100
ra,lower,山西,100,1,100,100
ra,lower,广东,100,1,100,100
ra,lower,广西,100,1,100,100
ra,lower,新疆,100,1,100,100
ra,lower,江苏,100,1,100,100
ra,lower,江西,100,1,100,100
ra,lower,河北,100,1,100,100
ra,lower,河南,100,1,100,100
ra,lower,浙江,100,1,100,100
ra,lower,海南,100,1,100,100
ra,lower,湖北,100,1,100,100
ra,lower,湖南,100,1,100,100
ra,lower,甘肃,100,1,100,100
ra,lower,福建,100,1,100,100
ra,lower,西藏,100,1,100,100
ra,lower,贵州,100,1,100,100
ra,lower,辽宁,100,1,100,100
ra,lower,重庆,100,1,100,100
ra,lower,陕西,100,1,100,100
ra,lower,青海,100,1,100,100
ra,lower,黑龙江,100,1,100,100
wjt,upper,四川,100,1,100,100
wjt,lower,宁夏,100,1,100,100
wjt,upper,山东,100,1,100,100
wjt,upper,广东,100,1,100,100
wjt,upper,江苏,100,1,100,100
wjt,upper,河南,100,1,100,100
wjt,upper,浙江,100,1,100,100
wjt,lower,海南,100,1,100,100
wjt,lower,甘肃,100,1,100,100
wjt,lower,西藏,100,1,100,100
wjt,lower,青海,100,1,100,100
wjt,lower,内蒙古,96,5,100,96
wjt,lower,吉林,96,5,100,96
wjt,lower,天津,96,5,100,96
wjt,lower,山西,96,5,100,96
wjt,lower,广西,96,5,100,96
wjt,lower,新疆,96,5,100,96
wjt,lower,贵州,96,5,100,96
wjt,lower,重庆,96,5,100,96
wjt,lower,黑龙江,96,5,100,96
wjt,upper,湖北,95,6,100,99
wjt,upper,上海,4,1,4,5
wjt,upper,云南,4,1,4,4
wjt,upper,北京,4,1,4,4
wjt,upper,安徽,4,1,4,4
wjt,upper,江西,4,1,4,4
wjt,upper,河北,4,1,4,4
wjt,upper,湖南,4,1,4,4
wjt,upper,福建,4,1,4,4
wjt,upper,辽宁,4,1,4,4
wjt,upper,重庆,4,1,4,4
wjt,upper,陕西,4,1,4,4
wjt,lower,云南,3,5,7,3
wjt,upper,广西,2,3,4,3
wjt,upper,内蒙古,1,1,1,1
wjt,upper,天津,1,1,1,1
wjt,upper,山西,1,1,1,1
wjt,lower,江西,1,5,5,1
wjt,lower,辽宁,1,5,5,1
wjt,lower,陕西,1,5,5,1
