turn,hjb_converged_count,kfe_returned_count,kfe_valid_count,kfe_diagnostic_only_count,max_kfe_source_free_residual_inf,max_kfe_source_free_normwise_ratio,upper_b_leak_cells,max_upper_b_leak_rate,hjb_operator_valid_count,hjb_operator_diagnostic_only_count,hjb_negative_offdiagonal_count,minimum_hjb_offdiagonal,post_convergence_negative_offdiagonal_count
1,31,31,0,31,4.686593832556137,0.10168074107838548,899,4.332347913709392,0,31,651,-4.325362249996913,0
2,31,31,0,31,4.167305431573685,0.15566485268576682,893,4.190788373079357,0,31,677,-4.184239079669223,0
3,31,31,0,31,0.0018889457244364988,6.209058528451112e-05,620,2.2447655019197503,0,31,589,-2.244469441293394,0
4,31,31,0,31,0.0019037171595322185,6.202625915011831e-05,620,2.239261747786129,0,31,589,-2.2389656273181444,0
5,31,31,0,31,0.001902134711476291,6.203258773167757e-05,620,2.239591741393244,0,31,589,-2.239295624500413,0
6,31,31,0,31,0.00158240239569048,6.290295139765773e-05,620,2.335050456099078,0,31,589,-2.3347554492005864,0
7,31,31,0,31,0.0016554190497553892,6.279461748020467e-05,620,2.315369194486113,0,31,589,-2.315073945355615,0
8,31,31,0,31,0.0016524074460596491,6.280414403400349e-05,620,2.3165506312395654,0,31,589,-2.316255396438106,0
9,31,31,0,31,0.001648563760862547,6.28118014973943e-05,620,2.3175443437771817,0,31,589,-2.317249121048508,0
10,31,31,0,31,0.0016506805009362288,6.280898113718036e-05,620,2.317083514932531,0,31,589,-2.3167882866028227,0
11,31,31,0,31,0.0016498284545771473,6.28105692234627e-05,620,2.3173194711386436,0,31,589,-2.3170242456762935,0
12,31,31,0,31,0.001650737429303447,6.280888847791935e-05,620,2.3170686536658414,0,31,589,-2.316773425155579,0
13,31,31,0,31,0.0016497947678315293,6.281063927649408e-05,620,2.3173278769905075,0,31,589,-2.3170326516303335,0
14,31,31,0,31,0.0016507283625076937,6.280890796453018e-05,620,2.317070452252711,0,31,589,-2.3167752237642962,0
15,31,31,0,31,0.0016497985579359117,6.281063226784453e-05,620,2.317327278329023,0,31,589,-2.317032052961574,0
16,31,31,0,31,0.001650728995035454,6.280890668381097e-05,620,2.3170702801331062,0,31,589,-2.3167750516426078,0
17,31,31,0,31,0.0016497989203910959,6.281063165692082e-05,620,2.317327144929355,0,31,589,-2.317031919560282,0
18,31,31,0,31,0.0016507294719481055,6.280890581969989e-05,620,2.3170701380455867,0,31,589,-2.3167749095533536,0
19,31,31,0,31,0.0016497994191987165,6.281063071975617e-05,620,2.317327014524205,0,31,589,-2.3170317891535452,0
20,31,31,0,31,0.0016507300271869246,6.280890478340321e-05,620,2.3170699857294164,0,31,589,-2.3167747572353257,0
21,31,31,0,31,0.0016497999727143088,6.281062969475591e-05,620,2.31732686163146,0,31,589,-2.3170316362589514,0
22,31,31,0,31,0.001650730644875368,6.28089036309125e-05,620,2.3170698157105902,0,31,589,-2.3167745872144363,0
23,31,31,0,31,0.0016498005863529192,6.281062855723992e-05,620,2.3173266929683356,0,31,589,-2.317031467593769,0
24,31,31,0,31,0.0016507313310781357,6.280890235178781e-05,620,2.3170696270594435,0,31,589,-2.316774398561006,0
25,31,31,0,31,0.0016498012684053893,6.281062729003424e-05,620,2.317326505392026,0,31,589,-2.3170312800151827,0
26,31,31,0,31,0.0016507320935376581,6.280890092928099e-05,620,2.317069417390438,0,31,589,-2.31677418888945,0
27,31,31,0,31,0.0016498020262147159,6.281062588369249e-05,620,2.3173262969803425,0,31,589,-2.317031071600968,0
28,31,31,0,31,0.0016507329406599215,6.280889935002221e-05,620,2.3170691844563636,0,31,589,-2.3167739559525473,0
29,31,31,0,31,0.0016498028682628688,6.281062432110838e-05,620,2.317326065414935,0,31,589,-2.3170308400327446,0
30,31,31,0,31,0.0016507338819473575,6.280889759584426e-05,620,2.317068925618435,0,31,589,-2.316773697111479,0
31,31,31,0,31,0.0016498038037967928,6.28106225850073e-05,620,2.317325808110295,0,31,589,-2.317030582724971,0
32,31,31,0,31,0.0016507349278576334,6.280889564460773e-05,620,2.3170686380111687,0,31,589,-2.316773409500709,0
33,31,31,0,31,0.0016498048433317741,6.281062065454644e-05,620,2.317325522226117,0,31,589,-2.3170302968373324,0
34,31,31,0,31,0.0016507360899415979,6.280889347730265e-05,620,2.317068318471764,0,31,589,-2.3167730899574233,0
35,31,31,0,31,0.0016498059983971107,6.281061851154315e-05,620,2.317325204549263,0,31,589,-2.3170299791566067,0
36,31,31,0,31,0.001650737381171456,6.28088910694102e-05,620,2.317067963433515,0,31,589,-2.3167727349148737,0
37,31,31,0,31,0.0016498072817649862,6.281061612966915e-05,620,2.317324851601499,0,31,589,-2.317029626204552,0
38,31,31,0,31,0.0016507388159351,6.280888839380573e-05,620,2.3170675689048625,0,31,589,-2.316772340381414,0
