turn,ra_lower_hit_count,ra_upper_hit_count,wjt_lower_hit_count,wjt_upper_hit_count,ra_lower_hit_provinces,ra_upper_hit_provinces,wjt_lower_hit_provinces,wjt_upper_hit_provinces,household_convergence_count,max_abs_kn_gap,max_abs_y_y_prev_gap,max_abs_y_y0_gap,source_converged,zt_adjusted_count,kfe_diagnostic_only_count,kfe_upper_b_leak_cells,hjb_negative_offdiagonals,govinv_decrease_count,govinv_increase_count,govinv_hold_count,raw_ra_min,raw_ra_median,raw_ra_max,used_ra_min,used_ra_median,used_ra_max,raw_wjt_min,raw_wjt_median,raw_wjt_max,used_wjt_min,used_wjt_median,used_wjt_max,household_rah_min,household_rah_median,household_rah_max,household_w_min,household_w_median,household_w_max,At_min,At_median,At_max,Bt_min,Bt_median,Bt_max,Lt_min,Lt_median,Lt_max,Ct_min,Ct_median,Ct_max,GovInv_min,GovInv_median,GovInv_max
1,31,0,5,22,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,海南|西藏|甘肃|青海|宁夏,北京|天津|河北|山西|内蒙古|辽宁|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|重庆|四川|云南|陕西,31,204296.40029802968,1.988675780079428,1.988675780079428,False,0,31,899,651,0,0,31,-0.024978086510754612,-0.024967167975220465,-0.024893401067352623,0.02,0.02,0.02,0.22062849449174698,1.8362000759967394,6.608777901336723,0.8,1.3,1.3,0.09,0.09,0.09,20.0,20.0,20.0,7.274097868486394,7.274097868486394,7.274097868486394,4.6982774669466725,4.6982774669466725,4.6982774669466725,0.647623598114104,0.647623598114104,0.647623598114104,11.400731651949162,11.400731651949162,11.400731651949162,76591375387.66502,851864893184.6962,2791796128048.5977
2,31,0,5,18,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,海南|西藏|甘肃|青海|宁夏,北京|河北|辽宁|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|重庆|四川|云南|陕西,31,0.4594673876129056,0.05705147451783721,2.1009230626969875,False,0,31,893,677,0,0,31,-0.02497704318266025,-0.02496563562103093,-0.024887754461979526,0.02,0.02,0.02,0.19058526281483096,1.5182244918961496,5.514372628290547,0.8,1.3,1.3,0.06543968660646214,0.0829892058879816,0.09,12.664376790055751,16.549055802836143,17.32766551729466,7.289083444340513,7.2993472567433635,7.3505650275308145,4.653485991821879,4.683178963294347,4.692798219933339,0.6666702528042787,0.6725114610422152,0.7024472779250185,7.875213313693791,10.007071996269657,10.480109235367816,76591375387.66502,851864893184.6962,2791796128048.5977
3,31,0,5,19,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,海南|西藏|甘肃|青海|宁夏,北京|河北|辽宁|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|重庆|四川|云南|陕西,31,0.2098220765801393,0.017702390995682715,2.072233411827466,False,0,31,620,589,0,0,31,-0.0249772533981998,-0.02496617064124538,-0.02488877100445504,0.02,0.02,0.02,0.19670670389690653,1.5662696634429916,5.689706779622951,0.8,1.3,1.3,0.014542152579213808,0.0184420457528848,0.02,12.18444435021526,16.18983810413109,17.05739235851965,0.006467289410141887,0.012401864225557658,0.015630013507742062,1.8273304412447953,1.8726841329350616,1.889287231315237,0.6973219019958592,0.7024971522517952,0.7313340416102043,8.574974895473325,10.912624354097007,11.407190276498053,76591375387.66502,851864893184.6962,2791796128048.5977
4,31,0,5,19,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,海南|西藏|甘肃|青海|宁夏,北京|河北|辽宁|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|重庆|四川|云南|陕西,31,0.07290074663763169,0.0017991283003220282,2.069813543906397,False,31,31,620,589,31,0,0,-0.024977271230583704,-0.02496611966163156,-0.024888858243577464,0.02,0.02,0.02,0.197234935148587,1.5704354377762457,5.70506579140221,0.8,1.3,1.3,0.014542152579213808,0.0184420457528848,0.02,12.334043105903111,16.35780589261478,17.24082519245366,0.0065144416979700075,0.012489837514544314,0.015728054823137418,1.8282566997214302,1.8735264672613408,1.890128534039629,0.6962645188559651,0.7014698533674844,0.7300750568782686,8.66409254381191,11.008677129775997,11.511301281566933,76591375387.66502,851864893184.6962,2791796128048.5977
5,31,0,18,6,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|辽宁|吉林|黑龙江|江西|广西|海南|重庆|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|广东|四川,31,0.08073179103856298,0.6996996647791534,0.0783416575241741,False,31,31,620,589,31,0,0,-0.024988303785569415,-0.0249814706403393,-0.024943738213664753,0.02,0.02,0.02,0.03220925032327442,0.6735917666600296,3.2873696521139713,0.8,0.8,1.3,0.014542152579213808,0.0184420457528848,0.02,12.325011067741155,16.340108149040443,17.22174683838279,0.006510657241692622,0.012480144750551756,0.015717558289850823,1.828183333077801,1.8734349930163592,1.8900395276246893,0.6963739005542089,0.7015775308139056,0.7301505800902237,8.658716512134305,10.99856334237677,11.500480419998857,68932237848.89853,766678403866.2266,2512616515243.738
6,31,0,15,8,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|云南|西藏|甘肃|青海|宁夏|新疆,上海|江苏|浙江|山东|河南|湖北|广东|四川,31,0.19347736335765797,0.017614696281188502,0.0836522228668154,False,0,31,620,589,0,0,31,-0.02498679754886908,-0.024979127105606538,-0.02493668071586374,0.02,0.02,0.02,0.05574474277764682,0.8357857865842312,3.484447876827322,0.8,0.8357857865842312,1.3,0.014542152579213808,0.0184420457528848,0.02,10.008055729318619,13.253794395040497,14.00238564782174,0.005577860818183884,0.010769069808106458,0.01355910051016361,1.8026503074224176,1.8522109128132218,1.8660990203024717,0.7170956129341053,0.7227548614498334,0.7518976399765489,7.259251715707492,9.207564052849737,9.647879023071958,62039014064.008675,690010563479.6039,2261354863719.3643
7,31,0,15,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|云南|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.09592333576253309,0.008895458134089207,0.08745816930362837,False,31,31,620,589,31,0,0,-0.024986847494755784,-0.024979204725952282,-0.024936235152853814,0.02,0.02,0.02,0.05656416767920594,0.8433940964605697,3.5355419088321525,0.8,0.8433940964605697,1.3,0.014542152579213808,0.0184420457528848,0.02,10.442257411420991,13.899772324936507,14.767357235945719,0.005782495520161434,0.01115288817357973,0.014059424654608566,1.8106282779925096,1.8586036086999327,1.8727588561986501,0.7117168376239627,0.7178291954313492,0.7474174066745385,7.5248144178958025,9.58802846815719,10.093184014194724,62039014064.008675,690010563479.6039,2261354863719.3643
8,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.13458878845781874,0.013698994127176789,0.07896354449591714,False,0,31,620,589,0,0,31,-0.0249854625464038,-0.024976985860181104,-0.02493012917616182,0.02,0.02,0.02,0.05553005460804799,0.84818486159446,3.4789658137344257,0.8,0.84818486159446,1.3,0.014542152579213808,0.0184420457528848,0.02,10.415617959560162,13.852324687742442,14.713422327889198,0.005770476023363712,0.011132151744514478,0.014038884798350203,1.810275858875498,1.8581673430677559,1.8723483926273274,0.7120856727700658,0.7181775006138303,0.7476862204966361,7.508568360356926,9.56019034683757,10.061898324939168,55835112657.60781,621009507131.6436,2035219377347.428
9,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.05659762559218151,0.00047411652157414164,0.07913609814791367,False,31,31,620,589,31,0,0,-0.02498545834395744,-0.024976982092335575,-0.024930153861656226,0.02,0.02,0.02,0.055724698551635594,0.8471300053056512,3.4898307280180263,0.8,0.8471300053056512,1.3,0.014542152579213808,0.0184420457528848,0.02,10.393269523362228,13.815339001499208,14.676168667328156,0.005759127325606251,0.011104043113819819,0.014012658238121868,1.8099410681517547,1.8578520161608107,1.872026967376354,0.7123413241500787,0.7184482545252162,0.7479123296862931,7.494934513592073,9.538615136050115,10.040279177930822,55835112657.60781,621009507131.6436,2035219377347.428
10,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.12174641690692856,0.0011834825727963239,0.07833099463071136,False,0,31,620,589,0,0,31,-0.024983851382309102,-0.024974436564431938,-0.02492230449756396,0.02,0.02,0.02,0.055620001354258465,0.8450977729936833,3.4833178848291184,0.8,0.8450977729936833,1.3,0.014542152579213808,0.0184420457528848,0.02,10.403626902867412,13.829531839245156,14.690337442220292,0.005764830060531842,0.011113263471583933,0.014027102981008833,1.8101095491107346,1.8579715012700297,1.8721511005735407,0.7122440055018087,0.7183438961231725,0.7478074717170307,7.501253647662249,9.546924320409145,10.048502571068486,50251601391.84703,558908556418.4792,1831697439612.6853
