family,window,turns_observed,first_count,last_count,min_count,mean_count,max_count,distinct_hit_province_count,hit_provinces,overall_classification
ra,1-10,10,31,31,31,31.0,31,31,上海|云南|内蒙古|北京|吉林|四川|天津|宁夏|安徽|山东|山西|广东|广西|新疆|江苏|江西|河北|河南|浙江|海南|湖北|湖南|甘肃|福建|西藏|贵州|辽宁|重庆|陕西|青海|黑龙江,BOUNDARY_HITS_PERSIST_HIGH
ra,11-25,15,31,31,31,31.0,31,31,上海|云南|内蒙古|北京|吉林|四川|天津|宁夏|安徽|山东|山西|广东|广西|新疆|江苏|江西|河北|河南|浙江|海南|湖北|湖南|甘肃|福建|西藏|贵州|辽宁|重庆|陕西|青海|黑龙江,BOUNDARY_HITS_PERSIST_HIGH
ra,26-50,25,31,31,31,31.0,31,31,上海|云南|内蒙古|北京|吉林|四川|天津|宁夏|安徽|山东|山西|广东|广西|新疆|江苏|江西|河北|河南|浙江|海南|湖北|湖南|甘肃|福建|西藏|贵州|辽宁|重庆|陕西|青海|黑龙江,BOUNDARY_HITS_PERSIST_HIGH
ra,51-75,25,31,31,31,31.0,31,31,上海|云南|内蒙古|北京|吉林|四川|天津|宁夏|安徽|山东|山西|广东|广西|新疆|江苏|江西|河北|河南|浙江|海南|湖北|湖南|甘肃|福建|西藏|贵州|辽宁|重庆|陕西|青海|黑龙江,BOUNDARY_HITS_PERSIST_HIGH
ra,76-100,25,31,31,31,31.0,31,31,上海|云南|内蒙古|北京|吉林|四川|天津|宁夏|安徽|山东|山西|广东|广西|新疆|江苏|江西|河北|河南|浙江|海南|湖北|湖南|甘肃|福建|西藏|贵州|辽宁|重庆|陕西|青海|黑龙江,BOUNDARY_HITS_PERSIST_HIGH
wage,1-10,10,27,21,21,23.0,27,31,上海|云南|内蒙古|北京|吉林|四川|天津|宁夏|安徽|山东|山西|广东|广西|新疆|江苏|江西|河北|河南|浙江|海南|湖北|湖南|甘肃|福建|西藏|贵州|辽宁|重庆|陕西|青海|黑龙江,BOUNDARY_HITS_PERSIST_HIGH
wage,11-25,15,21,21,21,21.0,21,21,内蒙古|吉林|四川|天津|宁夏|山东|山西|广东|广西|新疆|江苏|河南|浙江|海南|湖北|甘肃|西藏|贵州|重庆|青海|黑龙江,BOUNDARY_HITS_PERSIST_HIGH
wage,26-50,25,21,21,21,21.0,21,21,内蒙古|吉林|四川|天津|宁夏|山东|山西|广东|广西|新疆|江苏|河南|浙江|海南|湖北|甘肃|西藏|贵州|重庆|青海|黑龙江,BOUNDARY_HITS_PERSIST_HIGH
wage,51-75,25,21,21,21,21.0,21,21,内蒙古|吉林|四川|天津|宁夏|山东|山西|广东|广西|新疆|江苏|河南|浙江|海南|湖北|甘肃|西藏|贵州|重庆|青海|黑龙江,BOUNDARY_HITS_PERSIST_HIGH
wage,76-100,25,21,21,21,21.0,21,21,内蒙古|吉林|四川|天津|宁夏|山东|山西|广东|广西|新疆|江苏|河南|浙江|海南|湖北|甘肃|西藏|贵州|重庆|青海|黑龙江,BOUNDARY_HITS_PERSIST_HIGH
