province_index,province_name,turns_observed,firm_K_total_over_Ktarget_mean,firm_K_total_over_Ktarget_median,private_K_over_Ktarget_mean,private_K_over_Ktarget_median,GovInv_before_over_Ktarget_mean,GovInv_before_over_Ktarget_median,firm_Lt_over_population_proxy_mean,firm_Lt_over_population_proxy_median,K_status,L_status_relative_to_population_proxy
0,北京,6,2.486679787395973,2.4792109392367383,0.0033321510109708746,0.003298268683290952,2.483347636385002,2.4758450755500023,26.735943270840178,26.741305369254782,K_SEVERELY_HIGH,L_RELATIVE_TO_POPULATION_PROXY_SEVERELY_HIGH
1,天津,6,1.7746858968671644,1.7746551594976594,0.0031248968671635864,0.0030941594976587336,1.7715610000000008,1.7715610000000008,39.47095485873972,39.478833097107774,K_SEVERELY_HIGH,L_RELATIVE_TO_POPULATION_PROXY_SEVERELY_HIGH
2,河北,6,2.3239375440474577,2.3596389972872407,0.0017163332141226487,0.0016988087066911017,2.3222212108333347,2.3579476910000015,7.9436574412692655,7.946380014446953,K_SEVERELY_HIGH,L_RELATIVE_TO_POPULATION_PROXY_SEVERELY_HIGH
3,山西,6,2.443840091370139,2.479597251633443,0.0037214959868030915,0.0036819628731882817,2.4401185953833355,2.4758450755500023,15.541691963154744,15.545211370156686,K_SEVERELY_HIGH,L_RELATIVE_TO_POPULATION_PROXY_SEVERELY_HIGH
4,内蒙古,6,1.612864377213894,1.6128402451143464,0.002354377213893044,0.0023302451143452996,1.610510000000001,1.610510000000001,22.257519331880793,22.26196946385376,K_SEVERELY_HIGH,L_RELATIVE_TO_POPULATION_PROXY_SEVERELY_HIGH
5,辽宁,6,2.1457368366614067,2.145719396907301,0.002148026661405295,0.0021305869072996307,2.143588810000001,2.143588810000001,13.107905694995758,13.063819621986097,K_SEVERELY_HIGH,L_RELATIVE_TO_POPULATION_PROXY_SEVERELY_HIGH
6,吉林,6,1.4670587345496187,1.4670288172249988,0.0029587345496178787,0.0029288172249978582,1.4641000000000006,1.4641000000000006,21.522809723227148,21.526918867310748,K_MODERATELY_HIGH,L_RELATIVE_TO_POPULATION_PROXY_SEVERELY_HIGH
7,黑龙江,6,1.9521144192845914,1.952081577576116,0.003397319284590121,0.003364477576114611,1.9487171000000014,1.9487171000000014,15.743336606186094,15.746450953608285,K_SEVERELY_HIGH,L_RELATIVE_TO_POPULATION_PROXY_SEVERELY_HIGH
8,上海,6,2.4862927796878607,2.478820155603077,0.002945143302859078,0.002915055923735586,2.4833476363850013,2.4758450755500014,23.681267715193364,23.685929168938685,K_SEVERELY_HIGH,L_RELATIVE_TO_POPULATION_PROXY_SEVERELY_HIGH
9,江苏,6,2.484228510803072,2.476735676830611,0.0008808744180703243,0.0008710978868054252,2.4833476363850018,2.475845075550002,6.803757854849489,6.80496442401693,K_SEVERELY_HIGH,L_RELATIVE_TO_POPULATION_PROXY_SEVERELY_HIGH
