turn,household_convergence_count,ra_lower,ra_interior,ra_upper,wage_lower,wage_interior,wage_upper,firm_K_ratio_min,firm_K_ratio_median,firm_K_ratio_max,private_K_ratio_min,private_K_ratio_median,private_K_ratio_max,GovInv_ratio_min,GovInv_ratio_median,GovInv_ratio_max,K_above_1p05,K_above_1p25,K_above_2,K_below_0p95,K_below_0p75,K_below_0p5,labor_ratio_min,labor_ratio_median,labor_ratio_max,labor_outside_0p8_1p2,national_Ktarget,national_private_K,national_GovInv,national_firm_total_K,national_Ltarget_proxy,national_firm_destination_labor,max_KN_gap,max_Y_prev_gap,max_GDP_level_gap,zt_adjusted_count,govinv_decrease,govinv_increase,govinv_hold,hjb_converged_count,hjb_nonconverged_but_continued_count,hjb_nonconverged_provinces,hjb_failures,kfe_failures,kfe_diagnostic_only_count
1,20,0,0,31,4,3,24,1.0009496604680541,1.0032099909906587,1.034865162027094,0.0009496604680542149,0.003209990990658578,0.03486516202709419,1.0,1.0,1.0,0,0,0,0,0,0,4.4014348917986155,14.07378963735567,150.14233775940386,31,2481992906.900551,6633077.122860028,2481992906.900551,2488625984.0234103,14031000.0,169659242.66052067,11.691775484309217,2.8108779831004473,2.8108779831004473,0,0,0,31,20,11,安徽|江西|河南|湖北|湖南|广东|广西|重庆|四川|贵州|甘肃,11,0,31
2,25,0,0,31,4,3,24,1.000937332893973,1.0031711848394367,1.034460098778785,0.0009373328939728828,0.003171184839436709,0.03446009877878513,1.0,1.0,1.0,0,0,0,0,0,0,4.4544292679713,14.557138428746123,146.18702901632287,31,2481992906.900551,6556241.103462135,2481992906.900551,2488549148.004013,14031000.0,173034230.94079438,0.5601778064628193,0.014465259371241102,2.7832315607338667,0,0,0,31,25,6,山西|安徽|河南|四川|甘肃|宁夏,6,0,31
3,23,0,0,31,4,3,24,1.0009292069719902,1.0031452960175358,1.034188780530012,0.0009292069719901895,0.003145296017535661,0.03418878053001201,1.0,1.0,1.0,0,0,0,0,0,0,4.450508797872615,14.548497773398717,145.9859452947329,31,2481992906.900551,6504762.485632454,2481992906.900551,2488497669.386183,14031000.0,173023076.30531907,0.1749311139261842,0.00416553873431913,2.7811357819896765,0,0,0,31,23,8,河北|安徽|江西|河南|湖南|四川|贵州|新疆,8,0,31
4,21,0,0,31,4,3,24,1.0009353035229194,1.0031646043385962,1.0343911804596975,0.0009353035229192269,0.0031646043385963408,0.03439118045969756,1.0,1.0,1.0,0,0,0,0,0,0,4.446131167627322,14.534742968432916,145.85679936782205,31,2481992906.900551,6543172.270194251,2481992906.900551,2488536079.1707454,14031000.0,172848757.18415752,0.0771811160396364,0.00048508585275497396,2.780805478689587,31,0,31,0,21,10,山西|辽宁|安徽|江西|湖南|四川|贵州|甘肃|宁夏|新疆,10,0,31
5,20,0,1,30,12,6,13,1.1009432877530752,1.1031898918362135,1.1346562508375386,0.0009432877530749476,0.0031898918362131927,0.03465625083753858,1.1,1.1,1.1,31,0,0,0,0,0,4.444716398419849,14.53085956203649,145.83344245687644,31,2481992906.900551,6593475.160102176,2730192197.590606,2736785672.7507086,14031000.0,172808133.48519635,0.12666963580066892,0.716825791304613,0.07274731764087838,0,0,0,31,20,11,北京|河北|安徽|江西|山东|河南|湖南|四川|贵州|甘肃|宁夏,11,0,31
6,31,0,1,30,11,7,13,1.100923199687266,1.1031269017946128,1.1339920428325694,0.0009231996872657894,0.0031269017946127034,0.03399204283256937,1.1,1.1,1.1,31,0,0,0,0,0,4.664206140023472,14.41421450233006,154.68099867677134,31,2481992906.900551,6469335.973753748,2730192197.590606,2736661533.56436,14031000.0,176370295.3055191,0.08910752651597464,0.01570876041176472,0.08924858324708729,31,0,31,0,31,0,,0,0,31
7,31,0,2,29,10,8,13,1.2109225717003151,1.2131247924304038,1.2439692385496146,0.0009225717003148577,0.0031247924304034277,0.033969238549614436,1.21,1.2100000000000002,1.2100000000000004,31,0,0,0,0,0,4.623809687729492,14.293585291643975,153.3579874019005,31,2481992906.900551,6464975.192394234,3003211417.349667,3009676392.5420613,14031000.0,175691432.22792548,0.14839117589768258,0.01758415469387331,0.07839216835065455,0,0,0,31,31,0,,0,0,31
8,29,0,2,29,10,8,13,1.2109297165310773,1.2132319369500277,1.245092350848396,0.0009297165310772159,0.003231936950027264,0.03509235084839592,1.21,1.2100000000000002,1.2100000000000004,31,0,0,0,0,0,4.613312893465668,14.261748005207378,153.01473699166573,31,2481992906.900551,6678110.994301281,3003211417.349667,3009889528.343969,14031000.0,175276930.10356295,0.05784637290617689,0.001092950353298594,0.07779175033295127,31,0,31,0,29,2,黑龙江|山东,2,0,31
9,30,0,4,27,10,8,13,1.3319252550693421,1.3341334115982528,1.3650580543919444,0.0009252550693418227,0.0031334115982521674,0.03405805439194407,1.3310000000000002,1.3310000000000004,1.3310000000000006,31,31,0,0,0,0,4.6238366548849,14.294777646305418,153.3630614359865,31,2481992906.900551,6481830.764913478,3303532559.084635,3310014389.8495474,14031000.0,175672345.87025687,0.12142256201214408,0.004298709085131636,0.07349466524675874,0,0,0,31,30,1,宁夏,1,0,31
10,30,0,4,27,10,8,13,1.3319225753059416,1.3341249344082529,1.3649691939856214,0.0009225753059411863,0.003124934408252454,0.033969193985620934,1.3310000000000002,1.3310000000000004,1.3310000000000006,31,31,0,0,0,0,4.626327094554985,14.302326974728219,153.44826618464677,31,2481992906.900551,6464969.798312115,3303532559.084635,3309997528.8829465,14031000.0,175720200.87963843,0.04473118441578339,0.00026505558906719795,0.07364322657048206,31,0,30,1,30,1,山东,1,0,31
11,31,0,5,26,10,8,13,1.343133161693277,1.46717722694596,1.4980593713546815,0.0009221647364550094,0.003122491508616173,0.03395937135468111,1.3310000000000002,1.4641000000000004,1.4641000000000008,31,31,0,0,0,0,4.625813098766721,14.300756143477225,153.4305520289958,31,2481992906.900551,6463106.068085123,3631546128.9509125,3638009235.0189986,14031000.0,175681480.44802132,0.11961609449518296,0.06780567272910842,0.07279731233324793,0,0,0,31,31,0,,0,0,31
12,31,0,5,26,10,8,13,1.343132081988156,1.4671769575181337,1.4980564518707822,0.0009221795208251764,0.0031221975786500707,0.03395645187078168,1.3310000000000002,1.4641000000000004,1.4641000000000008,31,31,0,0,0,0,4.626260617931372,14.302140372911156,153.4430841060645,31,2481992906.900551,6462552.498398404,3631546128.9509125,3638008681.44931,14031000.0,175690487.57236177,0.044822165800305624,0.00024071125567948215,0.0728247858820874,30,0,29,2,31,0,,0,0,31
13,31,0,6,25,10,8,13,1.3430935000449478,1.6135385376888962,1.6443077740660172,0.000917408889922062,0.003116668095511984,0.033797774066016785,1.3310000000000002,1.6105100000000006,1.610510000000001,31,31,0,0,0,0,4.625752132423086,14.300583491397575,153.42492224741886,31,2481992906.900551,6432439.877854642,3982652767.15939,3989085207.037247,14031000.0,175650660.73920658,0.11978122264499058,0.06780670351577278,0.07280017008366824,0,0,0,31,31,0,,0,0,31
14,29,0,6,25,10,8,13,1.3433818013166992,1.613610751960227,1.6451089730640223,0.0009174156971650097,0.0031930947761410443,0.03459897306402191,1.3310000000000002,1.6105100000000006,1.610510000000001,31,31,0,0,0,0,4.627670952992357,14.306449735519603,153.48662190964416,31,2481992906.900551,6584485.263744522,3982652767.15939,3989237252.4231358,14031000.0,175725461.94411328,0.044445181203638384,0.0005981634102318889,0.07293101522363465,29,0,27,4,29,2,山东|陕西,2,0,31
