turn,province_index,province_name,Ktarget_2018_MU,Kt_supply_private_MU,GovInv_before_MU,GovInv_after_MU,firm_K_total_MU,firm_K_total_over_Ktarget,private_K_over_Ktarget,GovInv_before_over_Ktarget,GovInv_after_over_Ktarget,Ltarget_proxy_NU,firm_Lt_supply,firm_Lt_over_population_proxy,net_destination_labor_gain_loss_NU,top_origin_index,top_origin_province,top_origin_contribution,top_origin_share_of_destination_supply,A,B,L,C,firm_ra0,firm_ra_used,household_rah,firm_wage_raw,firm_wage_used,household_composite_wage,Y,Zt,nk_gap,yt_gap,GDP_level_gap,govinv_action,kfe_diagnostic_status,hjb_converged,hjb_iterations,hjb_statistic,hjb_acceptance_classification,downstream_kfe_attempted,downstream_kfe_returned,continuation_status
1,0,北京,58719043.066994764,213805.18523752742,58719043.066994764,58719043.066994764,58932848.25223229,1.003641155817093,0.003641155817093086,1.0,1.0,219200.0,5368701.505097189,24.492251391866738,5149501.505097189,18,广东,470062.4365967846,0.08755607592459644,7.2814135433904825,4.6948401791657695,0.6639444000102773,10.832654252332844,0.9641033833582643,0.09,0.07859282907432666,3.8526878644166622,1.3,18.319859030118984,76712623.46399735,2.437920774687262,2.659037987508393,1.3171818843713328,1.3171818843713328,NONE,DIAGNOSTIC_ONLY,True,17,8.547302199346518e-09,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
1,1,天津,64593598.72309723,211034.53168273813,64593598.72309723,64593598.72309723,64804633.254779965,1.0032671121574663,0.003267112157466416,1.0,1.0,138300.0,5434689.380967647,39.29638019499383,5296389.380967647,18,广东,477148.22484024696,0.08779677942795154,7.27985472108661,4.700013574015612,0.674477675724933,11.103693258342576,0.36644681000882495,0.09,0.06490365475420734,1.6562963807243418,1.3,18.198003011640164,35036193.70113499,1.034748432816036,2.974752355472031,1.621900463307739,1.621900463307739,NONE,DIAGNOSTIC_ONLY,True,27,3.770028733640629e-11,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
1,2,河北,113705229.18254791,213287.10621640403,113705229.18254791,113705229.18254791,113918516.28876431,1.0018757897745756,0.0018757897745756487,1.0,1.0,742600.0,5579817.062945651,7.513893163137155,4837217.062945651,18,广东,491522.1672775933,0.08808929786277132,7.285540421362414,4.689053727683108,0.6601134967866474,10.558430329101128,0.32948900655730984,0.09,0.08640803056619092,2.568095058516758,1.3,18.121763089356133,55183125.43565868,1.067338636199028,5.805391347879627,0.6982244876274422,0.6982244876274422,NONE,DIAGNOSTIC_ONLY,True,35,2.8269918406209626e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
1,3,山西,53478727.38884524,217445.6554917545,53478727.38884524,53478727.38884524,53696173.044337,1.0040660215025443,0.004066021502544393,1.0,1.0,350200.0,5572056.408280555,15.91106912701472,5221856.408280555,18,广东,491500.78451992443,0.08820814947054592,7.284866502416373,4.689527842212533,0.6596120927891331,10.597839877871897,0.4261827187065441,0.09,0.08643576394514026,1.5428164167345995,1.3,18.203099062044032,33038040.3348269,1.1136984900932783,2.21222956779714,1.0702991167386409,1.0702991167386409,NONE,DIAGNOSTIC_ONLY,True,49,2.10115258525434e-10,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
1,4,内蒙古,82165502.99427319,209594.86340788676,82165502.99427319,82165502.99427319,82375097.85768107,1.0025508863911232,0.0025508863911232337,1.0,1.0,242200.0,5450885.927139339,22.505722242524108,5208685.927139339,18,广东,477377.26783548103,0.08757792296820488,7.290695301981074,4.694635423943938,0.6719414867687957,10.616873173331285,0.29596763924320724,0.09,0.07370607384987489,1.7201638107523831,1.3,17.638053822269907,36552362.82533013,0.9036347315500086,4.037413425925552,1.2645942472077052,1.2645942472077052,NONE,DIAGNOSTIC_ONLY,True,26,4.778821782736031e-11,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
1,5,辽宁,90061052.78222083,211735.20840679316,90061052.78222083,90061052.78222083,90272787.99062762,1.0023510185797937,0.002351018579793821,1.0,1.0,429100.0,5439446.864518635,12.676408446792438,5010346.864518635,18,广东,476273.9478325569,0.08755926102326304,7.2972863401635415,4.682902434745981,0.6713203024088547,9.949935463621017,0.34507274161069207,0.09,0.08254889155973023,2.1793309108701604,1.3,16.72579387534917,45803221.37778715,1.0589248653382726,4.531983321041616,0.948202776537596,0.948202776537596,NONE,DIAGNOSTIC_ONLY,True,15,4.6158866284784494e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
1,6,吉林,66308917.7271201,212851.0285043764,66308917.7271201,66308917.7271201,66521768.75562448,1.0032099909906587,0.003209990990658578,1.0,1.0,248400.0,5419451.9390971605,21.817439368346058,5171051.9390971605,18,广东,473108.60658222786,0.08729823825341353,7.306324473833281,4.681257646550685,0.6791781246847705,9.665849490645694,0.2500239810461801,0.09,0.0786566974876448,1.1927904288322437,1.1927904288322437,15.98491210464971,25291079.34885135,0.7331983987589327,3.091543419468999,1.2473368416758204,1.2473368416758204,NONE,DIAGNOSTIC_ONLY,True,15,3.5706573253690976e-09,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
1,7,黑龙江,58424879.89838116,216092.14282312893,58424879.89838116,58424879.89838116,58640972.04120429,1.0036986322128343,0.003698632212834321,1.0,1.0,332700.0,5355652.504028498,16.09754284348812,5022952.504028498,18,广东,464857.5858072694,0.08679756303412246,7.319571303590979,4.668183103556843,0.6836297374851197,8.926366475532,0.30491023268678946,0.09,0.08488059053640952,1.2817948451705385,1.2817948451705385,14.782111996765861,26670177.80702681,0.8512301435859188,2.6497869616630783,1.0760656838070144,1.0760656838070144,NONE,DIAGNOSTIC_ONLY,True,13,7.462075846120797e-09,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
1,8,上海,66125294.30800852,212894.61965239004,66125294.30800852,66125294.30800852,66338188.92766091,1.0032195640394541,0.0032195640394542045,1.0,1.0,247500.0,5384965.240367837,21.757435314617524,5137465.240367837,18,广东,482469.5213680828,0.08959566122197034,7.284165435653269,4.69322945058422,0.6656559065380905,10.689503573854708,0.8989398553008792,0.09,0.0786410648427616,4.038856029254091,1.3,18.0332764190634,80872859.66073647,2.353254580746131,3.1063829858710763,1.245732222791876,1.245732222791876,NONE,DIAGNOSTIC_ONLY,True,18,3.760773470418144e-09,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
1,9,江苏,203535217.25929242,197491.38772618957,203535217.25929242,203535217.25929242,203732708.6470186,1.0009703057307995,0.0009703057307993861,1.0,1.0,844600.0,5442273.339288691,6.443610394611285,4597673.339288691,18,广东,486635.4487825327,0.08941767868758616,7.281748896323775,4.693511506563083,0.6628712791095902,10.772692990875354,0.53356536374687,0.09,0.08042908909180554,7.419734668805801,1.3,18.287049574345293,151942086.80804557,1.9260565786278652,11.478407211206987,0.6301469709341896,0.6301469709341896,NONE,DIAGNOSTIC_ONLY,True,17,4.77480961436072e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
