province_index,province_name,Y0_MU,L0_NU,K0_MU,Y_over_L_MU_per_NU,mt,labor_share_1_minus_alpha,wage_raw_identity,wage_raw_accepted,wage_identity_abs_error,wage_used,wage_raw_to_1p3,wage_bound_status,Y_over_K,mpk_component_mt_alpha_Y_over_K,firm_depreciation_component,gross_profit_before_adjustment_MU,price_adjustment_cost_Thetat_MU,profit_floor_applied,PIt_after_floor_MU,Corptax_before_clipping_MU,profit_dividend_after_tax_component,other_additive_return_component,ra_raw_component_sum,ra_raw_accepted,ra_identity_abs_error,ra_used,ra_raw_to_0p09,ra_bound_status,wage_classification,return_classification
1,北京,33106000.0,219200.0,58719043.066994764,151.0310218978102,0.92,0.26190608531315174,36.39146820961234,36.39146820961234,0.0,1.3,27.993437084317186,above,0.5638034659765848,0.3828487147313371,-0.025,2648479.9999999986,662120.0,False,1986359.9999999986,496589.99999999965,0.0253711559689463,0.0,0.38321987070028335,0.38321987070028335,0.0,0.09,4.257998563336482,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
2,天津,13362900.0,138300.0,64593598.72309723,96.62255965292842,0.92,0.26190608531315174,23.281553443504166,23.28155344350417,3.552713678800501e-15,1.3,17.90888726423397,above,0.20687653674917056,0.1404787678367687,-0.025,1069031.9999999995,267258.0,False,801773.9999999995,200443.49999999988,0.00930944415371267,0.0,0.12478821199048136,0.12478821199048139,2.7755575615628914e-17,0.09,1.3865356887831262,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
3,河北,32494600.0,742600.0,113705229.18254791,43.75787772690547,0.92,0.26190608531315174,10.543618100500137,10.543618100500137,0.0,1.3,8.110475461923182,above,0.2857792929455477,0.19405740050128942,-0.025,2599567.9999999986,649892.0,False,1949675.9999999986,487418.99999999965,0.01286006818254964,0.0,0.18191746868383907,0.18191746868383907,0.0,0.09,2.021305207598212,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
4,山西,15958100.0,350200.0,53478727.38884524,45.56853226727584,0.92,0.26190608531315174,10.979901827621195,10.979901827621196,1.7763568394002505e-15,1.3,8.44607832893938,above,0.298400892825445,0.2026280524810567,-0.025,1276647.9999999993,319162.0,False,957485.9999999993,239371.49999999983,0.013428040177145016,0.0,0.19105609265820173,0.19105609265820173,0.0,0.09,2.122845473980019,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
5,内蒙古,16140800.0,242200.0,82165502.99427319,66.64244426094137,0.92,0.26190608531315174,16.057736756716427,16.057736756716427,0.0,1.3,12.352105197474174,above,0.19644253867861053,0.1333935989935728,-0.025,1291263.9999999993,322816.0,False,968447.9999999993,242111.99999999983,0.00883991424053747,0.0,0.11723351323411028,0.11723351323411026,2.7755575615628914e-17,0.09,1.3025945914901143,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
6,辽宁,23510500.0,429100.0,90061052.78222083,54.79025868096015,0.92,0.26190608531315174,13.201909991271187,13.201909991271187,0.0,1.3,10.155315377900912,above,0.26105069032283473,0.17726553187591843,-0.025,1880839.999999999,470210.0,False,1410629.999999999,352657.49999999977,0.011747281064527553,0.0,0.16401281294044598,0.16401281294044595,2.7755575615628914e-17,0.09,1.8223645882271775,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
7,吉林,11253800.0,248400.0,66308917.7271201,45.30515297906602,0.92,0.26190608531315174,10.916439640359805,10.916439640359805,0.0,1.3,8.397261261815235,above,0.169717745150246,0.11524622411698834,-0.025,900303.9999999995,225076.0,False,675227.9999999995,168806.99999999988,0.0076372985317610656,0.0,0.09788352264874942,0.09788352264874942,0.0,0.09,1.0875946960972158,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
8,黑龙江,12846500.0,332700.0,58424879.89838116,38.61286444244064,0.92,0.26190608531315174,9.30390863533926,9.30390863533926,0.0,1.3,7.156852796414816,above,0.21988064027421222,0.14930915754033647,-0.025,1027719.9999999995,256930.0,False,770789.9999999995,192697.49999999988,0.009894628812339544,0.0,0.13420378635267602,0.134203786352676,2.7755575615628914e-17,0.09,1.4911531816964003,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
9,上海,36011800.0,247500.0,66125294.30800852,145.50222222222223,0.92,0.26190608531315174,35.05928403245958,35.05928403245958,0.0,1.3,26.968680024968908,above,0.544599466465264,0.3698083079685384,-0.025,2880943.9999999986,720236.0,False,2160707.9999999986,540176.9999999997,0.024506975990936868,0.0,0.36931528395947527,0.36931528395947527,0.0,0.09,4.1035031551052805,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
10,江苏,93207600.0,844600.0,203535217.25929242,110.35709211461047,0.92,0.26190608531315174,26.590938463698073,26.590938463698077,3.552713678800501e-15,1.3,20.454568048998517,above,0.45794335376004613,0.31096478646705056,-0.025,7456607.999999996,1864152.0,False,5592455.999999996,1398113.999999999,0.02060745091920206,0.0,0.3065722373862526,0.3065722373862526,0.0,0.09,3.406358193180585,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
11,浙江,58002800.0,627300.0,124249656.20818298,92.46421170094054,0.92,0.26190608531315174,22.279584540707067,22.279584540707074,7.105427357601002e-15,1.3,17.13814195439005,above,0.4668246317141921,0.31699558630264035,-0.025,4640223.999999998,1160056.0,False,3480167.999999998,870041.9999999995,0.021007108427138634,0.0,0.313002694729779,0.31300269472977893,5.551115123125783e-17,0.09,3.4778077192197667,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
12,安徽,34010900.0,607600.0,70182433.35888097,55.975806451612904,0.92,0.26190608531315174,13.487571992789512,13.487571992789512,0.0,1.3,10.375055379068854,above,0.4846070216186971,0.329070654177576,-0.025,2720871.9999999986,680218.0,False,2040653.9999999986,510163.49999999965,0.021807315972841357,0.0,0.32587797015041736,0.32587797015041736,0.0,0.09,3.6208663350046373,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
13,福建,38687800.0,410400.0,87795538.11850408,94.26851851851852,0.92,0.26190608531315174,22.714338761179093,22.714338761179093,0.0,1.3,17.47256827783007,above,0.4406579289687847,0.29922718096393985,-0.025,3095023.9999999986,773756.0,False,2321267.9999999986,580316.9999999997,0.0198296068035953,0.0,0.29405678776753513,0.29405678776753513,0.0,0.09,3.2672976418615014,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
14,江西,22716500.0,451300.0,51050047.92908307,50.33569687569244,0.92,0.26190608531315174,12.128567294604286,12.128567294604284,1.7763568394002505e-15,1.3,9.329667149695604,above,0.444984890740102,0.30216538878423244,-0.025,1817319.999999999,454330.0,False,1362989.999999999,340747.49999999977,0.020024320083304577,0.0,0.297189708867537,0.297189708867537,0.0,0.09,3.302107876305967,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
15,山东,66648899.99999999,1007700.0,210016973.07581103,66.13962488835962,0.92,0.26190608531315174,15.936580619503324,15.936580619503328,3.552713678800501e-15,1.3,12.258908168848711,above,0.31735006472996524,0.21549541947445158,-0.025,5331911.999999996,1332977.9999999998,False,3998933.9999999963,999733.4999999991,0.014280752912848423,0.0,0.2047761723873,0.20477617238729998,2.7755575615628914e-17,0.09,2.2752908043033333,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
16,河南,49935900.0,986400.0,168320556.01470312,50.624391727493915,0.92,0.26190608531315174,12.19812935801084,12.198129358010842,1.7763568394002505e-15,1.3,9.383176429239107,above,0.2966714296953606,0.20145366676602536,-0.025,3994871.999999998,998718.0,False,2996153.999999998,749038.4999999995,0.013350214336291218,0.0,0.18980388110231658,0.18980388110231658,0.0,0.09,2.108932012247962,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
17,湖北,42022000.0,591700.0,101805153.6623069,71.01909751563292,0.92,0.26190608531315174,17.112307107769006,17.11230710776901,3.552713678800501e-15,1.3,13.163313159822312,above,0.41276888731379163,0.2802892275865013,-0.025,3361759.999999998,840440.0,False,2521319.999999998,630329.9999999995,0.01857459992912061,0.0,0.2738638275156219,0.273863827515622,1.1102230246251565e-16,0.09,3.042931416840243,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
18,湖南,36329700.0,663500.0,93791807.14892803,54.75463451394122,0.92,0.26190608531315174,13.193326220034834,13.193326220034834,0.0,1.3,10.148712476949871,above,0.38734406665513554,0.2630245946091555,-0.025,2906375.9999999986,726594.0,False,2179781.9999999986,544945.4999999997,0.017430482999481092,0.0,0.2554550776086366,0.2554550776086366,0.0,0.09,2.8383897512070737,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
19,广东,99945200.0,1234800.0,191259406.86816654,80.94039520570132,0.92,0.26190608531315174,19.502879487862657,19.50287948786266,3.552713678800501e-15,1.3,15.002214990663582,above,0.5225635781088214,0.35484491727597806,-0.025,7995615.999999996,1998904.0,False,5996711.999999996,1499177.999999999,0.02351536101489695,0.0,0.35336027829087496,0.35336027829087496,0.0,0.09,3.926225314343055,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
20,广西,19627800.0,494700.0,67306708.83876626,39.67616737416616,0.92,0.26190608531315174,9.56011530302147,9.56011530302147,0.0,1.3,7.353934848478054,above,0.2916172895486325,0.1980216710866528,-0.025,1570223.9999999993,392556.0,False,1177667.9999999993,294416.9999999998,0.013122778029688453,0.0,0.18614444911634126,0.18614444911634126,0.0,0.09,2.0682716568482364,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
21,海南,4910700.0,98200.0,14673330.466888333,50.0071283095723,0.92,0.26190608531315174,12.049397516247563,12.049397516247566,3.552713678800501e-15,1.3,9.268767320190433,above,0.3346683979537862,0.22725537133027118,-0.025,392855.9999999998,98214.0,False,294641.9999999998,73660.49999999996,0.01506007790792037,0.0,0.21731544923819157,0.21731544923819157,0.0,0.09,2.414616102646573,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
22,重庆,21588800.0,316300.0,50663834.63130832,68.25418906101802,0.92,0.26190608531315174,16.446092466139376,16.44609246613938,3.552713678800501e-15,1.3,12.65084035856875,above,0.4261185549239683,0.2893542713385718,-0.025,1727103.999999999,431776.0,False,1295327.999999999,323831.99999999977,0.01917533497157856,0.0,0.28352960631015034,0.28352960631015034,0.0,0.09,3.1503289590016705,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
23,四川,42902100.0,832100.0,94830047.41899477,51.5588270640548,0.92,0.26190608531315174,12.423284914909624,12.423284914909623,1.7763568394002505e-15,1.3,9.556373011468942,above,0.4524104033233518,0.3072076563832696,-0.025,3432167.999999998,858042.0,False,2574125.999999998,643531.4999999995,0.020358468149550817,0.0,0.3025661245328204,0.30256612453282034,5.551115123125783e-17,0.09,3.361845828142449,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
24,贵州,15353200.0,382200.0,39447014.665611394,40.170591313448455,0.92,0.26190608531315174,9.6792485303702,9.6792485303702,0.0,1.3,7.445575792592462,above,0.3892106951602706,0.26429212197852703,-0.025,1228255.9999999993,307064.0,False,921191.9999999993,230297.99999999983,0.017514481282212165,0.0,0.2568066032607392,0.2568066032607392,0.0,0.09,2.853406702897102,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
25,云南,20880600.0,470300.0,68611984.86091176,44.398469062300656,0.92,0.26190608531315174,10.697970887923905,10.697970887923907,1.7763568394002505e-15,1.3,8.229208375326081,above,0.30432875600856835,0.20665334664421148,-0.025,1670447.999999999,417612.0,False,1252835.999999999,313208.99999999977,0.013694794020385566,0.0,0.19534814066459705,0.19534814066459705,0.0,0.09,2.1705348962733004,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
26,西藏,1548400.0,35400.0,6325734.326183821,43.740112994350284,0.92,0.26190608531315174,10.539337624264787,10.539337624264785,1.7763568394002505e-15,1.3,8.10718278789599,above,0.24477790564026364,0.16621555599464055,-0.025,123871.99999999994,30968.0,False,92903.99999999994,23225.999999999985,0.011015005753811856,0.0,0.15223056174845243,0.15223056174845243,0.0,0.09,1.6914506860939158,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
27,陕西,23941900.0,393100.0,73897910.2910824,60.90536759094378,0.92,0.26190608531315174,14.675367488278383,14.675367488278386,3.552713678800501e-15,1.3,11.288744221752602,above,0.3239861574663388,0.22000163436718528,-0.025,1915351.999999999,478838.0,False,1436513.999999999,359128.49999999977,0.014579377085985237,0.0,0.20958101145317054,0.20958101145317054,0.0,0.09,2.3286779050352284,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
28,甘肃,8104100.0,251500.0,25177704.67938732,32.22306163021869,0.92,0.26190608531315174,7.764262654105002,7.7642626541050035,1.7763568394002505e-15,1.3,5.972509733926924,above,0.321876044826069,0.21856876997202532,-0.025,648327.9999999997,162082.0,False,486245.99999999965,121561.49999999991,0.014484422017173095,0.0,0.20805319198919842,0.2080531919891984,2.7755575615628914e-17,0.09,2.311702133213316,above,PRICE_BOUND_HITS_PRIMARILY_UNIT_NORMALIZATION_MISMATCH,PRICE_BOUND_HITS_PRIMARILY_ECONOMIC_RATIO_LEVELS
