stage,turn,Ktarget,private_K,GovInv,total_K_ratio,rah,HJB_converged,HJB_iterations,HJB_statistic,HJB_classification,KFE_classification,govinv_action
INITIALIZATION_OBSERVATION,0,70182433.35888097,218901.27196706057,69963532.08691391,1.0,0.08895777765800762,False,,,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,NOT_APPLICABLE
OUTER_TRAJECTORY,1,70182433.35888097,218901.27196706057,69963532.08691391,1.0,0.08895777765800762,False,100,0.18862667495966345,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,NONE
OUTER_TRAJECTORY,2,70182433.35888097,219207.61008344483,69963532.08691391,1.0000043648830872,0.08895777765800762,False,100,0.006402964078555895,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,NONE
OUTER_TRAJECTORY,3,70182433.35888097,214508.1663535131,69963532.08691391,0.9999374044842378,0.08895790152286001,True,46,5.211453490971962e-11,HJB_CONVERGED,DIAGNOSTIC_ONLY,NONE
OUTER_TRAJECTORY,4,70182433.35888097,213623.38810731267,69963532.08691391,0.9999247976508202,0.08895790152286001,False,100,1.0393021657076749,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,HIGH_RA_INCREASE_1P1
OUTER_TRAJECTORY,5,70182433.35888097,218778.0400911276,76959885.29560532,1.0996863408973003,0.08895790152286001,True,87,4.8421328280312537e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,NONE
OUTER_TRAJECTORY,6,70182433.35888097,213773.39349384038,76959885.29560532,1.0996150317910502,0.08895790152286001,True,14,4.382041396411296e-10,HJB_CONVERGED,DIAGNOSTIC_ONLY,HIGH_RA_INCREASE_1P1
OUTER_TRAJECTORY,7,70182433.35888097,213633.1808358856,84655873.82516585,1.2092699404139748,0.08895762305820566,True,13,5.428114935313033e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,NONE
OUTER_TRAJECTORY,8,70182433.35888097,213634.80458129867,84655873.82516585,1.2092699635500408,0.08895770620343509,True,13,5.726638185876709e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,HIGH_RA_INCREASE_1P1
OUTER_TRAJECTORY,9,70182433.35888097,218281.06464148642,93121461.20768245,1.329958763256712,0.08895652758439515,True,13,6.180066103311788e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,NONE
OUTER_TRAJECTORY,10,70182433.35888097,213654.593807011,93121461.20768245,1.3298928426179843,0.08895652732517556,True,13,6.719528133913855e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,HIGH_RA_INCREASE_1P1
OUTER_TRAJECTORY,11,70182433.35888097,213467.00215085602,102433607.3284507,1.4625750265128485,0.08895505681886144,True,13,7.21300121853119e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,NONE
OUTER_TRAJECTORY,12,70182433.35888097,213455.31661813767,102433607.3284507,1.4625748600106034,0.0889550691005822,True,13,7.32126634872543e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,HIGH_RA_INCREASE_1P1
OUTER_TRAJECTORY,13,70182433.35888097,212682.2151460446,112676968.06129578,1.6085171869031047,0.08895206963124902,True,13,7.69027868052774e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,NONE
OUTER_TRAJECTORY,14,70182433.35888097,217968.02258916973,112676968.06129578,1.6085925021520944,0.08895207023878413,True,13,7.721341122035597e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,HIGH_RA_INCREASE_1P1
OUTER_TRAJECTORY,15,70182433.35888097,209794.3772148207,123944664.86742537,1.76902471605353,0.08894895713656485,True,13,7.816549985051324e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,NONE
OUTER_TRAJECTORY,16,70182433.35888097,209817.05429490408,123944664.86742537,1.7690250391697142,0.08894896032100626,True,13,7.909328525457227e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,HIGH_RA_INCREASE_1P1
OUTER_TRAJECTORY,17,70182433.35888097,210240.7324477862,136339131.3541679,1.94563462039517,0.08894647879733875,True,13,7.980728433665263e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,NONE
OUTER_TRAJECTORY,18,70182433.35888097,208326.74121471366,136339131.3541679,1.9456073487384113,0.08894647708160595,True,13,7.973878668465773e-08,HJB_CONVERGED,DIAGNOSTIC_ONLY,HIGH_RA_INCREASE_1P1
