turn,adaptation_gate_open,govinv_decrease,govinv_increase,govinv_hold,zt_adjusted_count,ra_lower,ra_interior,ra_upper,max_KN_gap,source_final_predicate
1,False,0,0,31,0,0,0,31,11.67973404214395,False
2,False,0,0,31,0,0,0,31,0.5717091591987256,False
3,False,0,0,31,0,0,0,31,0.18269039505112172,False
4,True,0,31,0,31,0,0,31,0.08506639706180075,False
5,False,0,0,31,0,0,1,30,0.12902530588228012,False
6,True,0,31,0,31,0,1,30,0.08462202115692197,False
7,False,0,0,31,0,0,2,29,0.14620833024139945,False
8,True,0,31,0,31,0,2,29,0.05426945608458,False
9,False,0,0,31,0,0,4,27,0.12402337931372243,False
10,True,0,30,1,31,0,4,27,0.04467542392372148,False
11,False,0,0,31,0,0,5,26,0.11944282259173278,False
12,True,0,29,2,30,0,5,26,0.04467310020854631,False
13,False,0,0,31,0,0,6,25,0.1198624260810921,False
14,True,0,27,4,29,0,6,25,0.04458464052855682,False
15,False,0,0,31,0,0,9,22,0.12030381915933375,False
16,True,0,26,5,27,0,9,22,0.044825744981083604,False
17,False,0,0,31,0,0,10,21,0.120559108549948,False
18,True,0,25,6,26,0,10,21,0.045204741805283666,False
19,False,0,0,31,0,0,15,16,0.12089970257072036,False
20,True,0,22,9,25,0,15,16,0.04367608520970778,False
21,False,0,0,31,0,0,18,13,0.12134882588687756,False
22,True,0,21,10,22,0,18,13,0.04419127567040748,False
23,False,0,0,31,0,0,18,13,0.1229363797215759,False
24,True,0,16,15,21,0,18,13,0.04584426190486912,False
25,False,0,0,31,0,0,21,10,0.12099132683728997,False
