turn,G0_total_K_ratio_min,G1_total_K_ratio_min,G1_minus_G0_total_K_ratio_min,G0_total_K_ratio_median,G1_total_K_ratio_median,G1_minus_G0_total_K_ratio_median,G0_total_K_ratio_max,G1_total_K_ratio_max,G1_minus_G0_total_K_ratio_max,G0_GovInv_ratio_median,G1_GovInv_ratio_median,G1_minus_G0_GovInv_ratio_median,G0_private_K_ratio_median,G1_private_K_ratio_median,G1_minus_G0_private_K_ratio_median,G0_ra_lower,G1_ra_lower,G1_minus_G0_ra_lower,G0_ra_interior,G1_ra_interior,G1_minus_G0_ra_interior,G0_ra_upper,G1_ra_upper,G1_minus_G0_ra_upper,G0_max_KN_gap,G1_max_KN_gap,G1_minus_G0_max_KN_gap,G0_max_GDP_level_gap,G1_max_GDP_level_gap,G1_minus_G0_max_GDP_level_gap,G0_govinv_decrease,G1_govinv_decrease,G1_minus_G0_govinv_decrease,G0_govinv_increase,G1_govinv_increase,G1_minus_G0_govinv_increase,G0_govinv_hold,G1_govinv_hold,G1_minus_G0_govinv_hold,G0_HJB_converged_count,G1_HJB_converged_count,G1_minus_G0_HJB_converged_count
1,1.0009496604680541,1.0,-0.0009496604680541143,1.0032099909906587,1.0,-0.003209990990658662,1.034865162027094,1.0,-0.03486516202709411,1.0,0.9967900090093413,-0.003209990990658662,0.003209990990658578,0.003209990990658578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,11.691775484309217,11.67973404214395,-0.012041442165266147,2.8108779831004473,2.715689591397689,-0.0951883917027585,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,20.0,20.0,0.0
2,1.000937332893973,0.9999934321685441,-0.0009439007254289367,1.0031711848394367,1.0000064690135537,-0.0031647158258829577,1.034460098778785,1.0000696906605124,-0.03439040811827265,1.0,0.9967900090093413,-0.003209990990658662,0.003171184839436709,0.0032129962079982984,4.181136856158934e-05,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.5601778064628193,0.5717091591987256,0.01153135273590622,2.7832315607338667,2.6830926714031764,-0.10013888933069026,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,25.0,23.0,-2.0
3,1.0009292069719902,0.9992512316314393,-0.001677975340550919,1.0031452960175358,0.9999309018620572,-0.0032143941554785282,1.034188780530012,0.9999891811710685,-0.034199599358943567,1.0,0.9967900090093413,-0.003209990990658662,0.003145296017535661,0.0031383915105305926,-6.904507005068422e-06,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.1749311139261842,0.18269039505112172,0.0077592811249375115,2.7811357819896765,2.6813930137438446,-0.09974276824583184,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,23.0,24.0,1.0
5,1.1009432877530752,1.0965174571348073,-0.004425830618267845,1.1031898918362135,1.0996842918700231,-0.003505599966190376,1.1346562508375386,1.0999050729407989,-0.03475117789673976,1.1,1.0964690099102756,-0.0035309900897244617,0.0031898918362131927,0.0032101997650052175,2.030792879202485e-05,0.0,0.0,0.0,1.0,1.0,0.0,30.0,30.0,0.0,0.12666963580066892,0.12902530588228012,0.002355670081611194,0.07274731764087838,0.07176022004539773,-0.0009870975954806571,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,20.0,21.0,1.0
10,1.3319225753059416,1.3185668352177038,-0.01335574008823781,1.3341249344082529,1.3298633729630156,-0.004261561445237261,1.3649691939856214,1.3306586730421648,-0.03431052094345666,1.3310000000000004,1.3267275019914337,-0.004272498008566661,0.003124934408252454,0.0031252254799102276,2.9107165777338476e-07,0.0,0.0,0.0,4.0,4.0,0.0,27.0,27.0,0.0,0.04473118441578339,0.04467542392372148,-5.576049206190703e-05,0.07364322657048206,0.07294013388675724,-0.0007030926837248153,0.0,0.0,0.0,30.0,30.0,0.0,1.0,1.0,0.0,30.0,31.0,1.0
15,1.3432297338643733,1.3263661360597274,-0.016863597804645858,1.7744016453786362,1.7689334802863668,-0.005468165092269439,1.8057364597641556,1.770782958449999,-0.03495350131415664,1.7715610000000008,1.7658564666441063,-0.005704533355894492,0.0031539393935032284,0.0030761343756651512,-7.780501783807717e-05,0.0,0.0,0.0,9.0,9.0,0.0,22.0,22.0,0.0,0.11977870912758526,0.12030381915933375,0.000525110031748488,0.07276692890239889,0.07262556215444005,-0.00014136674795883764,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,31.0,31.0,0.0
20,1.3426262555560828,1.3258282637555476,-0.016797991800535206,2.145773745027009,2.139620420034785,-0.006153324992224096,2.176092678071516,2.1424123558214117,-0.03368032225010431,2.143588810000001,2.1366863246393692,-0.0069024853606318715,0.0029933772767265824,0.0029330314828355814,-6.034579389100096e-05,0.0,0.0,0.0,15.0,15.0,0.0,16.0,16.0,0.0,0.04796375433560507,0.04367608520970778,-0.0042876691258972865,0.07186854955516542,0.07288250070567792,0.0010139511505125043,0.0,0.0,0.0,22.0,22.0,0.0,9.0,9.0,0.0,30.0,30.0,0.0
21,1.3428325184766654,1.3260812587683553,-0.01675125970831015,2.359925254524894,2.352756216485356,-0.007169038039537945,2.372180215735405,2.356564148007953,-0.015616067727451721,2.3579476910000015,2.349362036048516,-0.008585654951485555,0.003048129676079274,0.0030002252201177843,-4.7904455961489574e-05,0.0,0.0,0.0,18.0,18.0,0.0,13.0,13.0,0.0,0.12055999839991971,0.12134882588687756,0.0007888274869578549,0.07281641162438479,0.07234587638224377,-0.0004705352421410236,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,29.0,30.0,1.0
22,1.342381361577689,1.3257894192159605,-0.01659194236172845,2.359847270778117,2.3526688948749954,-0.007178375903121648,2.371639186927955,2.356564405557555,-0.015074781370399748,2.3579476910000015,2.349362036048516,-0.008585654951485555,0.0029280656667003448,0.0029226839283621425,-5.381738338202258e-06,0.0,0.0,0.0,18.0,18.0,0.0,13.0,13.0,0.0,0.04363016086907545,0.04419127567040748,0.00056111480133203,0.07317355477590826,0.07258184926452116,-0.0005917055113870973,0.0,0.0,0.0,21.0,21.0,0.0,10.0,10.0,0.0,30.0,31.0,1.0
23,1.3422837376949632,1.325740436006128,-0.01654330168883522,2.595625129163842,2.5868794440731135,-0.008745685090728372,2.607316602559961,2.59213104863248,-0.015185553927481,2.593742460100002,2.5831962474851733,-0.010546212614828576,0.0029020304300717446,0.0029095626613599664,7.532231288221846e-06,0.0,0.0,0.0,18.0,18.0,0.0,13.0,13.0,0.0,0.1221581404859724,0.1229363797215759,0.0007782392356034951,0.072102640490181,0.07195458766724228,-0.0001480528229387268,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,31.0,31.0,0.0
