stage,turn,province_index,province,HJB_converged,HJB_iterations,HJB_statistic,HJB_classification
INITIALIZATION_OBSERVATION,0,0,北京,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,1,天津,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,2,河北,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,3,山西,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,4,内蒙古,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,5,辽宁,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,6,吉林,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,7,黑龙江,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,8,上海,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,9,江苏,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,10,浙江,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,11,安徽,False,,,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,12,福建,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,13,江西,False,,,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,14,山东,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,15,河南,False,,,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,16,湖北,False,,,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,17,湖南,False,,,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,18,广东,False,,,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,19,广西,False,,,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,20,海南,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,21,重庆,False,,,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,22,四川,False,,,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,23,贵州,False,,,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,24,云南,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,25,西藏,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,26,陕西,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,27,甘肃,False,,,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,28,青海,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,29,宁夏,True,,,HJB_CONVERGED
INITIALIZATION_OBSERVATION,0,30,新疆,True,,,HJB_CONVERGED
OUTER_TRAJECTORY,1,0,北京,True,17,8.547302199346518e-09,HJB_CONVERGED
OUTER_TRAJECTORY,1,1,天津,True,27,3.770028733640629e-11,HJB_CONVERGED
OUTER_TRAJECTORY,1,2,河北,True,35,2.8269918406209626e-08,HJB_CONVERGED
OUTER_TRAJECTORY,1,3,山西,True,49,2.10115258525434e-10,HJB_CONVERGED
OUTER_TRAJECTORY,1,4,内蒙古,True,26,4.778821782736031e-11,HJB_CONVERGED
OUTER_TRAJECTORY,1,5,辽宁,True,15,4.6158866284784494e-08,HJB_CONVERGED
OUTER_TRAJECTORY,1,6,吉林,True,15,3.5706573253690976e-09,HJB_CONVERGED
OUTER_TRAJECTORY,1,7,黑龙江,True,13,7.462075846120797e-09,HJB_CONVERGED
OUTER_TRAJECTORY,1,8,上海,True,18,3.760773470418144e-09,HJB_CONVERGED
OUTER_TRAJECTORY,1,9,江苏,True,17,4.77480961436072e-08,HJB_CONVERGED
OUTER_TRAJECTORY,1,10,浙江,True,15,8.606957369039492e-10,HJB_CONVERGED
OUTER_TRAJECTORY,1,11,安徽,False,100,0.18862667495966345,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,12,福建,True,14,8.923409566818918e-09,HJB_CONVERGED
OUTER_TRAJECTORY,1,13,江西,False,100,0.05869183330034722,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,14,山东,True,15,7.239737698228055e-10,HJB_CONVERGED
OUTER_TRAJECTORY,1,15,河南,False,100,0.3587512505611632,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,16,湖北,False,100,0.007907594369422455,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,17,湖南,False,100,0.2058091017317485,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,18,广东,False,100,0.04680647315474018,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,19,广西,False,100,0.09121637957767925,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,20,海南,True,14,2.552571487512978e-10,HJB_CONVERGED
OUTER_TRAJECTORY,1,21,重庆,False,100,0.003659066625460339,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,22,四川,False,100,0.048200291036978093,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,23,贵州,False,100,0.3037203268799673,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,24,云南,True,60,1.4832668426834061e-10,HJB_CONVERGED
OUTER_TRAJECTORY,1,25,西藏,True,13,7.219969511140789e-09,HJB_CONVERGED
OUTER_TRAJECTORY,1,26,陕西,True,77,7.931090162394128e-08,HJB_CONVERGED
OUTER_TRAJECTORY,1,27,甘肃,False,100,0.03481466673150879,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
