province_index,province,stage_label,Ktarget_2018_MU,At_initial,Bt_initial,Lt_initial,Ct_initial,HJB_converged,HJB_classification,KFE_classification,Kt_supply_initial_MU_beta1,private_K_over_target_beta1,GovInv0_G0_MU,GovInv0_G1_MU,firm_K_accounting_G0_MU,firm_K_accounting_G1_MU,firm_K_G0_over_target,firm_K_G1_over_target,beta_a_star,outer_turn_1_initial_state_json,only_initial_state_field_replaced
0,北京,INITIALIZATION_OBSERVATION,58719043.066994764,7.2814135433904825,4.6948401791657695,0.6639444000102773,10.832654252332844,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,213805.18523752742,0.003641155817093086,58719043.066994764,58505237.88175724,58932848.25223229,58719043.066994764,1.003641155817093,1.0,274.6380683039127,"{""At"": 2.0, ""AtTax"": 0.0, ""Bt"": 1.0, ""Ct"": 4.0, ""GovInv"": 58505237.88175724, ""GovSurplus"": 0.0, ""Kt"": 58719043.066994764, ""Kt0"": 58719043.066994764, ""Kt_prev"": 58719043.066994764, ""Lt"": 219200.0, ""Lt_prev"": 219200.0, ""N"": 219200.0, ""Tt"": 0.1, ""Yt"": 33106000.0, ""Yt0"": 33106000.0, ""Zt"": 2.437920774687262, ""Zt_1"": 2.437920774687262, ""alpha"": 0.7380939146868483, ""corptau"": 0.25, ""epsilon_pi"": 0.0, ""inter_prv_ratio"": 0.1371615229287191, ""it"": 0.02, ""mt"": 0.92, ""name"": ""北京"", ""pit"": 0.02, ""pit_1"": 0.02, ""ra"": 0.09, ""rah"": 0.07859282907432666, ""ramax"": 0.09, ""ramin"": 0.02, ""rb"": 0.02, ""rb_gap"": 0.07, ""rk"": 0.3828487147313371, ""tau"": 0.05, ""totalpit"": 0.02, ""w"": 18.319859030118984, ""wjt"": 1.3, ""wjtmax"": 1.3, ""wjtmin"": 0.8}",GovInv
1,天津,INITIALIZATION_OBSERVATION,64593598.72309723,7.27985472108661,4.700013574015612,0.674477675724933,11.103693258342576,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,211034.53168273813,0.003267112157466416,64593598.72309723,64382564.19141449,64804633.254779965,64593598.72309723,1.0032671121574663,1.0,306.08070730436174,"{""At"": 2.0, ""AtTax"": 0.0, ""Bt"": 1.0, ""Ct"": 4.0, ""GovInv"": 64382564.19141449, ""GovSurplus"": 0.0, ""Kt"": 64593598.72309723, ""Kt0"": 64593598.72309723, ""Kt_prev"": 64593598.72309723, ""Lt"": 138300.0, ""Lt_prev"": 138300.0, ""N"": 138300.0, ""Tt"": 0.1, ""Yt"": 13362900.0, ""Yt0"": 13362900.0, ""Zt"": 1.034748432816036, ""Zt_1"": 1.034748432816036, ""alpha"": 0.7380939146868483, ""corptau"": 0.25, ""epsilon_pi"": 0.0, ""inter_prv_ratio"": 0.3, ""it"": 0.02, ""mt"": 0.92, ""name"": ""天津"", ""pit"": 0.02, ""pit_1"": 0.02, ""ra"": 0.09, ""rah"": 0.06490365475420734, ""ramax"": 0.09, ""ramin"": 0.02, ""rb"": 0.02, ""rb_gap"": 0.07, ""rk"": 0.14047876783676871, ""tau"": 0.05, ""totalpit"": 0.02, ""w"": 18.198003011640164, ""wjt"": 1.3, ""wjtmax"": 1.3, ""wjtmin"": 0.8}",GovInv
2,河北,INITIALIZATION_OBSERVATION,113705229.18254791,7.285540421362414,4.689053727683108,0.6601134967866474,10.558430329101128,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,213287.10621640403,0.0018757897745756487,113705229.18254791,113491942.07633151,113918516.28876431,113705229.18254791,1.0018757897745756,1.0,533.1087809273432,"{""At"": 2.0, ""AtTax"": 0.0, ""Bt"": 1.0, ""Ct"": 4.0, ""GovInv"": 113491942.07633151, ""GovSurplus"": 0.0, ""Kt"": 113705229.18254791, ""Kt0"": 113705229.18254791, ""Kt_prev"": 113705229.18254791, ""Lt"": 742600.0, ""Lt_prev"": 742600.0, ""N"": 742600.0, ""Tt"": 0.1, ""Yt"": 32494600.0, ""Yt0"": 32494600.0, ""Zt"": 1.067338636199028, ""Zt_1"": 1.067338636199028, ""alpha"": 0.7380939146868483, ""corptau"": 0.25, ""epsilon_pi"": 0.0, ""inter_prv_ratio"": 0.04333704899600312, ""it"": 0.02, ""mt"": 0.92, ""name"": ""河北"", ""pit"": 0.02, ""pit_1"": 0.02, ""ra"": 0.09, ""rah"": 0.08640803056619092, ""ramax"": 0.09, ""ramin"": 0.02, ""rb"": 0.02, ""rb_gap"": 0.07, ""rk"": 0.19405740050128942, ""tau"": 0.05, ""totalpit"": 0.02, ""w"": 18.121763089356133, ""wjt"": 1.3, ""wjtmax"": 1.3, ""wjtmin"": 0.8}",GovInv
3,山西,INITIALIZATION_OBSERVATION,53478727.38884524,7.284866502416373,4.689527842212533,0.6596120927891331,10.597839877871897,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,217445.6554917545,0.004066021502544393,53478727.38884524,53261281.73335349,53696173.044337,53478727.38884524,1.0040660215025443,1.0,245.9406570708567,"{""At"": 2.0, ""AtTax"": 0.0, ""Bt"": 1.0, ""Ct"": 4.0, ""GovInv"": 53261281.73335349, ""GovSurplus"": 0.0, ""Kt"": 53478727.38884524, ""Kt0"": 53478727.38884524, ""Kt_prev"": 53478727.38884524, ""Lt"": 350200.0, ""Lt_prev"": 350200.0, ""N"": 350200.0, ""Tt"": 0.1, ""Yt"": 15958100.0, ""Yt0"": 15958100.0, ""Zt"": 1.1136984900932783, ""Zt_1"": 1.1136984900932783, ""alpha"": 0.7380939146868483, ""corptau"": 0.25, ""epsilon_pi"": 0.0, ""inter_prv_ratio"": 0.04300296625588593, ""it"": 0.02, ""mt"": 0.92, ""name"": ""山西"", ""pit"": 0.02, ""pit_1"": 0.02, ""ra"": 0.09, ""rah"": 0.08643576394514026, ""ramax"": 0.09, ""ramin"": 0.02, ""rb"": 0.02, ""rb_gap"": 0.07, ""rk"": 0.2026280524810567, ""tau"": 0.05, ""totalpit"": 0.02, ""w"": 18.203099062044032, ""wjt"": 1.3, ""wjtmax"": 1.3, ""wjtmin"": 0.8}",GovInv
4,内蒙古,INITIALIZATION_OBSERVATION,82165502.99427319,7.290695301981074,4.694635423943938,0.6719414867687957,10.616873173331285,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,209594.86340788676,0.0025508863911232337,82165502.99427319,81955908.1308653,82375097.85768107,82165502.99427319,1.0025508863911232,1.0,392.0205946763742,"{""At"": 2.0, ""AtTax"": 0.0, ""Bt"": 1.0, ""Ct"": 4.0, ""GovInv"": 81955908.1308653, ""GovSurplus"": 0.0, ""Kt"": 82165502.99427319, ""Kt0"": 82165502.99427319, ""Kt_prev"": 82165502.99427319, ""Lt"": 242200.0, ""Lt_prev"": 242200.0, ""N"": 242200.0, ""Tt"": 0.1, ""Yt"": 16140800.0, ""Yt0"": 16140800.0, ""Zt"": 0.9036347315500086, ""Zt_1"": 0.9036347315500086, ""alpha"": 0.7380939146868483, ""corptau"": 0.25, ""epsilon_pi"": 0.0, ""inter_prv_ratio"": 0.19550910009447842, ""it"": 0.02, ""mt"": 0.92, ""name"": ""内蒙古"", ""pit"": 0.02, ""pit_1"": 0.02, ""ra"": 0.09, ""rah"": 0.07370607384987489, ""ramax"": 0.09, ""ramin"": 0.02, ""rb"": 0.02, ""rb_gap"": 0.07, ""rk"": 0.13339359899357278, ""tau"": 0.05, ""totalpit"": 0.02, ""w"": 17.638053822269907, ""wjt"": 1.3, ""wjtmax"": 1.3, ""wjtmin"": 0.8}",GovInv
5,辽宁,INITIALIZATION_OBSERVATION,90061052.78222083,7.2972863401635415,4.682902434745981,0.6713203024088547,9.949935463621017,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,211735.20840679316,0.002351018579793821,90061052.78222083,89849317.57381403,90272787.99062762,90061052.78222083,1.0023510185797937,1.0,425.3475530115537,"{""At"": 2.0, ""AtTax"": 0.0, ""Bt"": 1.0, ""Ct"": 4.0, ""GovInv"": 89849317.57381403, ""GovSurplus"": 0.0, ""Kt"": 90061052.78222083, ""Kt0"": 90061052.78222083, ""Kt_prev"": 90061052.78222083, ""Lt"": 429100.0, ""Lt_prev"": 429100.0, ""N"": 429100.0, ""Tt"": 0.1, ""Yt"": 23510500.0, ""Yt0"": 23510500.0, ""Zt"": 1.0589248653382726, ""Zt_1"": 1.0589248653382726, ""alpha"": 0.7380939146868483, ""corptau"": 0.25, ""epsilon_pi"": 0.0, ""inter_prv_ratio"": 0.08974673802104023, ""it"": 0.02, ""mt"": 0.92, ""name"": ""辽宁"", ""pit"": 0.02, ""pit_1"": 0.02, ""ra"": 0.09, ""rah"": 0.08254889155973023, ""ramax"": 0.09, ""ramin"": 0.02, ""rb"": 0.02, ""rb_gap"": 0.07, ""rk"": 0.1772655318759184, ""tau"": 0.05, ""totalpit"": 0.02, ""w"": 16.72579387534917, ""wjt"": 1.3, ""wjtmax"": 1.3, ""wjtmin"": 0.8}",GovInv
6,吉林,INITIALIZATION_OBSERVATION,66308917.7271201,7.306324473833281,4.681257646550685,0.6791781246847705,9.665849490645694,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,212851.0285043764,0.003209990990658578,66308917.7271201,66096066.69861572,66521768.75562448,66308917.7271201,1.0032099909906587,1.0,311.5273540985344,"{""At"": 2.0, ""AtTax"": 0.0, ""Bt"": 1.0, ""Ct"": 4.0, ""GovInv"": 66096066.69861572, ""GovSurplus"": 0.0, ""Kt"": 66308917.7271201, ""Kt0"": 66308917.7271201, ""Kt_prev"": 66308917.7271201, ""Lt"": 248400.0, ""Lt_prev"": 248400.0, ""N"": 248400.0, ""Tt"": 0.1, ""Yt"": 11253800.0, ""Yt0"": 11253800.0, ""Zt"": 0.7331983987589327, ""Zt_1"": 0.7331983987589327, ""alpha"": 0.7380939146868483, ""corptau"": 0.25, ""epsilon_pi"": 0.0, ""inter_prv_ratio"": 0.1363973196319713, ""it"": 0.02, ""mt"": 0.92, ""name"": ""吉林"", ""pit"": 0.02, ""pit_1"": 0.02, ""ra"": 0.09, ""rah"": 0.0786566974876448, ""ramax"": 0.09, ""ramin"": 0.02, ""rb"": 0.02, ""rb_gap"": 0.07, ""rk"": 0.11524622411698836, ""tau"": 0.05, ""totalpit"": 0.02, ""w"": 15.98491210464971, ""wjt"": 1.3, ""wjtmax"": 1.3, ""wjtmin"": 0.8}",GovInv
7,黑龙江,INITIALIZATION_OBSERVATION,58424879.89838116,7.319571303590979,4.668183103556843,0.6836297374851197,8.926366475532,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,216092.14282312893,0.003698632212834321,58424879.89838116,58208787.75555803,58640972.04120429,58424879.89838116,1.0036986322128343,1.0,270.3702186256806,"{""At"": 2.0, ""AtTax"": 0.0, ""Bt"": 1.0, ""Ct"": 4.0, ""GovInv"": 58208787.75555803, ""GovSurplus"": 0.0, ""Kt"": 58424879.89838116, ""Kt0"": 58424879.89838116, ""Kt_prev"": 58424879.89838116, ""Lt"": 332700.0, ""Lt_prev"": 332700.0, ""N"": 332700.0, ""Tt"": 0.1, ""Yt"": 12846500.0, ""Yt0"": 12846500.0, ""Zt"": 0.8512301435859188, ""Zt_1"": 0.8512301435859188, ""alpha"": 0.7380939146868483, ""corptau"": 0.25, ""epsilon_pi"": 0.0, ""inter_prv_ratio"": 0.061724506794720045, ""it"": 0.02, ""mt"": 0.92, ""name"": ""黑龙江"", ""pit"": 0.02, ""pit_1"": 0.02, ""ra"": 0.09, ""rah"": 0.08488059053640952, ""ramax"": 0.09, ""ramin"": 0.02, ""rb"": 0.02, ""rb_gap"": 0.07, ""rk"": 0.14930915754033644, ""tau"": 0.05, ""totalpit"": 0.02, ""w"": 14.782111996765861, ""wjt"": 1.3, ""wjtmax"": 1.3, ""wjtmin"": 0.8}",GovInv
8,上海,INITIALIZATION_OBSERVATION,66125294.30800852,7.284165435653269,4.69322945058422,0.6656559065380905,10.689503573854708,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,212894.61965239004,0.0032195640394542045,66125294.30800852,65912399.68835613,66338188.92766091,66125294.30800852,1.0032195640394541,1.0,310.60105894633006,"{""At"": 2.0, ""AtTax"": 0.0, ""Bt"": 1.0, ""Ct"": 4.0, ""GovInv"": 65912399.68835613, ""GovSurplus"": 0.0, ""Kt"": 66125294.30800852, ""Kt0"": 66125294.30800852, ""Kt_prev"": 66125294.30800852, ""Lt"": 247500.0, ""Lt_prev"": 247500.0, ""N"": 247500.0, ""Tt"": 0.1, ""Yt"": 36011800.0, ""Yt0"": 36011800.0, ""Zt"": 2.353254580746131, ""Zt_1"": 2.353254580746131, ""alpha"": 0.7380939146868483, ""corptau"": 0.25, ""epsilon_pi"": 0.0, ""inter_prv_ratio"": 0.13658437244322294, ""it"": 0.02, ""mt"": 0.92, ""name"": ""上海"", ""pit"": 0.02, ""pit_1"": 0.02, ""ra"": 0.09, ""rah"": 0.0786410648427616, ""ramax"": 0.09, ""ramin"": 0.02, ""rb"": 0.02, ""rb_gap"": 0.07, ""rk"": 0.3698083079685384, ""tau"": 0.05, ""totalpit"": 0.02, ""w"": 18.0332764190634, ""wjt"": 1.3, ""wjtmax"": 1.3, ""wjtmin"": 0.8}",GovInv
9,江苏,INITIALIZATION_OBSERVATION,203535217.25929242,7.281748896323775,4.693511506563083,0.6628712791095902,10.772692990875354,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,197491.38772618957,0.0009703057307993861,203535217.25929242,203337725.87156624,203732708.6470186,203535217.25929242,1.0009703057307995,1.0,1030.6030030103504,"{""At"": 2.0, ""AtTax"": 0.0, ""Bt"": 1.0, ""Ct"": 4.0, ""GovInv"": 203337725.87156624, ""GovSurplus"": 0.0, ""Kt"": 203535217.25929242, ""Kt0"": 203535217.25929242, ""Kt_prev"": 203535217.25929242, ""Lt"": 844600.0, ""Lt_prev"": 844600.0, ""N"": 844600.0, ""Tt"": 0.1, ""Yt"": 93207600.0, ""Yt0"": 93207600.0, ""Zt"": 1.9260565786278652, ""Zt_1"": 1.9260565786278652, ""alpha"": 0.7380939146868483, ""corptau"": 0.25, ""epsilon_pi"": 0.0, ""inter_prv_ratio"": 0.11517341038864391, ""it"": 0.02, ""mt"": 0.92, ""name"": ""江苏"", ""pit"": 0.02, ""pit_1"": 0.02, ""ra"": 0.09, ""rah"": 0.08042908909180554, ""ramax"": 0.09, ""ramin"": 0.02, ""rb"": 0.02, ""rb_gap"": 0.07, ""rk"": 0.31096478646705056, ""tau"": 0.05, ""totalpit"": 0.02, ""w"": 18.287049574345293, ""wjt"": 1.3, ""wjtmax"": 1.3, ""wjtmin"": 0.8}",GovInv
