turn,total_K_ratio_min,total_K_ratio_median,total_K_ratio_max,GovInv_ratio_min,GovInv_ratio_median,GovInv_ratio_max,private_K_ratio_min,private_K_ratio_median,private_K_ratio_max,rah_min,rah_median,rah_max,ra_lower,ra_interior,ra_upper,max_KN_gap,max_Y_prev_gap,max_GDP_level_gap,govinv_decrease,govinv_increase,govinv_hold,HJB_converged_count,HJB_nonconverged_count,HJB_nonconverged_names,KFE_diagnostic_only_count,adaptation_gate_open,source_final_predicate
1,1.0,1.0,1.0,0.9651348379729058,0.9967900090093413,0.9990503395319458,0.0009496604680542149,0.003209990990658578,0.03486516202709419,0.06490365475420734,0.08488059053640952,0.09,0,0,31,11.67973404214395,2.715689591397689,2.715689591397689,0,0,31,20,11,安徽|江西|河南|湖北|湖南|广东|广西|重庆|四川|贵州|甘肃,31,False,False
2,0.9999934321685441,1.0000064690135537,1.0000696906605124,0.9651348379729058,0.9967900090093413,0.9990503395319458,0.0009516317092969736,0.0032129962079982984,0.03493485268760648,0.06490365475420734,0.08488059053640952,0.09,0,0,31,0.5717091591987256,0.013133278055849407,2.6830926714031764,0,0,31,23,8,河北|上海|安徽|江西|河南|湖北|四川|贵州,31,False,False
3,0.9992512316314393,0.9999309018620572,0.9999891811710685,0.9651348379729058,0.9967900090093413,0.9990503395319458,0.0009059992019997053,0.0031383915105305926,0.034116393658533396,0.06490660663385923,0.08488119788079496,0.09,0,0,31,0.18269039505112172,0.004973936286064129,2.6813930137438446,0,0,31,24,7,江西|山东|河南|湖南|四川|贵州|甘肃,31,False,False
4,0.9991698558755753,0.9999233987989584,0.999986122779779,0.9651348379729058,0.9967900090093413,0.9990503395319458,0.0009245759984274937,0.003130627421996337,0.03403501790266949,0.06490660663385923,0.08488119788079496,0.09,0,0,31,0.08506639706180075,0.0008361706756401244,2.6842442274789673,0,31,0,27,4,安徽|江西|甘肃|宁夏,31,True,False
5,1.0965174571348073,1.0996842918700231,1.0999050729407989,1.0616483217701966,1.0964690099102756,1.0989553734851405,0.0009496994556583644,0.0032101997650052175,0.034869135364610795,0.06490660663385923,0.08488119788079496,0.09,0,1,30,0.12902530588228012,0.7096037524490607,0.07176022004539773,0,0,31,21,10,山西|辽宁|江西|山东|河南|湖南|四川|贵州|甘肃|新疆,31,False,False
6,1.0956394709105117,1.0996040318914868,1.0998785486540852,1.0616483217701966,1.0964690099102756,1.0989553734851405,0.0009231751689446907,0.0031268194702743007,0.033991149140315216,0.06490660663385923,0.08488119788079496,0.09,0,1,30,0.08462202115692197,0.01693566472371555,0.08958596995037738,0,31,0,31,0,,31,True,False
7,1.201782134210722,1.2092526824184382,1.2097734850389603,1.1678131539472163,1.2061159109013033,1.2088509108336545,0.0009225742053056815,0.0031247678851820684,0.03396898026350553,0.06489997041598897,0.08487983248987821,0.09,0,2,29,0.14620833024139945,0.01782275032462366,0.07817992185127443,0,0,31,31,0,,31,False,False
8,1.201782392338502,1.209252707632064,1.2097734917005596,1.1678131539472163,1.2061159109013033,1.2088509108336545,0.0009225808669050463,0.0031247943078356664,0.033969238391285614,0.06490195188777961,0.08488024017444155,0.09,0,2,29,0.05426945608458,0.0011147418142500864,0.07816341204574462,0,31,0,31,0,,31,True,False
9,1.3192982096413737,1.329932110865203,1.330673664508053,1.2845944693419382,1.3267275019914337,1.3297360019170201,0.0009211908034230539,0.0031949982651334158,0.03470374029943541,0.06407107584367608,0.08487446107211634,0.09,0,4,27,0.12402337931372243,0.005468091992513413,0.07257162341920886,0,0,31,29,2,山东|宁夏,31,False,False
10,1.3185668352177038,1.3298633729630156,1.3306586730421648,1.2845944693419382,1.3267275019914337,1.3297360019170201,0.0009226711251447254,0.0031252254799102276,0.03397236587576555,0.06407191920704386,0.08487445980108937,0.09,0,4,27,0.04467542392372148,0.0004467178270319838,0.07294013388675724,0,30,1,31,0,,31,True,False
