stage,turn,province_index,province,HJB_converged,HJB_classification,KFE_classification,asset_bridge,overall_validity
INITIALIZATION_OBSERVATION,0,0,北京,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,1,天津,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,2,河北,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,3,山西,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,4,内蒙古,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,5,辽宁,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,6,吉林,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,7,黑龙江,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,8,上海,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,9,江苏,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,10,浙江,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,11,安徽,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,12,福建,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,13,江西,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,14,山东,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,15,河南,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,16,湖北,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,17,湖南,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,18,广东,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,19,广西,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,20,海南,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,21,重庆,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,22,四川,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,23,贵州,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,24,云南,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,25,西藏,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,26,陕西,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,27,甘肃,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
INITIALIZATION_OBSERVATION,0,28,青海,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
