province_index,province,Kt_supply_initial_MU_beta1,Ktarget_2018_MU,beta_a_star,interpretation
0,北京,213805.18523752742,58719043.066994764,274.6380683039127,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
1,天津,211034.53168273813,64593598.72309723,306.08070730436174,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
2,河北,213287.10621640403,113705229.18254791,533.1087809273432,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
3,山西,217445.6554917545,53478727.38884524,245.9406570708567,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
4,内蒙古,209594.86340788676,82165502.99427319,392.0205946763742,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
5,辽宁,211735.20840679316,90061052.78222083,425.3475530115537,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
6,吉林,212851.0285043764,66308917.7271201,311.5273540985344,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
7,黑龙江,216092.14282312893,58424879.89838116,270.3702186256806,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
8,上海,212894.61965239004,66125294.30800852,310.60105894633006,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
9,江苏,197491.38772618957,203535217.25929242,1030.6030030103504,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
10,浙江,208902.70510419522,124249656.20818298,594.7728448332466,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
11,安徽,218901.27196706057,70182433.35888097,320.6122683902986,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
12,福建,211824.9156194794,87795538.11850408,414.4721968223006,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
13,江西,219936.6559413823,51050047.92908307,232.11250398700693,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
14,山东,199444.81695050414,210016973.07581103,1053.007926136935,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
15,河南,204370.7066231856,168320556.01470312,823.6041201592018,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
16,湖北,210492.1500976498,101805153.6623069,483.65297050307237,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
17,湖南,215847.67203445273,93791807.14892803,434.5277679620161,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
18,广东,207658.6888552844,191259406.86816654,921.0277110121485,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
19,广西,216731.66526370766,67306708.83876626,310.5531845421434,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
20,海南,220138.77286586814,14673330.466888333,66.654911698944,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
21,重庆,216359.9804037753,50663834.63130832,234.16453697563875,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
22,四川,218811.9919490324,94830047.41899477,433.38597018523285,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
23,贵州,220817.3900588127,39447014.665611394,178.64088808904515,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
24,云南,216819.99749969383,68611984.86091176,316.44675607474187,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
25,西藏,220547.75222275045,6325734.326183821,28.681926079187193,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
26,陕西,214247.64263451993,73897910.2910824,344.9181955161258,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
27,甘肃,221102.57076200092,25177704.67938732,113.87341446377431,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
28,青海,218773.0748187012,17578407.529567722,80.34995871468678,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
29,宁夏,218812.72691434613,18640640.44456374,85.18992796913767,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
30,新疆,216302.2451244356,49250553.031937115,227.69321235479535,DIAGNOSTIC_GEOMETRY_NOT_ESTIMATED_BETA
