province_index,province,HJB_converged,HJB_classification,KFE_classification,KFE_source_free_ratio,KFE_upper_b_max_outward_leak_rate,asset_bridge_validity,overall_validity
0,北京,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.12359893064079942,4.15295658116238,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
1,天津,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.1460882751544755,3.985285838884266,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
2,河北,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.11373130212702849,4.238064752885079,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
3,山西,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.0007910272049006893,4.240760009257558,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
4,内蒙古,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.1361476686906145,4.076209581717408,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
5,辽宁,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.12646115787990045,4.152394002635344,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
6,吉林,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.13766358952089844,4.085437869708639,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
7,黑龙江,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.13543040042248977,4.115373157050658,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
8,上海,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.12507969639608918,4.145536272322533,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
9,江苏,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.12097274430566919,4.173672235862094,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
10,浙江,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.11827278550097817,4.199647579138917,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
11,安徽,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,1.4255976219507335e-09,1.8586697320765795,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
12,福建,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.12179931902025395,4.1760691628614435,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
13,江西,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,6.604161767961214e-06,4.267051968956466,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
14,山东,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.11763513599753661,4.200585466724112,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
